displacement_um,field_v_m,excess_energy_mk,density_cm3,density_over_peak,classical_rate_s,classical_survival,parameter_status
-0.5999999999999979,-0.15162856077549444,0.23303427454444248,127770195619.8985,0.7985637226243656,0.6608704939192117,0.8761884384582452,printed_shape_reconstructed_peak_density
-0.3999999999999986,-0.10108570718366294,0.10357078868641885,129838993531.35356,0.8114937095709598,0.6967887678920903,0.8699167569495989,printed_shape_reconstructed_peak_density
-0.1999999999999993,-0.05054285359183147,0.025892697171604712,131862822074.48978,0.8241426379655611,0.7279114019540723,0.8645187542064876,printed_shape_reconstructed_peak_density
0.0,0.0,0.0,133838554371.106,0.8364909648194125,0.7531215393427618,0.8601707973628551,printed_shape_reconstructed_peak_density
0.20000000000000284,0.05054285359183237,0.025892697171605628,135763102214.55896,0.8485193888409935,0.7716090207614009,0.8569961916993517,printed_shape_reconstructed_peak_density
0.40000000000000213,0.10108570718366384,0.1035707886864207,137633424049.17404,0.8602089003073378,0.7829584029719414,0.8550531223308088,printed_shape_reconstructed_peak_density
0.6000000000000014,0.15162856077549533,0.23303427454444522,139446532927.07697,0.8715408307942311,0.787177522406732,0.8543319124114407,printed_shape_reconstructed_peak_density
0.8000000000000007,0.20217141436732683,0.4142831547456793,141199504413.53528,0.8824969025845955,0.7846630326807044,0.8547616622258081,printed_shape_reconstructed_peak_density
1.0,0.2527142679591583,0.6473174292901227,142889484411.7087,0.8930592775731795,0.7761162999909462,0.8562239955750697,printed_shape_reconstructed_peak_density
1.2000000000000028,0.30325712155099066,0.9321370981777809,144513696877.65314,0.903210605485332,0.762433482704913,0.8585703158354295,printed_shape_reconstructed_peak_density
1.4000000000000021,0.35379997514282213,1.268742161408644,146069451396.50592,0.912934071228162,0.7445946818621441,0.8616389596477114,printed_shape_reconstructed_peak_density
1.6000000000000014,0.40434282873465366,1.6571326189827171,147554150591.00748,0.9222134411937968,0.7235706788411657,0.8652696073914918,printed_shape_reconstructed_peak_density
1.8000000000000007,0.454885682326485,2.097308470899998,148965297333.8762,0.9310331083367261,0.700256425087624,0.8693136514897211,printed_shape_reconstructed_peak_density
2.0,0.5054285359183166,2.589269717160491,150300501736.06198,0.9393781358503874,0.675432129701995,0.8736404032317169,printed_shape_reconstructed_peak_density
2.200000000000003,0.5559713895101489,3.133016357764201,151557487883.5472,0.9472342992721701,0.6497475210695943,0.8781397721591133,printed_shape_reconstructed_peak_density
2.400000000000002,0.6065142431019804,3.7285483927111125,152734100296.14584,0.9545881268509115,0.6237227444081189,0.8827223662015646,printed_shape_reconstructed_peak_density
2.6000000000000014,0.6570570966938118,4.3758658220012325,153828310082.6686,0.9614269380166788,0.5977594790310641,0.8873179585433529,printed_shape_reconstructed_peak_density
2.8000000000000007,0.7075999502856434,5.074968645634563,154838220767.86804,0.9677388797991753,0.572157116398425,0.8918730980530393,printed_shape_reconstructed_peak_density
3.0,0.7581428038774749,5.825856863611104,155762073767.7507,0.9735129610484419,0.5471303996037803,0.8963484200595065,printed_shape_reconstructed_peak_density
3.200000000000003,0.8086856574693073,6.6285304759308685,156598253491.1383,0.9787390843196144,0.5228263211780043,0.9007160109466295,printed_shape_reconstructed_peak_density
3.400000000000002,0.8592285110611387,7.482989482593827,157345292046.7673,0.9834080752922957,0.4993391319896994,0.9049570215608204,printed_shape_reconstructed_peak_density
3.6000000000000014,0.90977136465297,8.389233883599992,158001873536.73416,0.9875117096045886,0.4767230215745838,0.9090596146199316,printed_shape_reconstructed_peak_density
3.8000000000000007,0.9603142182448016,9.347263678949371,158566837918.71017,0.9910427369919386,0.4550024548564692,0.913017262633889,printed_shape_reconstructed_peak_density
4.0,1.0108570718366332,10.357078868641963,159039184421.06046,0.9939949026316278,0.4341803737325505,0.9168273744753345,printed_shape_reconstructed_peak_density
4.200000000000003,1.0613999254284656,11.41867945267778,159418074496.7941,0.9963629656049631,0.4142445660962441,0.9204902106171748,printed_shape_reconstructed_peak_density
4.400000000000002,1.1119427790202971,12.53206543105679,159702834304.14215,0.9981427144008884,0.3951725230831105,0.9240080413518105,printed_shape_reconstructed_peak_density
4.600000000000001,1.1624856326121284,13.697236803778999,159892956703.4922,0.9993309793968261,0.3769350836920593,0.9273845035410457,printed_shape_reconstructed_peak_density
4.800000000000001,1.21302848620396,14.914193570844429,159988102762.39532,0.9999256422649708,0.3594991268315044,0.9306241160719141,printed_shape_reconstructed_peak_density
5.0,1.2635713397957915,16.182935732253068,159988102762.39532,0.9999256422649708,0.34282952710932163,0.9337319200795334,printed_shape_reconstructed_peak_density
5.200000000000003,1.3141141933876237,17.50346328800493,159892956703.4922,0.9993309793968261,0.3268905490231374,0.9367132159583347,printed_shape_reconstructed_peak_density
5.400000000000002,1.3646570469794552,18.875776238099988,159702834304.14215,0.9981427144008884,0.31164681760725543,0.9395733746275499,printed_shape_reconstructed_peak_density
5.600000000000001,1.4151999005712868,20.29987458253825,159418074496.7941,0.9963629656049631,0.29706397296188536,0.9423177052078663,printed_shape_reconstructed_peak_density
5.800000000000001,1.4657427541631183,21.775758321319728,159039184421.06046,0.9939949026316278,0.2831090912572191,0.9449513651604678,printed_shape_reconstructed_peak_density
6.0,1.5162856077549498,23.303427454444417,158566837918.71017,0.9910427369919386,0.2697509351098481,0.9474793020919714,printed_shape_reconstructed_peak_density
6.200000000000003,1.566828461346782,24.88288198191233,158001873536.73413,0.9875117096045883,0.2569600808538662,0.9499062189351316,printed_shape_reconstructed_peak_density
6.400000000000002,1.6173713149386135,26.51412190372344,157345292046.7673,0.9834080752922957,0.2447089583657343,0.9522365561820515,printed_shape_reconstructed_peak_density
6.600000000000001,1.667914168530445,28.19714721987775,156598253491.1383,0.9787390843196144,0.23297183002920385,0.95447448637511,printed_shape_reconstructed_peak_density
6.800000000000001,1.7184570221222766,29.931957930375276,155762073767.7507,0.9735129610484419,0.22172472853567027,0.9566239172397448,printed_shape_reconstructed_peak_density
