trajectory,g0,g1,sites,scaled_time,time,magnetization_z,magnetization_y,normalized_z,normalized_y
across,0.3,1.4,12,2.3666666666666667,9.433643677526097,0.030001305977802137,0.0033415486226478297,0.9938543572662046,0.11069560308783344
across,0.3,1.4,12,2.3833333333333333,9.50007778793121,0.03048364127830855,0.007064074834158334,0.9741850115850111,0.2257511089742678
across,0.3,1.4,12,2.4,9.566511898336323,0.031317620292029225,0.010860341983331622,0.9448028912971648,0.32763927816505395
across,0.3,1.4,12,2.4166666666666665,9.632946008741436,0.03249823557282733,0.014476654715191238,0.9134670251933587,0.40691275954975403
across,0.3,1.4,12,2.433333333333333,9.699380119146548,0.03399757614278032,0.0176771854324002,0.8872334022251642,0.4613208102567668
across,0.3,1.4,12,2.45,9.765814229551664,0.03576728602248232,0.02026066771626002,0.8701000270939787,0.49287517978800427
across,0.3,1.4,12,2.466666666666667,9.832248339956777,0.03774243167680606,0.02207378013736192,0.863207355711524,0.504849542978419
across,0.3,1.4,12,2.4833333333333334,9.89868245036189,0.03984641490465802,0.023020087934470305,0.8658865825398461,0.5002403684004983
across,0.3,1.4,12,2.5,9.965116560767003,0.04199648197687892,0.023063848481492764,0.8765172941670389,0.4813703699087559
across,0.3,1.4,12,2.5166666666666666,10.031550671172116,0.04410933882968844,0.022228501602064788,0.8930150328900047,0.4500268336804635
across,0.3,1.4,12,2.533333333333333,10.09798478157723,0.04610639055637094,0.02059020413180139,0.9130863160859414,0.40776632938069374
across,0.3,1.4,12,2.55,10.164418891982343,0.04791818077268144,0.018267271501513457,0.9344051516562075,0.35621203314646704
across,0.3,1.4,12,2.5666666666666664,10.230853002387455,0.049487706746045836,0.015406801100630387,0.9547986062976762,0.2972534632464614
across,0.3,1.4,12,2.5833333333333335,10.29728711279257,0.05077241864936452,0.01217002467110124,0.9724540048874709,0.23309484845941753
across,0.3,1.4,12,2.6,10.363721223197684,0.05174486124791376,0.008718036118776985,0.9861022288344417,0.16613968306141233
across,0.3,1.4,12,2.6166666666666667,10.430155333602796,0.052392066770437326,0.005199451866206624,0.9951116702710749,0.0987560817889785
across,0.3,1.4,12,2.6333333333333333,10.49658944400791,0.05271394125533797,0.001741289554106469,0.9994548628501605,0.03301480160726297
across,0.3,1.4,12,2.65,10.563023554413023,0.052720987504388465,-0.0015560745538200943,0.9995647085925758,-0.029502429327751774
across,0.3,1.4,12,2.6666666666666665,10.629457664818137,0.052431763641428056,-0.004619541571577078,0.9961411372442766,-0.08776579453112343
across,0.3,1.4,12,2.683333333333333,10.695891775223249,0.05187047998453838,-0.007399769402853038,0.9899769940643778,-0.14122871954124255
across,0.3,1.4,12,2.7,10.762325885628364,0.05106508746521827,-0.009864299571273723,0.981848893000418,-0.1896648394243224
across,0.3,1.4,12,2.716666666666667,10.828759996033478,0.050046113638305856,-0.01198859644807201,0.9724863025339967,-0.23296006392460455
across,0.3,1.4,12,2.7333333333333334,10.895194106438591,0.04884636899105466,-0.013746571172708626,0.9626071157978188,-0.2709013484931458
across,0.3,1.4,12,2.75,10.961628216843703,0.04750149328791793,-0.015102271807322602,0.95299438608342,-0.30298795371018505
across,0.3,1.4,12,2.7666666666666666,11.028062327248817,0.04605115871855163,-0.016004310387680975,0.9445825827213052,-0.3282738862894039
across,0.3,1.4,12,2.783333333333333,11.09449643765393,0.04454061414364929,-0.016384270627981458,0.9385168136659963,-0.34523353033305687
across,0.3,1.4,12,2.8,11.160930548059044,0.04302216160733479,-0.016159828194942702,0.9361393394275505,-0.35162926097830566
across,0.3,1.4,12,2.8166666666666664,11.227364658464156,0.041556117289095536,-0.015242674415201255,0.9388366493744669,-0.3443628112780534
across,0.3,1.4,12,2.8333333333333335,11.293798768869271,0.040210832857154724,-0.013550638921974204,0.947638681113526,-0.31934453190467615
across,0.3,1.4,12,2.85,11.360232879274385,0.03906144086084188,-0.011022743063780243,0.9624148195983189,-0.2715837164071792
across,0.3,1.4,12,2.8666666666666667,11.426666989679497,0.03818713233124336,-0.007635371022373572,0.9805908245415624,-0.19606538405567345
across,0.3,1.4,12,2.8833333333333333,11.49310110008461,0.037666961373948,-0.00341739711572203,0.9959095727188774,-0.0903555364485385
across,0.3,1.4,12,2.9,11.559535210489724,0.037574379088073234,0.0015379864523320276,0.9991633455966695,0.04089754046480563
across,0.3,1.4,12,2.9166666666666665,11.625969320894837,0.037970902360471334,0.00706680744038235,0.9831186243916736,0.18296931538983052
across,0.3,1.4,12,2.933333333333333,11.69240343129995,0.03889949547353374,0.012934813553638038,0.9489149198749657,0.31553205041435595
across,0.3,1.4,12,2.95,11.758837541705065,0.040378359573396444,0.01884582134514541,0.9061608917516156,0.4229331368667122
across,0.3,1.4,12,2.966666666666667,11.825271652110178,0.0423958676616164,0.02445792322638009,0.866196474118809,0.4997035803595401
across,0.3,1.4,12,2.9833333333333334,11.891705762515292,0.044907339695569856,0.02940661466487384,0.8365929201736351,0.5478250504635124
across,0.3,1.4,12,3.0,11.958139872920404,0.04783422235135111,0.033333000421163966,0.8204464636866522,0.5717233598726458
across,0.3,1.4,12,3.0166666666666666,12.024573983325517,0.05106603049271756,0.03591449436174913,0.8179636479503664,0.5752699111128003
across,0.3,1.4,12,3.033333333333333,12.09100809373063,0.05446514207930078,0.036894943935249995,0.827924319315484,0.5608398358586811
across,0.3,1.4,12,3.05,12.157442204135743,0.05787424314266579,0.036110962737457786,0.8483962656270576,0.5293616688711629
