quench,g0,g1,sites,correlation_distance,scaled_time,time,phase_shift_scaled,sigma_z_correlation,spin_z_correlation,absolute_spin_z_correlation,cluster_magnetization
g0_0.8_g1_1.6,0.8,1.6,256,48,1.2833333333333332,5.300536270109904,-0.06666666666666665,0.0387798716397761,0.009694967909944025,0.009694967909944025,0.0984630281371847
g0_0.8_g1_1.6,0.8,1.6,256,48,1.3,5.373146356001821,-0.06666666666666665,0.0319436824369642,0.00798592060924105,0.00798592060924105,0.08936397825321482
g0_0.8_g1_1.6,0.8,1.6,256,48,1.3166666666666667,5.445756441893738,-0.06666666666666665,0.025764787730769057,0.006441196932692264,0.006441196932692264,0.08025706780522364
g0_0.8_g1_1.6,0.8,1.6,256,48,1.3333333333333333,5.518366527785654,-0.06666666666666665,0.02026065832617635,0.005065164581544088,0.005065164581544088,0.0711699696609749
g0_0.8_g1_1.6,0.8,1.6,256,48,1.3499999999999999,5.5909766136775705,-0.06666666666666665,0.015440513161637453,0.0038601282904093632,0.0038601282904093632,0.0621299307130578
g0_0.8_g1_1.6,0.8,1.6,256,48,1.3666666666666667,5.663586699569487,-0.06666666666666665,0.011305415666380514,0.0028263539165951286,0.0028263539165951286,0.053163464113948865
g0_0.8_g1_1.6,0.8,1.6,256,48,1.3833333333333333,5.736196785461404,-0.06666666666666665,0.007848571140888046,0.0019621427852220116,0.0019621427852220116,0.044296080923959986
g0_0.8_g1_1.6,0.8,1.6,256,48,1.4,5.80880687135332,-0.06666666666666665,0.005055804857937174,0.0012639512144842935,0.0012639512144842935,0.03555209156272375
g0_0.8_g1_1.6,0.8,1.6,256,48,1.4166666666666667,5.881416957245237,-0.06666666666666665,0.0029061780303706254,0.0007265445075926564,0.0007265445075926564,0.02695448956282898
g0_0.8_g1_1.6,0.8,1.6,256,48,1.4333333333333333,5.954027043137153,-0.06666666666666665,0.001372689556851708,0.000343172389212927,0.000343172389212927,0.018524912664110646
