scaled_time,time,work_density,rate,mean_work_density
1.05,2.4586851558642544,0.23,0.030646870049893443,0.1292128134984721
1.05,2.4586851558642544,0.23500000000000001,0.03354270030566063,0.1292128134984721
1.05,2.4586851558642544,0.24,0.036550031707164504,0.1292128134984721
1.05,2.4586851558642544,0.245,0.03966672849713557,0.1292128134984721
1.05,2.4586851558642544,0.25,0.04289071346573203,0.1292128134984721
1.05,2.4586851558642544,0.255,0.0462199677034372,0.1292128134984721
1.05,2.4586851558642544,0.26,0.04965253034682163,0.1292128134984721
1.05,2.4586851558642544,0.265,0.05318649828963318,0.1292128134984721
1.05,2.4586851558642544,0.27,0.056820025838883514,0.1292128134984721
1.05,2.4586851558642544,0.275,0.060551324301859,0.1292128134984721
1.05,2.4586851558642544,0.28,0.06437866149529359,0.1292128134984721
1.05,2.4586851558642544,0.28500000000000003,0.06830036117242033,0.1292128134984721
1.05,2.4586851558642544,0.29,0.07231480236724783,0.1292128134984721
1.05,2.4586851558642544,0.295,0.07642041865830757,0.1292128134984721
1.05,2.4586851558642544,0.3,0.08061569735633325,0.1292128134984721
1.0625,2.4879552172435906,0.0,0.0973391540409713,0.13030270868140287
1.0625,2.4879552172435906,0.005,0.08323130419103322,0.13030270868140287
1.0625,2.4879552172435906,0.01,0.07335688874774392,0.13030270868140287
1.0625,2.4879552172435906,0.015,0.0650677927017652,0.13030270868140287
1.0625,2.4879552172435906,0.02,0.057822938218058006,0.13030270868140287
1.0625,2.4879552172435906,0.025,0.05136806823452879,0.13030270868140287
1.0625,2.4879552172435906,0.03,0.045554522047019715,0.13030270868140287
1.0625,2.4879552172435906,0.035,0.040284643172749136,0.13030270868140287
1.0625,2.4879552172435906,0.04,0.03548936945355167,0.13030270868140287
1.0625,2.4879552172435906,0.045,0.03111728984477332,0.13030270868140287
1.0625,2.4879552172435906,0.05,0.027128654137609544,0.13030270868140287
1.0625,2.4879552172435906,0.055,0.023491814625546843,0.13030270868140287
1.0625,2.4879552172435906,0.06,0.020180977759191317,0.13030270868140287
1.0625,2.4879552172435906,0.065,0.017174712978799828,0.13030270868140287
1.0625,2.4879552172435906,0.07,0.014454924252523822,0.13030270868140287
1.0625,2.4879552172435906,0.075,0.012006117443786435,0.13030270868140287
1.0625,2.4879552172435906,0.08,0.009814864046688361,0.13030270868140287
1.0625,2.4879552172435906,0.085,0.00786939946989548,0.13030270868140287
1.0625,2.4879552172435906,0.09,0.006159316059429456,0.13030270868140287
1.0625,2.4879552172435906,0.095,0.004675324434976605,0.13030270868140287
1.0625,2.4879552172435906,0.1,0.0034090651322410542,0.13030270868140287
1.0625,2.4879552172435906,0.105,0.002352957995601382,0.13030270868140287
1.0625,2.4879552172435906,0.11,0.0015000803877137751,0.13030270868140287
1.0625,2.4879552172435906,0.115,0.0008440677444247445,0.13030270868140287
1.0625,2.4879552172435906,0.12,0.00037903170982527337,0.13030270868140287
1.0625,2.4879552172435906,0.125,9.949229000496326e-05,0.13030270868140287
1.0625,2.4879552172435906,0.13,3.2132622195625354e-07,0.13030270868140287
