chi_over_J,alpha,energy_over_J,overlap,f1_alpha
2.03,119,-1.9339396389925818,-0.035216489143625226,0.001815000178284205
2.03,120,-1.9333947821379274,-0.07033260752656227,0.007233555763601002
2.03,121,-1.9332742557061284,0.001266422733202863,2.3448726198949052e-06
2.03,122,-1.9328951700454653,0.005708568291262245,4.761849050121769e-05
2.03,123,-1.9034236312862112,-0.007401091244286179,7.673639342285664e-05
2.03,124,-1.9031710901247674,-0.0009265191404122571,1.2021676508362372e-06
2.03,125,-1.9029107537459875,-0.008685088123258442,0.00010559574032358776
2.03,126,-1.9023732662319743,0.08256334786890497,0.009535552835701308
2.03,127,-1.9021313183437465,0.0019275435062897886,5.195564060031797e-06
2.03,128,-1.9010851528343022,0.0005782531084501169,4.6690163815622977e-07
2.03,129,-1.9008038781568082,-0.0028771739811503617,1.155449999919749e-05
2.03,130,-1.8993843281607652,-2.520766019797304e-05,8.851651879128135e-10
2.03,131,-1.894157118331566,-0.0037786683404569224,1.974630703903553e-05
2.03,132,-1.893403003345848,-0.00016437250609924604,3.732621868113583e-08
2.03,133,-1.8930968758363302,-0.002593864399317845,9.29108743193911e-06
2.03,134,-1.892596668085732,-0.0016553515836458586,3.7814000077739595e-06
2.03,135,-1.8924377864361814,-0.02175263099144057,0.0006528305937730515
2.03,136,-1.8898312981062593,-0.3119534065967983,0.13378191561960867
2.03,137,-1.8897280492848323,-0.005276219477222005,3.826502589767757e-05
2.03,138,-1.8894156405440845,-0.010456777732011811,0.00015023309214408104
2.03,139,-1.8886646692658304,0.0016560359218888068,3.76410289721702e-06
2.03,140,-1.888457879473567,0.00019738410571131833,5.345927827460711e-08
2.03,141,-1.8881442239970518,0.008965436819316415,0.00011024395169178123
2.03,142,-1.8880985571365978,-0.025908724847023484,0.0009206122299712418
2.03,143,-1.8880380745185767,-0.000704371213637393,6.803804670094572e-07
2.03,144,-0.19081031986461133,0.000677593378600172,1.8922108534724647e-07
2.03,145,-0.19071974127747826,0.021590650237193743,0.0001921084440283481
2.03,146,-0.1904916813180278,0.03152446833002694,0.0004095149266876702
2.03,147,-0.19033837922651956,-0.00060417334763711,1.5040763636693923e-07
2.03,148,-0.19005598779481914,-0.010238166294261093,4.3185762118478976e-05
2.03,149,-0.1890863699713832,0.010871458708720439,4.8674154115758555e-05
2.03,150,-0.18870242685893995,0.0017324866718691756,1.2359301030796778e-06
2.03,151,-0.18854796510720997,-0.005882766167032704,1.4249172908902452e-05
2.03,152,-0.1857216688959302,0.11520744282209834,0.0054586149480851205
2.03,153,-0.1855470164182804,-0.0020356069720609913,1.7040332000359196e-06
2.03,154,-0.18495108038832084,-0.000966264158045829,3.838623466952028e-07
2.03,155,-0.18460767480004767,0.0023004507176894915,2.175446107607139e-06
2.03,156,-0.17860077340368763,-6.800765084438029e-05,1.896561494492582e-09
2.03,157,-0.1734669366786209,-0.004493981209103432,8.264195270995519e-06
2.03,158,-0.17310528185537516,-0.00014438719544907402,8.52964902317616e-09
2.03,159,-0.17258252593909154,-0.01294500543042496,6.854651759513074e-05
2.03,160,-0.17180373202217492,-0.00042246402737805853,7.298305879310117e-08
2.03,161,-0.17136725396385694,0.013640564491547663,7.607286438106836e-05
2.03,162,-0.17052115837689777,0.03625217878974577,0.0005371345654565136
2.03,163,-0.1703496909075213,-0.0004790919674222084,9.380418592647828e-08
2.03,164,-0.16994979610206493,-0.0002280547152236015,2.1251597476819868e-08
2.03,165,-0.1459161678021409,0.0047526859702549445,9.140028148788292e-06
2.03,166,-0.1455086716632299,0.0004076083791445567,6.721773832751333e-08
2.03,167,-0.14504113164092958,-0.0010584629486191102,4.531759656255018e-07
2.03,168,-0.1446167553612035,-0.015380075597150883,9.566607246937127e-05
2.03,169,-0.14433085680624005,-0.0005545251016116263,1.243463987175342e-07
2.03,170,-0.14091913301325915,0.0005051717669440108,1.0305526338019986e-07
2.03,171,-0.14051631472422155,-0.00044402314518423387,7.960358259470887e-08
2.03,172,-0.13912598424280181,-4.520162209069718e-05,8.244906032168451e-10
2.03,173,-0.13864012323521466,0.0011178039300741586,5.041082385520625e-07
2.03,174,-0.1377881699173039,-0.010388520092607297,4.3526189407526016e-05
2.03,175,-0.13725583692495383,-0.0090218416910762,3.282014170286104e-05
2.03,176,-0.13685098592289224,0.0022160812836948636,1.979933152953962e-06
2.03,177,-0.13673671849919078,-0.0008363469662593424,2.8198896993612516e-07
2.03,178,-0.013950395661336502,0.14900647152929566,0.00852877744654008
2.03,179,-0.013823337836666822,-0.0027680481335267577,2.9430836096168953e-06
2.03,180,-0.013361046057233756,-0.005845014569668911,1.3120470509903265e-05
2.03,181,-0.012609834263487711,-0.009721008569979832,3.628069442060832e-05
2.03,182,-0.01096004823222626,0.00020216596643166646,1.568173226317089e-08
2.03,183,-0.010145047166153805,0.006977535977635519,1.867438576858119e-05
2.03,184,-0.009978853232874969,0.02177811121195969,0.00018190929706102114
2.03,185,-0.009728489076262135,-0.001019794884800463,3.988397453792273e-07
2.03,186,-0.001161391481046107,-0.0003938557077472196,5.9295605334048486e-08
2.03,187,-0.0007147820634609179,-0.026070194977796165,0.0002597542387528764
