chi_over_J,state,alpha,k_over_k1,probability
1.0,ground,0,-1.1775,5.577039070791138e-08
1.0,ground,0,-1.1749999999999998,7.365895742972194e-10
1.0,ground,0,-1.1724999999999999,4.069165248657231e-08
1.0,ground,0,-1.17,2.8820771615716197e-10
1.0,ground,0,-1.1675,3.069707666154253e-08
1.0,ground,0,-1.165,1.989108063158439e-09
1.0,ground,0,-1.1625,1.944330600161447e-08
1.0,ground,0,-1.1600000000000001,3.4314413860533886e-09
1.0,ground,0,-1.1575,1.281125167630417e-08
1.0,ground,0,-1.155,4.900595490352369e-09
1.0,ground,0,-1.1524999999999999,7.77692172253322e-09
1.0,ground,0,-1.15,5.833726379787484e-09
1.0,ground,0,-1.1475,4.328056384225058e-09
1.0,ground,0,-1.145,6.225852190321854e-09
1.0,ground,0,-1.1425,2.1393218174646975e-09
1.0,ground,0,-1.1400000000000001,6.214240509422335e-09
1.0,ground,0,-1.1375,8.924970591713541e-10
1.0,ground,0,-1.135,6.160882697134421e-09
1.0,ground,0,-1.1324999999999998,3.007236641862432e-10
1.0,ground,0,-1.13,8.87677955777559e-09
1.0,ground,0,-1.1275,4.296740095668698e-09
1.0,ground,0,-1.125,5.68504844760155e-10
1.0,ground,0,-1.1225,3.7000888647450787e-09
1.0,ground,0,-1.12,7.507769556165555e-09
1.0,ground,0,-1.1175,7.180474132178431e-10
1.0,ground,0,-1.115,2.2998137870030385e-09
1.0,ground,0,-1.1124999999999998,7.784952851157712e-10
1.0,ground,0,-1.1099999999999999,1.3165100551858189e-09
1.0,ground,0,-1.1075,8.500113223913274e-10
1.0,ground,0,-1.105,7.566649847949483e-10
1.0,ground,0,-1.1025,8.290482198196038e-10
1.0,ground,0,-1.1,4.181871567382355e-10
1.0,ground,0,-1.0975000000000001,6.995662493417546e-10
1.0,ground,0,-1.095,2.4057448164666765e-10
1.0,ground,0,-1.0925,4.784596467435797e-10
1.0,ground,0,-1.0899999999999999,1.748084286052908e-10
1.0,ground,0,-1.0875,2.149575234189453e-10
1.0,ground,0,-1.085,1.7074233490239745e-10
1.0,ground,0,-1.0825,1.92592050026384e-11
1.0,ground,0,-1.08,2.0171163650101335e-10
1.0,ground,0,-1.0775000000000001,1.8655683470581884e-10
1.0,ground,0,-1.075,4.47692112723422e-10
1.0,ground,0,-1.0725,1.8043375159771766e-09
1.0,ground,0,-1.0699999999999998,2.8509380861497105e-09
1.0,ground,0,-1.0675,1.1178146483186869e-08
1.0,ground,0,-1.065,3.426869212578887e-08
1.0,ground,0,-1.0625,1.220801499939979e-07
1.0,ground,0,-1.06,2.653204503811658e-06
1.0,ground,0,-1.0575,8.555935214803708e-06
1.0,ground,0,-1.055,1.034953597727405e-05
1.0,ground,0,-1.0525,5.094685571673682e-06
1.0,ground,0,-1.0499999999999998,7.032218755564543e-07
1.0,ground,0,-1.0474999999999999,3.83415548417476e-09
1.0,ground,0,-1.045,3.697276569988289e-08
1.0,ground,0,-1.0425,1.4979039305637122e-10
1.0,ground,0,-1.04,5.835633832503247e-09
1.0,ground,0,-1.0375,2.350584380957387e-10
1.0,ground,0,-1.0350000000000001,1.2244714635025732e-09
1.0,ground,0,-1.0325,2.0949792352439068e-10
1.0,ground,0,-1.03,2.7993788723729847e-10
1.0,ground,0,-1.0274999999999999,1.4499239392166412e-10
1.0,ground,0,-1.025,9.324262363473889e-11
1.0,ground,0,-1.0225,9.015947023923668e-11
1.0,ground,0,-1.02,8.338146745732376e-11
1.0,ground,0,-1.0175,5.4727219057776186e-11
1.0,ground,0,-1.0150000000000001,1.08066627054577e-10
1.0,ground,0,-1.0125,3.494424026356048e-11
1.0,ground,0,-1.01,1.3110654331117777e-10
1.0,ground,0,-1.0074999999999998,2.6873540602092336e-11
1.0,ground,0,-1.005,1.4494181725226832e-10
1.0,ground,0,-1.0025,2.3647519628994467e-11
1.0,ground,0,-1.0,1.4943741860404598e-10
