modulation_depth,mode_index,normalized_intensity
0.3,60,9.91367672173933e-23
0.35,-60,5.020077101549921e-21
0.35,-59,1.267920906991734e-20
0.35,-58,4.413542916066279e-20
0.35,-57,2.51911482013412e-19
0.35,-56,2.647063313604186e-19
0.35,-55,1.749289351572684e-18
0.35,-54,5.449108887008017e-18
0.35,-53,1.216419665966629e-17
0.35,-52,8.603878103588382e-17
0.35,-51,9.749835937562454e-17
0.35,-50,3.867505935550704e-16
0.35,-49,1.836027229913507e-15
0.35,-48,2.247585104434029e-15
0.35,-47,1.55677665634764e-14
0.35,-46,3.274276234090557e-14
0.35,-45,8.28810824415522e-14
0.35,-44,5.01426830530529e-13
0.35,-43,4.228438590215256e-13
0.35,-42,1.905363026594629e-12
0.35,-41,6.864012657175853e-12
0.35,-40,1.007311303849234e-11
0.35,-39,6.596092527091151e-11
0.35,-38,8.844707620058985e-11
0.35,-37,2.31698772565567e-10
0.35,-36,1.127246135581828e-09
0.35,-35,8.677893383114364e-10
0.35,-34,4.365551335696725e-09
0.35,-33,1.117973820071594e-08
0.35,-32,1.863303685957145e-08
0.35,-31,1.058027215230751e-07
0.35,-30,8.862979492052963e-08
0.35,-29,2.211519127626595e-07
0.35,-28,8.128866551464906e-07
0.35,-27,6.740135101873747e-07
0.35,-26,3.431195470740034e-06
0.35,-25,5.803454542459194e-06
0.35,-24,1.000200267092481e-05
0.35,-23,4.551854248873501e-05
0.35,-22,2.543040248590058e-05
0.35,-21,5.907698793680325e-05
0.35,-20,0.0001547828473838633
0.35,-19,0.0001459321897990508
0.35,-18,0.0006743936215360943
0.35,-17,0.0007048836933317721
0.35,-16,0.001127334910861695
0.35,-15,0.003785943926844915
0.35,-14,0.001684724331658216
0.35,-13,0.003809316413405795
0.35,-12,0.006659863432374038
0.35,-11,0.006958528190844636
0.35,-10,0.02696424961458144
0.35,-9,0.01676502315601815
0.35,-8,0.0221070498547747
0.35,-7,0.05015391459753973
0.35,-6,0.02216424126203973
0.35,-5,0.0480363305147894
0.35,-4,0.049741705369684
0.35,-3,0.05178220220172604
0.35,-2,0.1544207193175313
0.35,-1,0.05924548550804835
0.35,0,0.05652553443084099
0.35,1,0.07246794620392633
0.35,2,0.03371950974105776
0.35,3,0.06430852487619239
0.35,4,0.03450122915810544
0.35,5,0.03051913705910737
0.35,6,0.06557158564826444
0.35,7,0.02216438364986145
0.35,8,0.02251076325009786
0.35,9,0.01811357811537643
0.35,10,0.01063325041835441
0.35,11,0.02166707395786157
0.35,12,0.00694433074452318
0.35,13,0.004044006848097629
0.35,14,0.004489827126529101
0.35,15,0.001437816798659228
0.35,16,0.00149154114319995
0.35,17,0.0005899871457964333
0.35,18,0.0002952517816147524
0.35,19,0.0004807521124125778
0.35,20,0.0001257718808206124
0.35,21,7.073743554365554e-05
0.35,22,4.208017159929225e-05
0.35,23,1.585024939579385e-05
0.35,24,2.110382234653779e-05
0.35,25,5.600225431849266e-06
0.35,26,2.089708594395346e-06
0.35,27,1.896679710323301e-06
0.35,28,4.799033877833426e-07
0.35,29,3.293043844587424e-07
0.35,30,1.084823213985087e-07
0.35,31,3.54485771139345e-08
0.35,32,4.354549948336568e-08
0.35,33,9.629693722923746e-09
0.35,34,3.735618056018311e-09
0.35,35,1.852487827198649e-09
0.35,36,4.928727550053524e-10
0.35,37,4.504794086771783e-10
0.35,38,1.064158614395036e-10
0.35,39,2.936384318595116e-11
0.35,40,2.298996548220425e-11
0.35,41,4.783872997680191e-12
0.35,42,2.349536727059627e-12
0.35,43,7.183994316002397e-13
0.35,44,1.781336744183902e-13
0.35,45,1.71863054116849e-13
0.35,46,3.392979671811566e-14
0.35,47,1.005582823730339e-14
0.35,48,4.728700116251927e-15
0.35,49,9.927368127672574e-16
0.35,50,6.553853993020598e-16
0.35,51,1.470544139001436e-16
0.35,52,3.32267398557891e-17
0.35,53,2.431156736679625e-17
0.35,54,4.422173873149861e-18
0.35,55,1.637799315555675e-18
0.35,56,5.00735297388395e-19
0.35,57,1.049665747153202e-19
0.35,58,8.628247428170986e-20
0.35,59,1.677165208982992e-20
0.35,60,2.966019800025633e-21
