gamma_initial_prime,a_minus,role,provenance
3.20084,3.0126785863252903,curve,supplement_eq_11
3.2108394999999996,3.001900275985043,curve,supplement_eq_11
3.220839,2.9911776971623665,curve,supplement_eq_11
3.2308385,2.9805104560666518,curve,supplement_eq_11
3.2408379999999997,2.969898162084755,curve,supplement_eq_11
3.2508375,2.9593404277590376,curve,supplement_eq_11
3.260837,2.948836868765318,curve,supplement_eq_11
3.2708364999999997,2.9383871038907405,curve,supplement_eq_11
3.280836,2.9279907550115984,curve,supplement_eq_11
3.2908354999999996,2.917647447071097,curve,supplement_eq_11
3.3008349999999997,2.9073568080570698,curve,supplement_eq_11
3.3108345,2.8971184689796723,curve,supplement_eq_11
3.3208339999999996,2.886932063849053,curve,supplement_eq_11
3.3308335,2.876797229653003,curve,supplement_eq_11
3.340833,2.866713606334611,curve,supplement_eq_11
3.3508324999999997,2.856680836769912,curve,supplement_eq_11
3.360832,2.8466985667455593,curve,supplement_eq_11
3.3708315,2.8367664449365018,curve,supplement_eq_11
3.3808309999999997,2.826884122883697,curve,supplement_eq_11
3.3908305,2.8170512549718523,curve,supplement_eq_11
3.4008299999999996,2.8072674984072066,curve,supplement_eq_11
3.4108294999999997,2.7975325131953563,curve,supplement_eq_11
3.420829,2.7878459621191336,curve,supplement_eq_11
3.4308284999999996,2.7782075107165403,curve,supplement_eq_11
3.4408279999999998,2.7686168272587404,curve,supplement_eq_11
3.4508275,2.759073582728133,curve,supplement_eq_11
3.4608269999999997,2.749577450796475,curve,supplement_eq_11
3.4708265,2.7401281078031015,curve,supplement_eq_11
3.480826,2.7307252327332123,curve,supplement_eq_11
3.4908254999999997,2.721368507196253,curve,supplement_eq_11
3.500825,2.7120576154043756,curve,supplement_eq_11
3.5108244999999996,2.702792244150999,curve,supplement_eq_11
3.5208239999999997,2.6935720827894647,curve,supplement_eq_11
3.5308235,2.684396823211783,curve,supplement_eq_11
3.5408229999999996,2.675266159827495,curve,supplement_eq_11
3.5508224999999998,2.666179789542627,curve,supplement_eq_11
3.560822,2.657137411738761,curve,supplement_eq_11
3.5708214999999996,2.648138728252215,curve,supplement_eq_11
3.580821,2.6391834433533274,curve,supplement_eq_11
3.5908205,2.630271263725871,curve,supplement_eq_11
3.6008199999999997,2.621401898446574,curve,supplement_eq_11
3.6108195,2.612575058964761,curve,supplement_eq_11
3.6208189999999996,2.6037904590821217,curve,supplement_eq_11
3.6308184999999997,2.595047814932594,curve,supplement_eq_11
3.640818,2.586346844962382,curve,supplement_eq_11
3.6508174999999996,2.5776872699100886,curve,supplement_eq_11
3.6608169999999998,2.5690688127869823,curve,supplement_eq_11
3.6708165,2.5604911988573957,curve,supplement_eq_11
3.6808159999999996,2.5519541556192435,curve,supplement_eq_11
3.6908155,2.543457412784685,curve,supplement_eq_11
3.700815,2.5350007022609087,curve,supplement_eq_11
3.7108144999999997,2.5265837581310517,curve,supplement_eq_11
3.720814,2.5182063166352537,curve,supplement_eq_11
3.7308134999999996,2.5098681161518495,curve,supplement_eq_11
3.7408129999999997,2.5015688971786902,curve,supplement_eq_11
3.7508125,2.4933084023146015,curve,supplement_eq_11
3.7608119999999996,2.485086376240984,curve,supplement_eq_11
3.7708114999999998,2.4769025657035395,curve,supplement_eq_11
3.780811,2.4687567194941438,curve,supplement_eq_11
3.7908104999999996,2.460648588432852,curve,supplement_eq_11
3.80081,2.4525779253500426,curve,supplement_eq_11
3.8108095,2.444544485068698,curve,supplement_eq_11
3.8208089999999997,2.436548024386824,curve,supplement_eq_11
3.8308085,2.428588302060005,curve,supplement_eq_11
3.8408079999999996,2.4206650787841,curve,supplement_eq_11
3.8508074999999997,2.4127781171780724,curve,supplement_eq_11
3.860807,2.404927181766962,curve,supplement_eq_11
3.8708064999999996,2.39711203896499,curve,supplement_eq_11
3.8808059999999998,2.3893324570588015,curve,supplement_eq_11
3.8908055,2.381588206190849,curve,supplement_eq_11
3.9008049999999996,2.3738790583429097,curve,supplement_eq_11
3.9108045,2.3662047873197363,curve,supplement_eq_11
3.920804,2.358565168732851,curve,supplement_eq_11
3.9308034999999997,2.350959979984469,curve,supplement_eq_11
3.940803,2.3433890002515585,curve,supplement_eq_11
3.9508025,2.335852010470036,curve,supplement_eq_11
3.9608019999999997,2.3283487933191007,curve,supplement_eq_11
3.9708015,2.3208791332056897,curve,supplement_eq_11
3.9808009999999996,2.313442816249083,curve,supplement_eq_11
3.9908004999999998,2.306039630265629,curve,supplement_eq_11
4.0008,2.298669364753605,curve,supplement_eq_11
4.0107995,2.291331810878215,curve,supplement_eq_11
4.020799,2.2840267614567087,curve,supplement_eq_11
4.0307985,2.2767540109436397,curve,supplement_eq_11
4.040798000000001,2.2695133554162465,curve,supplement_eq_11
4.0507975,2.26230459255997,curve,supplement_eq_11
4.060797,2.2551275216540874,curve,supplement_eq_11
4.0707965,2.247981943557489,curve,supplement_eq_11
4.080796,2.2408676606945677,curve,supplement_eq_11
4.0907955000000005,2.233784477041243,curve,supplement_eq_11
4.100795000000001,2.2267321981111086,curve,supplement_eq_11
4.1107945,2.2197106309417016,curve,supplement_eq_11
4.120794,2.2127195840809004,curve,supplement_eq_11
4.1307935,2.2057588675734396,curve,supplement_eq_11
4.140793,2.1988282929475527,curve,supplement_eq_11
4.1507925000000006,2.1919276732017345,curve,supplement_eq_11
4.160792,2.185056822791623,curve,supplement_eq_11
4.1707915,2.178215557616997,curve,supplement_eq_11
4.180791,2.171403695008904,curve,supplement_eq_11
4.1907905,2.164621053716896,curve,supplement_eq_11
4.2007900000000005,2.1578674538963836,curve,supplement_eq_11
4.210789500000001,2.151142717096114,curve,supplement_eq_11
4.220789,2.1444466662457553,curve,supplement_eq_11
4.2307885,2.1377791256435987,curve,supplement_eq_11
4.240788,2.1311399209443804,curve,supplement_eq_11
4.2507875,2.1245288791472046,curve,supplement_eq_11
4.2607870000000005,2.1179458285835935,curve,supplement_eq_11
4.2707865,2.1113905989056314,curve,supplement_eq_11
4.280786,2.1048630210742334,curve,supplement_eq_11
4.2907855,2.0983629273475204,curve,supplement_eq_11
4.300785,2.091890151269296,curve,supplement_eq_11
4.3107845000000005,2.0854445276576397,curve,supplement_eq_11
4.320784000000001,2.0790258925935987,curve,supplement_eq_11
4.3307835,2.072634083409997,curve,supplement_eq_11
4.340783,2.0662689386803343,curve,supplement_eq_11
4.3507825,2.0599302982078087,curve,supplement_eq_11
4.360782,2.053618003014419,curve,supplement_eq_11
4.3707815000000005,2.0473318953301947,curve,supplement_eq_11
