series_kind,chord_id,endpoint,gamma_final_prime,gamma_initial_prime,y,z,provenance
locus,-1,locus,,0.004792062026155546,0.009583683895590035,-4.5925607666735464e-05,independent_steady_state_formula
locus,-1,locus,,0.00484171868101324,0.009682983380389983,-4.688228152077491e-05,independent_steady_state_formula
locus,-1,locus,,0.0048918898916839,0.009783311542597392,-4.7858882842426614e-05,independent_steady_state_formula
locus,-1,locus,,0.0049425809901353255,0.009884679032510241,-4.885582667967436e-05,independent_steady_state_formula
locus,-1,locus,,0.0049937973635866195,0.009987096610500835,-4.987353672340393e-05,independent_steady_state_formula
locus,-1,locus,,0.005045544455080721,0.010090575148147396,-5.091244548731042e-05,independent_steady_state_formula
locus,-1,locus,,0.005097827764062866,0.01019512562937713,-5.197299449154764e-05,independent_steady_state_formula
locus,-1,locus,,0.005150652846965042,0.010300759151620827,-5.3055634450197016e-05,independent_steady_state_formula
locus,-1,locus,,0.005204025317796503,0.010407486926979124,-5.4160825462635484e-05,independent_steady_state_formula
locus,-1,locus,,0.005257950848740399,0.01051532028340056,-5.528903720888311e-05,independent_steady_state_formula
locus,-1,locus,,0.00531243517075659,0.010624270665871495,-5.644074914901327e-05,independent_steady_state_formula
locus,-1,locus,,0.005367484074190706,0.010734349637618039,-5.761645072670961e-05,independent_steady_state_formula
locus,-1,locus,,0.005423103409389521,0.01084556888132011,-5.881664157705598e-05,independent_steady_state_formula
locus,-1,locus,,0.005479299087322696,0.010957940200337699,-6.004183173864704e-05,independent_steady_state_formula
locus,-1,locus,,0.005536077080210976,0.011071475519949484,-6.129254187010924e-05,independent_steady_state_formula
locus,-1,locus,,0.005593443422160888,0.011186186888603915,-6.256930347112394e-05,independent_steady_state_formula
locus,-1,locus,,0.005651404209806014,0.011302086479182879,-6.387265910804576e-05,independent_steady_state_formula
locus,-1,locus,,0.005709965602954924,0.011419186590278043,-6.520316264421174e-05,independent_steady_state_formula
locus,-1,locus,,0.0057691338252458,0.01153749964748003,-6.656137947503854e-05,independent_steady_state_formula
locus,-1,locus,,0.005828915164807863,0.01165703820468053,-6.794788676800697e-05,independent_steady_state_formula
locus,-1,locus,,0.005889315974929648,0.011777814945387455,-6.93632737076355e-05,independent_steady_state_formula
locus,-1,locus,,0.005950342674734199,0.011899842684053304,-7.080814174554593e-05,independent_steady_state_formula
locus,-1,locus,,0.0060120017498612646,0.012023134367416772,-7.228310485572673e-05,independent_steady_state_formula
locus,-1,locus,,0.006074299753156562,0.012147703075857847,-7.378878979510253e-05,independent_steady_state_formula
locus,-1,locus,,0.006137243305368188,0.012273562024766415,-7.53258363695189e-05,independent_steady_state_formula
locus,-1,locus,,0.006200839095850234,0.012400724565924542,-7.689489770525532e-05,independent_steady_state_formula
locus,-1,locus,,0.006265093883273708,0.012529204188902581,-7.849664052618088e-05,independent_steady_state_formula
locus,-1,locus,,0.006330014496344811,0.012659014522469158,-8.013174543666926e-05,independent_steady_state_formula
locus,-1,locus,,0.006395607834530661,0.012790169336015268,-8.180090721039308e-05,independent_steady_state_formula
locus,-1,locus,,0.0064618808687925385,0.0129226825409925,-8.350483508511878e-05,independent_steady_state_formula
locus,-1,locus,,0.006528840642326728,0.013056568192365604,-8.524425306362696e-05,independent_steady_state_formula
locus,-1,locus,,0.006596494271313036,0.013191840490079479,-8.701990022088463e-05,independent_steady_state_formula
locus,-1,locus,,0.006664848945671066,0.013328513780540743,-8.883253101759924e-05,independent_steady_state_formula
locus,-1,locus,,0.0067339119298243325,0.013466602558114011,-9.068291562028681e-05,independent_steady_state_formula
locus,-1,locus,,0.006803690563472288,0.013606121466632972,-9.257184022798848e-05,independent_steady_state_formula
locus,-1,locus,,0.0068741922623703575,0.013747085300926472,-9.450010740577402e-05,independent_steady_state_formula
locus,-1,locus,,0.006945424519118045,0.013889509008359668,-9.646853642517221e-05,independent_steady_state_formula
locus,-1,locus,,0.007017394903955215,0.01403340769039043,-9.847796361167172e-05,independent_steady_state_formula
locus,-1,locus,,0.007090111065566628,0.014178796604141104,-0.00010052924269943938,independent_steady_state_formula
locus,-1,locus,,0.007163580731894801,0.014325691163985778,-0.00010262324519340412,independent_steady_state_formula
locus,-1,locus,,0.007237811710961301,0.014474106943153191,-0.00010476086073886044,independent_steady_state_formula
locus,-1,locus,,0.007312811891696548,0.01462405967534541,-0.00010694299749874587,independent_steady_state_formula
locus,-1,locus,,0.00738858924477821,0.014775565256372436,-0.00010917058253875198,independent_steady_state_formula
