series_kind,branch,alpha,gamma_prime,y,z,provenance
bifurcation,lower_alpha_gt_half,0.7544919999999999,3.9293966018578197,0.24401862600607932,-0.9588459598183021,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.75549,3.9140475165368507,0.24490976770138181,-0.9585884680472104,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.756488,3.8988178784192624,0.24580029488129124,-0.958330584203905,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.757486,3.883706298594875,0.24669020710304584,-0.9580723111277734,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7584839999999999,3.8687114096036903,0.24757950393132933,-0.9578136516431555,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.759482,3.853831865023393,0.24846818493821723,-0.957554608559427,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.76048,3.8390663390663384,0.24935624970312373,-0.957295184671083,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.761478,3.8244135261857597,0.2502436978127492,-0.9570353827578196,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7624759999999999,3.8098721406909593,0.2511305288610279,-0.956775205584617,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.763474,3.795440916371255,0.25201674244907607,-0.9565146559018199,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.764472,3.7811186061284365,0.2529023381851401,-0.9562537364452195,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.76547,3.7669039816175087,0.2537873156845452,-0.9559924499361332,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.7664679999999999,3.752795832895508,0.2546716745696452,-0.9557307990814853,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.767466,3.7387929680781857,0.25555541446977104,-0.9554687865738861,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.768464,3.72489421300435,0.25643853502118125,-0.9552064150917112,independent_discriminant_zero
bifurcation,lower_alpha_gt_half,0.769462,3.7110984109076606,0.25732103586701166,-0.95494368729918,independent_discriminant_zero
