sample,concurrence,entanglement,best_random_decomposition_average_concurrence,lower_bound_gap
79,0.0,0.0,0.22062564135682536,0.22062564135682536
80,0.0,0.0,0.3223360126931561,0.3223360126931561
81,0.0,0.0,0.28559098091082624,0.28559098091082624
82,0.11666222673646015,0.03289379261170578,0.42534713773742333,0.3086849110009632
83,0.011396415268460525,0.000530997869724134,0.3821126654310897,0.37071625016262916
84,0.0,0.0,0.25317236808188576,0.25317236808188576
85,0.09476182998809471,0.02303321283554939,0.2589018531781962,0.16414002319010149
86,0.14572143812936045,0.04797340448489368,0.381526602504835,0.23580516437547455
87,0.2978472926740946,0.1563063295481091,0.4655883217439948,0.16774102906990018
88,0.0021312547096765666,2.406354991642937e-05,0.29449764900451086,0.2923663942948343
89,0.18130094772607902,0.06920426303307639,0.42899902839781556,0.24769808067173654
90,0.12175381295955273,0.03537769120456222,0.33089721157015206,0.20914339861059933
91,0.0,0.0,0.33412672410313826,0.33412672410313826
92,0.1907202457378105,0.07529172527530109,0.4095932027955004,0.2188729570576899
93,0.0,0.0,0.2966032551890523,0.2966032551890523
94,0.04981333339001098,0.007508317916469462,0.2884952394106234,0.2386819060206124
95,0.221079201807655,0.09613721336290122,0.4649155693869742,0.2438363675793192
96,0.0,0.0,0.236475601326345,0.236475601326345
97,0.1501300827919964,0.050445552034393104,0.28134450505684877,0.13121442226485236
98,0.05182191198628777,0.008049739882345877,0.2835483146028471,0.2317264026165593
99,0.21153272347789237,0.08938692349539414,0.31626790579215625,0.10473518231426387
100,0.12047330885270163,0.03474645790906119,0.28044372294511954,0.1599704140924179
101,0.0,0.0,0.39843022132052186,0.39843022132052186
102,0.2577358506161827,0.12361663780100496,0.46894631592330577,0.21121046530712306
103,0.0,0.0,0.3262053635522823,0.3262053635522823
104,0.27489888557693504,0.13728469834621865,0.4211134865360455,0.14621460095911049
105,0.4383348387444188,0.2889154080527591,0.54488409275331,0.10654925400889115
106,0.012397386489515105,0.0006190408634162473,0.35539600299088764,0.34299861650137253
107,0.210809260354681,0.08888252183417619,0.3277415659644275,0.11693230560974649
108,0.17421014945957408,0.06474645409303313,0.4535713441518482,0.2793611946922741
109,0.0,0.0,0.31377567398823086,0.31377567398823086
110,0.08953620211209612,0.02088768436148514,0.2582176129383153,0.16868141082621918
111,0.0,0.0,0.2865132927724992,0.2865132927724992
112,0.18341432479226782,0.07055379247920457,0.32567183357083046,0.14225750877856264
113,0.1624976555145064,0.05762535949343374,0.3991877755797406,0.2366901200652342
114,0.0,0.0,0.26948330987074975,0.26948330987074975
115,0.026322037806144116,0.0024145646773083493,0.4673223078473161,0.441000270041172
116,0.2059216771087407,0.08550169866446494,0.4205062225563872,0.2145845454476465
117,0.12477732465424707,0.03688541531623921,0.3960947015996184,0.27131737694537134
118,0.2876099593239167,0.14771791844086998,0.49749057308779376,0.20988061376387707
119,0.5528720855031728,0.41393306812938474,0.6346122762606367,0.08174019075746386
120,0.0,0.0,0.3120988159665625,0.3120988159665625
121,0.32249800961215763,0.17763986143668126,0.45408481065805967,0.13158680104590204
122,0.0,0.0,0.22360956557742503,0.22360956557742503
123,0.0,0.0,0.3008894832362616,0.3008894832362616
124,0.13541084793524405,0.04237678955539609,0.4909748378234316,0.35556398988818755
125,0.2407670049764988,0.11059689607272864,0.37535300686950074,0.13458600189300193
126,0.09155985290250102,0.021708695756522497,0.4222255497296042,0.3306656968271032
127,0.0037162600079395647,6.762568999965621e-05,0.39864833482803513,0.39493207482009557
