sample_id,rank,branch,concurrence,ensemble_average_concurrence,ensemble_average_entanglement,reconstruction_error,concurrence_gap,entanglement_gap,hjw_converse_error,phase_closure_error,component_entanglement_spread
random_rank_4_8,4,positive_concurrence,0.03556699470380381,0.035566994703804054,0.004134303049440754,1.0122828684060117e-15,2.42861286636753e-16,6.938893903907228e-18,4.63351427302578e-16,0.0,2.9611729734924097e-15
random_rank_4_9,4,zero_concurrence,0.0,5.862993910253304e-16,7.344296958103171e-17,3.3812426166083864e-16,5.862993910253304e-16,7.344296958103171e-17,4.019545580545896e-16,7.473417450352271e-17,1.6017132519074586e-16
random_rank_4_10,4,zero_concurrence,0.0,5.064141030744093e-16,9.031680613715001e-17,3.250872777514909e-16,5.064141030744093e-16,9.031680613715001e-17,3.8976909767808913e-16,3.5735303605122226e-16,3.2034265038149176e-16
random_rank_4_11,4,zero_concurrence,0.0,5.023683482267966e-16,1.2884311418200096e-16,4.2341469471210704e-16,5.023683482267966e-16,1.2884311418200096e-16,4.210409762853856e-16,3.872770160118222e-16,3.2034265038149176e-16
random_rank_4_12,4,zero_concurrence,0.0,6.262986002616553e-16,8.82587848916619e-17,4.178631637067424e-16,6.262986002616553e-16,8.82587848916619e-17,6.379562128045794e-16,7.958959704453304e-17,3.2034265038149176e-16
random_rank_4_13,4,positive_concurrence,0.10864855797273626,0.10864855797273618,0.029127666309449154,4.754281786959488e-16,8.326672684688674e-17,3.5735303605122226e-16,5.452477626019178e-16,0.0,3.4243441415782172e-15
random_rank_4_14,4,zero_concurrence,0.0,2.0783841775383305e-15,1.1237513483799267e-16,4.964132570833268e-16,2.0783841775383305e-15,1.1237513483799267e-16,5.68354290845375e-16,0.0,3.2034265038149176e-16
random_rank_4_15,4,zero_concurrence,0.0,9.846776641493075e-16,1.8295693348090025e-16,4.422222364575163e-16,9.846776641493075e-16,1.8295693348090025e-16,3.433696325362477e-15,4.2591259185719184e-16,4.805139755722375e-16
random_rank_4_16,4,zero_concurrence,0.0,6.492607604812508e-16,1.9864530942018538e-16,6.441701236576805e-16,6.492607604812508e-16,1.9864530942018538e-16,3.542405580096396e-16,5.647850449853784e-17,4.805139755722375e-16
random_rank_4_17,4,positive_concurrence,0.38318456464518197,0.3831845646451816,0.2338103963894705,1.0948847082648926e-15,3.885780586188048e-16,1.1102230246251565e-16,3.2909213443231015e-16,0.0,8.326672684688674e-16
random_rank_4_18,4,zero_concurrence,0.0,3.492035668307078e-16,7.336683744296274e-17,7.158304421650575e-16,3.492035668307078e-16,7.336683744296274e-17,3.7136050016160643e-16,3.6880726988814706e-17,3.2034265038149176e-16
random_rank_4_19,4,zero_concurrence,0.0,1.1095595217016246e-15,3.5670807774690497e-16,7.239119747132969e-16,1.1095595217016246e-15,3.5670807774690497e-16,9.619084690331902e-16,1.821377042022605e-16,8.008566259537292e-16
random_rank_4_20,4,positive_concurrence,0.115687983993437,0.11568798399343713,0.03242649646318555,1.2474846592503321e-15,1.3877787807814457e-16,2.0122792321330962e-16,4.555622977167374e-16,0.0,2.1024848528838902e-15
random_rank_4_21,4,positive_concurrence,0.23664463134694017,0.23664463134694058,0.1075106286472426,3.547329245240721e-16,4.163336342344337e-16,7.632783294297951e-16,6.31296357350873e-16,0.0,2.1094237467877974e-15
random_rank_4_22,4,positive_concurrence,0.3797401769381652,0.379740176938165,0.23049177809106675,5.568719047810682e-16,2.220446049250313e-16,1.1102230246251565e-16,1.3796811022569555e-15,0.0,5.551115123125783e-16
random_rank_4_23,4,positive_concurrence,0.060727296171058376,0.060727296171058424,0.010634119208676233,2.719147922994283e-16,4.85722573273506e-17,1.3461454173580023e-15,3.9884778607538003e-16,0.0,1.923808334858279e-15
random_rank_4_24,4,positive_concurrence,0.3175381931383338,0.31753819313833415,0.1732750759716022,4.518030595442124e-16,3.3306690738754696e-16,5.551115123125783e-17,9.533652025920737e-16,0.0,1.8596235662471372e-15
random_rank_4_25,4,positive_concurrence,0.14076495843248277,0.1407649584324825,0.0452502744574333,5.000639435966704e-16,2.7755575615628914e-16,7.979727989493313e-16,6.558080745965046e-16,0.0,4.517219931443606e-15
random_rank_4_26,4,positive_concurrence,0.3446465523874339,0.3446465523874336,0.19756013090536245,5.333985560213682e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.998562877101024e-16,0.0,2.55351295663786e-15
random_rank_4_27,4,positive_concurrence,0.17964966774652125,0.17964966774652108,0.06815645260740864,5.146520309359411e-16,1.6653345369377348e-16,1.1102230246251565e-16,4.247312436022101e-16,0.0,6.106226635438361e-16
random_rank_4_28,4,positive_concurrence,0.45714726838309105,0.45714726838309183,0.3085163533714067,4.698059068997041e-16,7.771561172376096e-16,8.881784197001252e-16,4.2018998994704745e-16,0.0,1.5543122344752192e-15
random_rank_4_29,4,zero_concurrence,0.0,7.483979606711694e-16,1.5377334900311792e-16,1.0550463537905588e-15,7.483979606711694e-16,1.5377334900311792e-16,5.797818535177582e-16,1.4438902883526792e-16,3.2034265038149176e-16
random_rank_4_30,4,positive_concurrence,0.031354650875136114,0.03135465087513619,0.003302236002957838,5.93350557335616e-16,7.632783294297951e-17,5.434021288497348e-16,7.952075346192615e-16,0.0,6.474855374083432e-16
random_rank_4_31,4,positive_concurrence,0.29649246388956096,0.2964924638895607,0.15516038484527417,8.094162856433622e-16,2.7755575615628914e-16,3.885780586188048e-16,6.769890329384503e-16,0.0,1.27675647831893e-15
