branch,source_x,source_y,generated_x,generated_y,distance
upper_chiral_edge,-0.06238167722364966,0.19947361421978452,-0.06975647374415696,0.19999999999991033,0.007393558392844763
upper_chiral_edge,-0.02625333486095825,0.19947361421978452,-0.03489949670251505,0.1999999999999224,0.008662170431244369
upper_chiral_edge,-0.02625333486095825,0.19947361421978452,-3.898525368977566e-15,0.1999999999999254,0.02625861141246687
upper_chiral_edge,0.009896830722730949,0.19947361421978452,0.034899496702514,0.19999999999992124,0.025008206414817737
upper_chiral_edge,0.04603608469592125,0.19947361421978452,0.069756473744156,0.1999999999999108,0.02372622891630978
upper_chiral_edge,0.08209895739561682,0.19947361421978452,0.10452846326771184,0.19999999999988952,0.022435681751527894
upper_chiral_edge,0.11804180237982269,0.19947361421978452,0.1391731009601737,0.19999999999984577,0.02113785376241864
upper_chiral_edge,0.1538209732065402,0.19947361421978452,0.17364817766714188,0.19999999999975965,0.0198341906492769
upper_chiral_edge,0.189392823433775,0.19947361421978452,0.20791169081820288,0.19999999999957416,0.018526346946745632
upper_chiral_edge,0.22470279500903018,0.19947361421978452,0.24192189560069985,0.19999999999914367,0.017227144486964472
upper_chiral_edge,0.25970724149030827,0.19947361421978452,0.27563735581966214,0.19999999999806678,0.01593880875516936
upper_chiral_edge,0.29436251643561306,0.19947361421978452,0.3090169943825136,0.19999999999510334,0.014663928732800523
upper_chiral_edge,0.32861406179245073,0.19947361421978452,0.34202014334929004,0.19999999998618806,0.013416411766329302
upper_chiral_edge,0.3624291427293215,0.19947361421978452,0.37460659349643266,0.1999999999570105,0.012188822302822032
upper_chiral_edge,0.3957750244147293,0.19947361421978452,0.406736643373175,0.19999999985377265,0.010974250408379868
upper_chiral_edge,0.42857532557517874,0.19947361421978452,0.4383711479678457,0.1999999994622074,0.009809955034153628
upper_chiral_edge,0.4608082229896721,0.19947361421978452,0.46947156774790555,0.19999999788612915,0.008679321526721153
upper_chiral_edge,0.49243007021621377,0.19947361421978452,0.5000000219146968,0.19999999123412138,0.007588230457661976
upper_chiral_edge,0.5233972208128057,0.19947361421978452,0.5299193643520408,0.19999996221355715,0.006543347656737672
upper_chiral_edge,0.5536660283374523,0.19947361421978452,0.559193368525772,0.1999998336693379,0.005552332524849548
upper_chiral_edge,0.5832146695691546,0.19947221071150506,0.587787400060989,0.1999992692022603,0.004603004975407809
upper_chiral_edge,0.6119885864554193,0.19946870194080632,0.6156710383473748,0.1999968934638278,0.003720139543291121
upper_chiral_edge,0.6399877789962402,0.1994539651038719,0.6428269372136025,0.19998776419443762,0.0028889030534625074
upper_chiral_edge,0.6672558936336204,0.1994090528389288,0.6692722453648724,0.19995767372485573,0.0020896552779342157
upper_chiral_edge,0.693880223251551,0.19929536866829162,0.6950848343785474,0.1998772915481861,0.0013378049952920278
upper_chiral_edge,0.7200462652285168,0.19906800032701746,0.7203973331179014,0.1997064029166445,0.0007285647050190464
upper_chiral_edge,0.7458631356695093,0.1986932636163987,0.7453479218555822,0.1994088408074647,0.0008817573308089401
upper_chiral_edge,0.7714399506795201,0.19815291292880247,0.7700387674475297,0.19896256539348073,0.0016182866134188004
