k_over_pi,rho_band0,rho_band1,rho_band2
-3.611111111111109384e-02,1.707019640892336538e-03,5.289018017596036625e-01,4.693911785995041330e-01
-3.333333333333331205e-02,1.677804652731999932e-03,5.336210701671616485e-01,4.647011251801067555e-01
-3.055555555555552680e-02,1.606161322607894439e-03,5.380071919317100937e-01,4.603866467456805278e-01
-2.777777777777774501e-02,1.494534664388134622e-03,5.420483828563849027e-01,4.564570824792257286e-01
-2.499999999999996322e-02,1.347576451261552934e-03,5.457341423345211107e-01,4.529182812142176218e-01
-2.222222222222218144e-02,1.172135450065797278e-03,5.490552073150172241e-01,4.497726572349163288e-01
-1.944444444444439965e-02,9.770976396972477687e-04,5.520034992797053786e-01,4.470194030805973995e-01
-1.666666666666661786e-02,7.730470708743058953e-04,5.545720673891683106e-01,4.446548855399563571e-01
-1.388888888888887251e-02,5.717335623388862271e-04,5.567550307794448816e-01,4.426732356582167571e-01
-1.111111111111105602e-02,3.853577308703546515e-04,5.585475227479590465e-01,4.410671195211735007e-01
-8.333333333333308932e-03,2.257147734047572709e-04,5.599456392700332685e-01,4.398286459565613482e-01
-5.555555555555492450e-03,1.032708547645965922e-04,5.609463939521647236e-01,4.389503351930674757e-01
-2.777777777777746225e-03,2.627232274942494229e-05,5.615476811673643098e-01,4.384260465098887560e-01
0.000000000000000000e+00,1.985877247498383647e-30,5.617482487407710057e-01,4.382517512592297715e-01
2.777777777777816915e-03,2.627232274944153398e-05,5.615476811673644209e-01,4.384260465098871462e-01
5.555555555555563574e-03,1.032708547646099550e-04,5.609463939521653897e-01,4.389503351930676422e-01
8.333333333333380055e-03,2.257147734047231186e-04,5.599456392700333796e-01,4.398286459565625139e-01
1.111111111111112715e-02,3.853577308703379006e-04,5.585475227479572702e-01,4.410671195211709472e-01
1.388888888888894363e-02,5.717335623388308244e-04,5.567550307794446596e-01,4.426732356582174788e-01
1.666666666666669072e-02,7.730470708743467697e-04,5.545720673891689767e-01,4.446548855399565237e-01
1.944444444444450720e-02,9.770976396972234825e-04,5.520034992797057116e-01,4.470194030805967889e-01
2.222222222222225430e-02,1.172135450065748923e-03,5.490552073150178902e-01,4.497726572349169394e-01
2.500000000000000139e-02,1.347576451261469884e-03,5.457341423345206666e-01,4.529182812142173442e-01
2.777777777777781787e-02,1.494534664388379869e-03,5.420483828563856799e-01,4.564570824792272274e-01
3.055555555555556496e-02,1.606161322607918942e-03,5.380071919317114260e-01,4.603866467456818601e-01
3.333333333333338144e-02,1.677804652731924471e-03,5.336210701671613155e-01,4.647011251801076437e-01
3.611111111111112854e-02,1.707019640892277991e-03,5.289018017596031074e-01,4.693911785995046326e-01
3.888888888888894502e-02,1.693464195567255743e-03,5.238624903003071820e-01,4.744440455041261662e-01
4.166666666666669211e-02,1.638718496786589025e-03,5.185175811261260037e-01,4.798437003770867348e-01
4.444444444444450859e-02,1.546060298180508639e-03,5.128828671368271808e-01,4.855710725649922122e-01
4.722222222222225568e-02,1.420222675893674210e-03,5.069754752735576853e-01,4.916043020505469485e-01
5.000000000000000278e-02,1.267153846003006177e-03,5.008138312698514616e-01,4.979190148841465824e-01
5.277777777777781926e-02,1.093792269734622123e-03,4.944176008425715252e-01,5.044886068876943686e-01
5.555555555555556635e-02,9.078648942105946567e-04,4.878076061758023219e-01,5.112845289299866591e-01
5.833333333333338283e-02,7.177122231282293419e-04,4.810057173458807678e-01,5.182765704309908461e-01
6.111111111111112992e-02,5.321409300769941106e-04,4.740347192109633512e-01,5.254331398589611180e-01
6.388888888888893947e-02,3.603027492018848915e-04,4.669181552048031758e-01,5.327215420459934236e-01
6.666666666666669350e-02,2.115971926966792786e-04,4.596801503862940619e-01,5.401082524210073510e-01
6.944444444444450304e-02,9.559504538692804366e-05,4.523452169540279622e-01,5.475591880005867829e-01
7.222222222222225707e-02,2.197939450599467912e-05,4.449380461889539951e-01,5.550399744165418481e-01
7.499999999999999722e-02,5.010250680651632339e-07,4.374832913919480815e-01,5.625162075829819308e-01
7.777777777777782064e-02,4.094524120807524378e-05,4.300053467985833766e-01,5.699537079602089440e-01
8.055555555555556080e-02,1.531074858051913320e-04,4.225281276539586406e-01,5.773187648602376987e-01
8.333333333333338422e-02,3.467754738325390276e-04,4.150748566031672304e-01,5.845783679229995533e-01
8.611111111111112437e-02,6.317158971467312862e-04,4.076678613002818752e-01,5.917004228025722901e-01
8.888888888888894779e-02,1.017664081294696390e-03,4.003283876780973083e-01,5.986539482406070256e-01
9.166666666666668795e-02,1.514315269046426649e-03,3.930764326832887345e-01,6.054092520476638262e-01
9.444444444444451137e-02,2.131316467476438489e-03,3.859305995082220608e-01,6.119380840243042741e-01
9.722222222222225152e-02,2.878258025906882834e-03,3.789079774900117603e-01,6.182137644840799418e-01
1.000000000000000056e-01,3.764664313364129381e-03,3.720240479501557007e-01,6.242112877364801582e-01
1.027777777777778151e-01,4.799983039798949580e-03,3.652926163635371037e-01,6.299074005966643908e-01
1.055555555555555691e-01,5.993572918856148249e-03,3.587257704184840801e-01,6.352806566626580942e-01
1.083333333333333787e-01,7.354689504901637184e-03,3.523338627957483538e-01,6.403114476993504445e-01
1.111111111111111327e-01,8.892469156304719236e-03,3.461255168809566629e-01,6.449820139627366888e-01
1.138888888888889422e-01,1.061591118306277545e-02,3.401076531484497623e-01,6.492764356684854743e-01
1.166666666666666963e-01,1.253385833140864894e-02,3.342855336205506900e-01,6.531806080480423438e-01
1.194444444444445058e-01,1.465497584223607840e-02,3.286628216126177282e-01,6.566822025451454214e-01
1.222222222222222598e-01,1.698772939439370175e-02,3.232416539100954056e-01,6.597706166955115137e-01
1.250000000000000000e-01,1.954036230816535644e-02,3.180227225734400531e-01,6.624369151183959747e-01
1.277777777777778234e-01,2.232087243797602552e-02,3.130053637110190023e-01,6.646737638510025192e-01
1.305555555555555636e-01,2.533698922572445375e-02,3.081876507776019625e-01,6.664753599966756203e-01
1.333333333333333870e-01,2.859615141600293370e-02,3.035664902260757914e-01,6.678373583579231276e-01
1.361111111111111271e-01,3.210548595065209482e-02,2.991377176428836604e-01,6.687567964064655701e-01
1.388888888888889506e-01,3.587178856133582672e-02,2.948961928155686696e-01,6.692320186230963364e-01
1.416666666666666907e-01,3.990150656418468139e-02,2.908358924994177697e-01,6.692626009363951134e-01
1.444444444444445141e-01,4.420072432917988847e-02,2.869499999573482119e-01,6.688492757134733013e-01
1.472222222222222543e-01,4.877515184856167502e-02,2.832309906342083683e-01,6.679938575172281734e-01
1.499999999999999944e-01,5.363011676328013205e-02,2.796707135876234651e-01,6.666991696490951469e-01
1.527777777777778179e-01,5.877056012511820693e-02,2.762604685282060712e-01,6.649689713466792051e-01
1.555555555555555580e-01,6.420103607612995256e-02,2.729910785213149338e-01,6.628078854025551969e-01
1.583333333333333814e-01,6.992571551841118838e-02,2.698529585697858058e-01,6.602213259117990507e-01
1.611111111111111216e-01,7.594839372889174156e-02,2.668361804334083431e-01,6.572154258377017610e-01
1.638888888888889450e-01,8.227250174918498971e-02,2.639305341479825651e-01,6.537969641028366086e-01
1.666666666666666852e-01,8.890112125351294636e-02,2.611255867866362768e-01,6.499732919598549818e-01
1.694444444444445086e-01,9.583700247273657657e-02,2.584107390606719123e-01,6.457522584665943421e-01
1.722222222222222487e-01,1.030825846343439850e-01,2.557752803889410398e-01,6.411421349767159050e-01
1.749999999999999889e-01,1.106400182716346797e-01,2.532084430750727311e-01,6.361515386532905492e-01
1.777777777777778123e-01,1.185111886650900420e-01,2.506994562224141299e-01,6.307893551124926779e-01
