series,t1,E,root_index,beta_real,beta_imag,abs_beta
transition,1.2018504251546631,0.8618236472945893,1,-0.336432566356228,-0.41621482871745485,0.5351837584879964
transition,1.2018504251546631,0.8665330661322646,1,-0.3342544873597707,-0.41796601898861935,0.5351837584879964
transition,1.2018504251546631,0.87124248496994,1,-0.3320645387230057,-0.4197079907173743,0.5351837584879964
transition,1.2018504251546631,0.8759519038076152,1,-0.329862720445933,-0.4214406731787361,0.5351837584879964
transition,1.2018504251546631,0.8806613226452906,1,-0.32764903252855265,-0.4231639951986009,0.5351837584879964
transition,1.2018504251546631,0.885370741482966,1,-0.3254234749708647,-0.42487788514727975,0.5351837584879964
transition,1.2018504251546631,0.8900801603206413,1,-0.3231860477728691,-0.4265822709329243,0.5351837584879964
transition,1.2018504251546631,0.8947895791583167,1,-0.32093675093456575,-0.42827707999483533,0.5351837584879964
transition,1.2018504251546631,0.899498997995992,1,-0.31867558445595473,-0.42996223929665456,0.5351837584879964
transition,1.2018504251546631,0.9042084168336674,1,-0.31640254833703607,-0.4316376753194368,0.5351837584879964
transition,1.2018504251546631,0.9089178356713428,1,-0.31411764257780966,-0.4333033140545978,0.5351837584879964
transition,1.2018504251546631,0.913627254509018,1,-0.31182086717827573,-0.43495908099673714,0.5351837584879964
transition,1.2018504251546631,0.9183366733466934,1,-0.3095122221384341,-0.4366049011363325,0.5351837584879964
transition,1.2018504251546631,0.9230460921843687,1,-0.3071917074582847,-0.43824069895230133,0.5351837584879964
transition,1.2018504251546631,0.9277555110220441,1,-0.3048593231378277,-0.43986639840442876,0.5351837584879965
transition,1.2018504251546631,0.9324649298597195,1,-0.30251506917706295,-0.44148192292565597,0.5351837584879964
transition,1.2018504251546631,0.9371743486973948,1,-0.30015894557599065,-0.44308719541422936,0.5351837584879964
transition,1.2018504251546631,0.9418837675350702,1,-0.29779095233461056,-0.44468213822570357,0.5351837584879964
transition,1.2018504251546631,0.9465931863727455,1,-0.295411089452923,-0.4462666731647963,0.5351837584879964
transition,1.2018504251546631,0.9513026052104209,1,-0.29301935693092757,-0.44784072147709353,0.5351837584879964
