curve,t1,theta,beta_real,beta_imag,abs_beta
C_beta,1.0,3.692902784999701,-0.3809539827122623,-0.23425213564803507,0.447213595499958
C_beta,1.0,3.7104046939333486,-0.376795987656534,-0.2408833404076279,0.44721359549995804
C_beta,1.0,3.7279066028669967,-0.3725225765996641,-0.2474407604327699,0.447213595499958
C_beta,1.0,3.7454085118006444,-0.3681350585259085,-0.25392238712670834,0.4472135954999579
C_beta,1.0,3.762910420734292,-0.3636347773715286,-0.2603262351088704,0.447213595499958
C_beta,1.0,3.78041232966794,-0.359023111613132,-0.26665034282300226,0.44721359549995804
C_beta,1.0,3.797914238601588,-0.35430147384543287,-0.2728927731380113,0.44721359549995804
C_beta,1.0,3.815416147535236,-0.3494713103485609,-0.2790516139413279,0.447213595499958
C_beta,1.0,3.8329180564688836,-0.34453410064505363,-0.28512497872460085,0.447213595499958
C_beta,1.0,3.8504199654025317,-0.3394913570466642,-0.29111100716155414,0.44721359549995804
C_beta,1.0,3.8679218743361794,-0.33434462419112776,-0.29700786567781934,0.447213595499958
C_beta,1.0,3.8854237832698275,-0.32909547856902416,-0.3028137480125778,0.4472135954999579
C_beta,1.0,3.902925692203475,-0.32374552804088547,-0.3085268757718333,0.4472135954999579
C_beta,1.0,3.9204276011371233,-0.31829641134469294,-0.3141454989731511,0.447213595499958
C_beta,1.0,3.937929510070771,-0.3127497975939179,-0.3196678965816922,0.44721359549995804
C_beta,1.0,3.9554314190044186,-0.3071073857662562,-0.325092377037383,0.44721359549995804
C_beta,1.0,3.9729333279380667,-0.30137090418321666,-0.33041727877305455,0.4472135954999579
C_beta,1.0,3.9904352368717144,-0.295542109980721,-0.3356409707233959,0.44721359549995804
C_beta,1.0,4.0079371458053625,-0.28962278857087603,-0.3407618528245638,0.447213595499958
C_beta,1.0,4.02543905473901,-0.2836147530950876,-0.3457783565042968,0.44721359549995804
C_beta,1.0,4.042940963672658,-0.27751984386867734,-0.35068894516238314,0.4472135954999579
C_beta,1.0,4.060442872606306,-0.2713399278171785,-0.3554921146413355,0.44721359549995804
C_beta,1.0,4.077944781539954,-0.26507689790448014,-0.36018639368712674,0.447213595499958
C_beta,1.0,4.095446690473602,-0.2587326725529945,-0.3647703443998497,0.4472135954999579
C_beta,1.0,4.112948599407249,-0.252309195056027,-0.3692425626741584,0.44721359549995804
C_beta,1.0,4.130450508340897,-0.24580843298252864,-0.37360167862935756,0.447213595499958
C_beta,1.0,4.147952417274546,-0.23923237757441104,-0.3778463570290105,0.447213595499958
C_beta,1.0,4.165454326208193,-0.23258304313661263,-0.3819752976899326,0.447213595499958
C_beta,1.0,4.182956235141841,-0.22586246642009705,-0.3859872358804506,0.44721359549995804
C_beta,1.0,4.200458144075489,-0.2190727059979792,-0.3898809427078002,0.447213595499958
C_beta,1.0,4.217960053009137,-0.21221584163496512,-0.39365522549454807,0.44721359549995804
C_beta,1.0,4.235461961942785,-0.20529397365030264,-0.3973089281439179,0.44721359549995804
C_beta,1.0,4.252963870876433,-0.19830922227443284,-0.4008409314939152,0.447213595499958
