register_qubits,unitary_sample,control_group_registers,complement_registers,control_group_size,negativity,minimum_partial_transpose_eigenvalue
5,1,0,1;2;3;4,1,0.0062941709112616815,-0.0021043296171191616
5,1,1,0;2;3;4,1,0.009098285198797995,-0.003256838784846482
5,1,2,0;1;3;4,1,0.007865307103532058,-0.002623317772386302
5,1,3,0;1;2;4,1,0.009237031824853352,-0.0030556527143036963
5,1,4,0;1;2;3,1,0.00766227580404005,-0.0024817977634800483
5,1,0;1,2;3;4,2,0.013579900069120776,-0.00514847709933986
5,1,0;2,1;3;4,2,0.012065217635386892,-0.004898152473798813
5,1,0;3,1;2;4,2,0.011186553067740919,-0.003746573672781641
5,1,0;4,1;2;3,2,0.012171281897794135,-0.0043150164151424045
5,1,1;2,0;3;4,2,0.012554044444504685,-0.004440685327990781
5,1,1;3,0;2;4,2,0.013337861500135394,-0.004518764736211975
5,1,1;4,0;2;3,2,0.013484590977740032,-0.004441319844494719
5,1,2;3,0;1;4,2,0.01343033039832249,-0.004549210427298729
5,1,2;4,0;1;3,2,0.012289401769954675,-0.004273023617339269
5,1,3;4,0;1;2,2,0.013739425290939872,-0.004565804633920753
5,1,0;1;2,3;4,3,0.013739425290939881,-0.004565804633920781
5,1,0;1;3,2;4,3,0.012289401769954678,-0.004273023617339277
5,1,0;1;4,2;3,3,0.01343033039832259,-0.00454921042729876
5,1,0;2;3,1;4,3,0.01348459097774008,-0.0044413198444947614
5,1,0;2;4,1;3,3,0.013337861500135377,-0.004518764736211984
5,1,0;3;4,1;2,3,0.012554044444504633,-0.004440685327990764
5,1,1;2;3,0;4,3,0.012171281897794019,-0.0043150164151423785
5,1,1;2;4,0;3,3,0.011186553067740928,-0.0037465736727816715
5,1,1;3;4,0;2,3,0.012065217635386864,-0.004898152473798786
5,1,2;3;4,0;1,3,0.013579900069120732,-0.005148477099339835
5,1,0;1;2;3,4,4,0.00766227580404003,-0.0024817977634800483
5,1,0;1;2;4,3,4,0.009237031824853366,-0.0030556527143037033
5,1,0;1;3;4,2,4,0.007865307103531947,-0.0026233177723862986
5,1,0;2;3;4,1,4,0.009098285198798083,-0.0032568387848464944
5,1,1;2;3;4,0,4,0.006294170911261684,-0.00210432961711916
5,2,,0;1;2;3;4,0,0.0,0.0046874999999999825
5,2,0,1;2;3;4,1,0.008770909751103935,-0.0027557481966981063
5,2,1,0;2;3;4,1,0.00670821926190973,-0.0023371477933885366
5,2,2,0;1;3;4,1,0.008364953187106719,-0.0030265024301340867
5,2,3,0;1;2;4,1,0.007359613976315203,-0.0027582384109863145
5,2,4,0;1;2;3,1,0.008360907883843288,-0.0026224428346566173
5,2,0;1,2;3;4,2,0.01160875329876965,-0.00390633463293257
5,2,0;2,1;3;4,2,0.012112532058972955,-0.004572824003407173
5,2,0;3,1;2;4,2,0.012141614970579924,-0.0043609504621700025
5,2,0;4,1;2;3,2,0.013295702977868806,-0.004637974077723312
5,2,1;2,0;3;4,2,0.012169949010383907,-0.004128717550104764
5,2,1;3,0;2;4,2,0.0108080831144594,-0.0035274501710733123
5,2,1;4,0;2;3,2,0.012976458360887157,-0.0042213141180378125
5,2,2;3,0;1;4,2,0.0130550353590056,-0.004662134335576547
