beta_eps,fermion,boson,ex2,ex3,ex4
-3.06000,0.95521230,nan,1.91042459,0.97709318,1.87307299
-3.04000,0.95434883,nan,1.90869766,0.97664124,1.87076109
-3.02000,0.95346953,nan,1.90693905,0.97618060,1.86841163
-3.00000,0.95257413,nan,1.90514825,0.97571110,1.86602417
-2.98000,0.95166237,nan,1.90332474,0.97523259,1.86359827
-2.96000,0.95073399,nan,1.90146799,0.97474489,1.86113347
-2.94000,0.94978873,nan,1.89957745,0.97424784,1.85862933
-2.92000,0.94882630,nan,1.89765260,0.97374127,1.85608541
-2.90000,0.94784644,nan,1.89569287,0.97322501,1.85350126
-2.88000,0.94684886,nan,1.89369773,0.97269889,1.85087644
-2.86000,0.94583330,nan,1.89166660,0.97216272,1.84821051
-2.84000,0.94479946,nan,1.88959892,0.97161633,1.84550303
-2.82000,0.94374707,nan,1.88749413,0.97105954,1.84275358
-2.80000,0.94267582,nan,1.88535165,0.97049216,1.83996170
-2.78000,0.94158544,nan,1.88317089,0.96991399,1.83712698
-2.76000,0.94047563,nan,1.88095127,0.96932486,1.83424900
-2.74000,0.93934610,nan,1.87869219,0.96872456,1.83132731
-2.72000,0.93819653,nan,1.87639307,0.96811290,1.82836152
-2.70000,0.93702664,nan,1.87405329,0.96748968,1.82535120
-2.68000,0.93583612,nan,1.87167225,0.96685470,1.82229595
-2.66000,0.93462467,nan,1.86924933,0.96620774,1.81919535
-2.64000,0.93339196,nan,1.86678393,0.96554861,1.81604901
-2.62000,0.93213771,nan,1.86427541,0.96487709,1.81285654
-2.60000,0.93086158,nan,1.86172316,0.96419297,1.80961755
-2.58000,0.92956327,nan,1.85912654,0.96349602,1.80633165
-2.56000,0.92824246,nan,1.85648492,0.96278604,1.80299847
-2.54000,0.92689883,nan,1.85379765,0.96206279,1.79961765
-2.52000,0.92553205,nan,1.85106411,0.96132604,1.79618881
-2.50000,0.92414182,nan,1.84828364,0.96057558,1.79271161
-2.48000,0.92272780,nan,1.84545560,0.95981116,1.78918570
-2.46000,0.92128966,nan,1.84257933,0.95903255,1.78561075
-2.44000,0.91982709,nan,1.83965418,0.95823951,1.78198642
-2.42000,0.91833974,nan,1.83667949,0.95743181,1.77831240
-2.40000,0.91682730,nan,1.83365461,0.95660919,1.77458837
-2.38000,0.91528943,nan,1.83057887,0.95577140,1.77081404
-2.36000,0.91372581,nan,1.82745161,0.95491820,1.76698912
-2.34000,0.91213609,nan,1.82427217,0.95404934,1.76311333
-2.32000,0.91051994,nan,1.82103988,0.95316455,1.75918640
-2.30000,0.90887704,nan,1.81775408,0.95226358,1.75520807
-2.28000,0.90720705,nan,1.81441409,0.95134616,1.75117810
-2.26000,0.90550963,nan,1.81101926,0.95041202,1.74709626
-2.24000,0.90378446,nan,1.80756892,0.94946091,1.74296232
-2.22000,0.90203120,nan,1.80406239,0.94849254,1.73877607
-2.20000,0.90024951,nan,1.80049902,0.94750664,1.73453733
-2.18000,0.89843907,nan,1.79687814,0.94650293,1.73024590
-2.16000,0.89659955,nan,1.79319910,0.94548114,1.72590163
-2.14000,0.89473061,nan,1.78946122,0.94444097,1.72150435
-2.12000,0.89283193,nan,1.78566386,0.94338215,1.71705393
-2.10000,0.89090318,nan,1.78180636,0.94230439,1.71255025
-2.08000,0.88894403,nan,1.77788807,0.94120738,1.70799318
-2.06000,0.88695417,nan,1.77390834,0.94009084,1.70338264
-2.04000,0.88493327,nan,1.76986654,0.93895448,1.69871856
-2.02000,0.88288101,nan,1.76576202,0.93779799,1.69400085
-2.00000,0.88079708,nan,1.76159416,0.93662106,1.68922948
-1.98000,0.87868116,nan,1.75736232,0.93542340,1.68440442
-1.96000,0.87653295,nan,1.75306590,0.93420470,1.67952564
