mean_phonon,n60_anharmonic,n60_total,n80_anharmonic,n80_total,parameter_match
3.179996454309043,0.0032351702220226814,0.015580214207856349,0.000812037551516255,0.006102993207022319,proxy_model
3.2465582724578486,0.003341658311372494,0.01568670229720616,0.0008388998613867886,0.006129855516892852,proxy_model
3.3145133234919526,0.003452296184363508,0.015797340170197176,0.0008668181139197054,0.006157773769425769,proxy_model
3.3838907697438563,0.003567249247407736,0.015912293233241403,0.0008958351212501595,0.006186790776756223,proxy_model
3.4547203839548737,0.0036866894690537077,0.016031733454887374,0.000925995453273146,0.00621695110877921,proxy_model
3.527032562051859,0.0038107956301591944,0.01615583961599286,0.0009573455096793075,0.006248301165185371,proxy_model
3.600858336191353,0.00393975358257398,0.016284797568407648,0.0009899335948882126,0.006280889250394276,proxy_model
3.6762293880767736,0.00407375651652833,0.016418800502361997,0.0010238099959900546,0.006314765651496118,proxy_model
3.7531780625543463,0.004213005236917937,0.016558049222751604,0.001059027063810423,0.006349982719316486,proxy_model
3.831737381493622,0.0043577084486704516,0.016702752434504118,0.0010956392972166545,0.006386594952722718,proxy_model
3.9119410579585328,0.004508083051371307,0.016853127037204974,0.001133703430788119,0.006424659086294183,proxy_model
3.993823510675059,0.004664354443318105,0.01700939842915177,0.001173278525976798,0.006464234181482861,proxy_model
4.077419878801746,0.004826756835162551,0.017171800820996216,0.0012144260658885223,0.006505381721394586,proxy_model
4.162766037009366,0.004995533573286987,0.017340577559120655,0.001257210053819326,0.00654816570932539,proxy_model
4.249898610876228,0.005170937473048896,0.017515981458882564,0.0013016971156855342,0.006592652771191598,proxy_model
4.3388549926057385,0.005353231162010754,0.01769827514784442,0.0013479566064903954,0.006638912261996459,proxy_model
4.429673357072944,0.005542687433254678,0.017887731419088344,0.0013960607209742972,0.00668701637648036,proxy_model
4.5223926782069555,0.005739589608860663,0.01808463359469433,0.0014460846085998789,0.0067370402641059425,proxy_model
4.617052745716281,0.005944231913604158,0.018289275899437824,0.0014981064930276453,0.006789062148533709,proxy_model
4.713694182164231,0.006156919858902643,0.01850196384473631,0.001552207796241964,0.006843163451748027,proxy_model
4.812358460401758,0.006377970637011845,0.01872301462284551,0.0016084732674916465,0.00689942892299771,proxy_model
4.913087921365175,0.0066077135254396305,0.018952757511273295,0.0016669911172135492,0.006957946772719613,proxy_model
5.015925792246406,0.006846490301509682,0.019191534287343347,0.0017278531561118796,0.007018808811617943,proxy_model
5.1209162050435655,0.007094655666966992,0.01943969965280066,0.0017911549395700625,0.007082110595076126,proxy_model
5.228104215499836,0.0073525776824731074,0.019697621668306773,0.00185699591757611,0.007147951573082173,proxy_model
5.337535822438758,0.0076206382117903725,0.01996568219762404,0.0019254795903464355,0.007216435245852499,proxy_model
5.449257987504223,0.007899233375400851,0.02024427736123452,0.0019967136698368954,0.007287669325342959,proxy_model
5.563318655313676,0.008188774013247154,0.02053381799908082,0.002070810247333595,0.007361765902839658,proxy_model
5.679766774033138,0.008489686156217912,0.020834730142051578,0.0021478859673194394,0.007438841622825503,proxy_model
5.798652316382891,0.00880241150593078,0.021147455491764444,0.0022280622078157714,0.007519017863321835,proxy_model
5.920026301082849,0.00912740792228937,0.02147245190812304,0.002311465267401419,0.0076024209229074826,proxy_model
