measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
9121,0.037037037037036966,0.3796296296296296,0.38143203563048106,-7149.540000000001,0.292309670781893,0.018518518518518517
9122,0.004629629629629586,0.3935185185185185,0.39354575069172976,-7130.090000000001,0.29719650205761317,0.01427469135802469
9123,0.05555555555555547,0.37037037037037035,0.37451385955845706,-7159.4940000000015,0.29655349794238683,0.013117283950617283
9124,0.009259259259259267,0.42592592592592593,0.42602655816027185,-7191.0560000000005,0.28960905349794236,0.017361111111111112
9125,-0.00462962962962967,0.41203703703703703,0.4120630453714191,-7213.302000000001,0.28266460905349794,0.01890432098765432
9126,-0.05555555555555559,0.2962962962962963,0.30145964066851305,-7207.130000000001,0.2829218106995885,0.013117283950617283
9127,-0.06944444444444454,0.2916666666666667,0.2998199047905959,-7187.564000000001,0.28703703703703703,0.015432098765432098
9128,-0.06018518518518522,0.30092592592592593,0.30688543368845467,-7186.282000000001,0.2888374485596708,0.016975308641975308
9129,-0.06481481481481491,0.3333333333333333,0.3395763114980046,-7163.398000000001,0.2915380658436214,0.02199074074074074
9130,-0.0833333333333334,0.3333333333333333,0.3435921354681384,-7104.294,0.3011831275720165,0.016975308641975308
9131,-0.018518518518518556,0.39814814814814814,0.3985785787042756,-7094.919999999999,0.30079732510288065,0.02044753086419753
9132,-0.018518518518518535,0.4351851851851852,0.4355790180125583,-7126.83,0.296167695473251,0.020833333333333332
9133,-0.04166666666666666,0.4212962962962963,0.4233517218390493,-7106.51,0.2952674897119342,0.027777777777777776
9134,-0.06018518518518522,0.44907407407407407,0.45308915295034596,-7160.08,0.29012345679012347,0.021604938271604937
9135,-0.10648148148148145,0.4861111111111111,0.49763673321426954,-7145.2880000000005,0.2950102880658436,0.018518518518518517
9136,-0.14351851851851852,0.4305555555555556,0.453845404931573,-7184.594000000001,0.2879372427983539,0.016203703703703703
9137,-0.1435185185185185,0.4305555555555555,0.45384540493157294,-7175.974,0.2925668724279835,0.016203703703703703
9138,-0.09259259259259259,0.42592592592592593,0.4358741591088822,-7240.902000000002,0.2803497942386831,0.016589506172839507
9139,-0.13888888888888892,0.38888888888888895,0.4129463540921808,-7205.964000000001,0.2854938271604938,0.016203703703703703
9140,-0.12037037037037043,0.4351851851851852,0.4515253829717263,-7204.856,0.288451646090535,0.009259259259259259
9141,-0.1388888888888889,0.41666666666666663,0.43920523057894156,-7233.622000000001,0.2835648148148148,0.011188271604938271
9142,-0.05092592592592594,0.41203703703703703,0.415172217063803,-7203.986000000001,0.28266460905349794,0.014660493827160493
9143,-0.06944444444444445,0.40277777777777773,0.4087205269322822,-7176.6759999999995,0.28690843621399176,0.016203703703703703
9144,-0.01851851851851855,0.4074074074074074,0.40782806565824514,-7183.138000000002,0.28858024691358025,0.01890432098765432
9145,-0.027777777777777818,0.3796296296296296,0.380644533168416,-7152.800000000001,0.2933384773662551,0.020833333333333332
9146,0.05092592592592591,0.41203703703703703,0.415172217063803,-7145.0560000000005,0.2934670781893004,0.022762345679012346
9147,0.07870370370370369,0.4398148148148147,0.4468012357942513,-7213.534000000001,0.28420781893004116,0.016203703703703703
9148,0.09722222222222218,0.4120370370370369,0.42335172183904923,-7181.856000000001,0.29038065843621397,0.017361111111111112
9149,0.08796296296296292,0.4305555555555555,0.4394491657438624,-7165.144000000001,0.29282407407407407,0.015817901234567902
9150,0.09259259259259252,0.39814814814814814,0.408772963974891,-7193.968000000001,0.2883230452674897,0.015046296296296295
9151,0.10648148148148144,0.40277777777777773,0.41661522316172744,-7165.144,0.29282407407407407,0.01273148148148148
9152,0.10648148148148143,0.36574074074074064,0.38092597093933717,-7204.682000000001,0.2872942386831276,0.011574074074074073
9153,0.11574074074074063,0.3749999999999999,0.3924549898615321,-7259.302,0.2788065843621399,0.014660493827160493
9154,0.07870370370370365,0.4212962962962962,0.4285846967049302,-7237.932000000001,0.28125,0.015046296296296295
9155,0.06944444444444436,0.4305555555555554,0.43611995744743265,-7240.728000000001,0.27919238683127573,0.014660493827160493
9156,0.07407407407407397,0.35185185185185175,0.3595645896101406,-7240.960000000002,0.28073559670781895,0.017361111111111112
