measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
73,-0.08105468750000058,-0.13024210174101844,0.15340426145202274,-7829.376000000002,0.24930826822916666,0.0029296875
74,-0.0429687500000006,-0.1353164693413179,0.14197485816707964,-7835.408000000002,0.2503662109375,0.0013427734375
75,-0.01367187500000052,-0.09810444027245535,0.09905251822738985,-7899.296000000002,0.24666341145833334,0.001708984375
76,-0.022460937500000434,-0.05581804360329333,0.06016766328417684,-7785.776000000002,0.2523600260416667,0.0020751953125
77,-0.0312500000000004,-0.054126587736526836,0.062499999999999695,-7734.288000000002,0.2540283203125,0.0032958984375
78,-0.04882812500000052,-0.10825317547305421,0.11875578213718918,-7779.600000000001,0.2516276041666667,0.0032958984375
79,0.018554687499999667,-0.028754749735029686,0.034221514585810395,-7961.616000000002,0.24198404947916666,0.0032958984375
80,-0.01953125000000052,-0.09133861680538943,0.09340349375951786,-8001.5520000000015,0.2398681640625,0.0032958984375
81,-0.03710937500000022,0.006765823467066497,0.037721109210601816,-7989.104000000002,0.24031575520833334,0.0035400390625
82,-0.010742187500000394,-0.06934969053742518,0.0701767352469592,-8020.800000000001,0.24043782552083334,0.00146484375
83,0.0244140624999997,-0.03552057320209562,0.04310171189592503,-7878.528000000001,0.2467041015625,0.0029296875
84,0.04785156249999978,-0.011840191067364912,0.0492946463442339,-7873.456000000001,0.24686686197916666,0.0030517578125
85,0.05371093749999974,-0.03552057320209567,0.0643939121946657,-7813.856000000002,0.24991861979166666,0.003173828125
86,-0.05761718750000021,-0.015223102800897715,0.05959432149372019,-7776.704000000002,0.2525227864583333,0.00244140625
87,-0.0019531250000003643,-0.08795570507185652,0.08797738773089954,-7958.256000000001,0.2427978515625,0.0025634765625
88,0.009765624999999804,-0.027063293868263213,0.028771327856749927,-7837.408000000001,0.2503662109375,0.001220703125
89,-0.0048828125000001145,0.02875474973503069,0.02916637602161785,-7844.112000000003,0.24820963541666666,0.0032958984375
90,-0.034179687500000284,-0.0152231028008978,0.03741649230599226,-7913.712000000002,0.24515787760416666,0.0025634765625
91,-0.02832031250000031,-0.0219889262679637,0.03585460888805814,-7916.960000000002,0.2457275390625,0.001708984375
92,-0.040039062500000375,-0.042286396669161494,0.05823457623388882,-7939.680000000002,0.24409993489583334,0.002197265625
93,-0.04003906250000025,-0.008457279333831865,0.04092251335890045,-7988.352000000001,0.24088541666666666,0.0029296875
94,-0.028320312500000284,-0.0219889262679637,0.03585460888805812,-7980.496000000002,0.24055989583333334,0.0037841796875
95,0.006835937499999861,0.04228639666916255,0.04283537538957335,-7908.304,0.244384765625,0.0037841796875
96,-0.004882812500000153,0.04228639666916259,0.04256737249551495,-7746.912000000002,0.2543131510416667,0.002197265625
97,-0.037109375000000125,0.054126587736527995,0.06562616256410775,-7735.664000000001,0.2537434895833333,0.0035400390625
98,-0.045898437500000146,0.025371838001497796,0.05244422493006897,-7819.376000000002,0.24930826822916666,0.0035400390625
99,0.044921874999999806,-0.003382911733532501,0.04504907263543257,-7902.656000000002,0.245849609375,0.00244140625
100,0.012695312499999748,-0.01184019106736486,0.017359754721318975,-7949.312000000002,0.24210611979166666,0.00390625
101,0.03906249999999959,-0.07442405813772474,0.08405247965371039,-7990.496000000003,0.24055989583333334,0.003173828125
102,0.05371093749999972,-0.038903484935628604,0.06632002674355279,-7924.736000000003,0.243408203125,0.00390625
103,0.059570312499999854,0.011840191067365835,0.06073559299010234,-7877.280000000002,0.24613444010416666,0.003662109375
104,0.02734374999999977,0.006765823467066424,0.028168369339562314,-7751.456000000002,0.251953125,0.004638671875
105,0.039062499999999736,-0.006765823467065424,0.03964410767614114,-7873.952000000001,0.24800618489583334,0.001708984375
106,0.027343749999999653,-0.03721202906886207,0.04617808756850284,-7921.872000000002,0.245361328125,0.0018310546875
107,0.027343749999999615,-0.07104114640419171,0.07612177839806608,-7894.976000000001,0.24625651041666666,0.00244140625
108,0.03027343749999962,-0.052435131869760405,0.060546874999999355,-7862.080000000002,0.24715169270833334,0.00341796875
109,-0.001953125000000451,-0.10148735200598835,0.10150614422020479,-7938.592000000002,0.24373372395833334,0.002685546875
110,-0.04589843750000033,-0.021988926267963706,0.050893805549982025,-7912.672000000001,0.24637858072916666,0.001220703125
111,-0.028320312500000246,0.025371838001497768,0.03802328580846106,-7903.552000000002,0.24495442708333334,0.00341796875
112,-0.04589843750000046,-0.06934969053742515,0.08316276896892072,-7937.392000000002,0.2447509765625,0.0015869140625
113,-0.05175781250000041,-0.0659667788038922,0.08384799974088136,-7866.736000000001,0.24849446614583334,0.0015869140625
114,-0.06933593750000025,-0.0016914558667658966,0.06935656603345611,-7882.944000000003,0.24519856770833334,0.00439453125
115,-0.05468750000000025,0.006765823467066487,0.055104437420570175,-7834.144000000002,0.249267578125,0.002685546875
116,-0.013671875000000094,0.04059494080239608,0.04283537538957339,-7769.040000000001,0.2534586588541667,0.0018310546875
117,-0.02539062500000018,0.020297470401198312,0.032506478470885704,-7813.568000000001,0.2505696614583333,0.00244140625
118,-0.004882812500000236,0.011840191067365897,0.01280749711777792,-7735.536000000002,0.2545979817708333,0.0025634765625
119,0.0009765624999998508,0.05920095533682736,0.05920900934071971,-7854.448000000002,0.2491455078125,0.0015869140625
120,-0.04003906250000032,-0.008457279333831814,0.04092251335890051,-7933.248000000001,0.24507649739583334,0.00146484375
121,-0.0781250000000003,0.016914558667665433,0.07993508566281732,-7749.664000000001,0.2537434895833333,0.002685546875
122,-0.05468750000000028,0.010148735200599487,0.055621214319915,-7777.280000000001,0.251220703125,0.00390625
123,-0.001953125000000182,0.05412658773652794,0.05416181493696166,-7706.9760000000015,0.2564290364583333,0.002197265625
124,0.0009765624999998022,0.025371838001497737,0.025390625000000503,-7909.136000000002,0.2464599609375,0.0013427734375
125,-0.016601562500000326,-0.021988926267963702,0.027552218710284678,-7879.296000000002,0.24666341145833334,0.0029296875
126,-0.05468750000000026,-0.016914558667664205,0.05724355816309711,-7905.728000000001,0.24568684895833334,0.00244140625
127,-0.048828125000000236,0.006765823467066544,0.04929464634423455,-7819.280000000002,0.251220703125,0.0013427734375
128,-0.06933593750000024,-0.008457279333831818,0.06984982321190511,-7724.272000000001,0.2534993489583333,0.0045166015625
129,-0.031250000000000236,0.01691455866766543,0.03553399491925881,-7753.968000000001,0.2536214192708333,0.0025634765625
130,-0.03125000000000022,-0.010148735200598318,0.03285664812746238,-7958.4000000000015,0.24247233072916666,0.0029296875
131,-0.004882812500000239,0.011840191067365956,0.012807497117777976,-7991.296000000002,0.2415771484375,0.001953125
132,-0.07812500000000015,0.07780696987125878,0.11026078262712902,-7986.544000000001,0.24214680989583334,0.0015869140625
133,-0.08105468750000028,0.0016914558667671387,0.08107233429889583,-7989.280000000002,0.24104817708333334,0.002685546875
134,-0.06640625000000036,-0.037212029068861965,0.0761217783980667,-8008.352000000002,0.24088541666666666,0.001708984375
135,-0.01074218750000026,-0.00169145586676594,0.01087453977115256,-7941.808000000001,0.24324544270833334,0.0030517578125
136,-0.019531250000000333,-0.006765823467065363,0.020669932117692243,-8015.232000000001,0.23946126302083334,0.0029296875
137,-0.019531250000000278,0.020297470401198357,0.028168369339563026,-8071.472000000002,0.23722330729166666,0.0020751953125
138,0.0097656249999998,0.03382911733533016,0.035210461674453464,-7998.496000000001,0.24055989583333334,0.002685546875
139,-0.01953125000000011,0.04736076426946205,0.05122998847110994,-7935.504000000001,0.24336751302083334,0.0032958984375
140,0.024414062499999813,0.028754749735030692,0.037721109210601754,-8023.696000000002,0.23954264322916666,0.0023193359375
141,-0.0048828125000002515,0.03552057320209667,0.035854608888058824,-7984.848000000002,0.24202473958333334,0.0018310546875
142,-0.08105468750000022,0.04228639666916266,0.09142210733178525,-7921.680000000002,0.24409993489583334,0.0032958984375
143,-0.034179687500000264,-0.008457279333831821,0.03521046167445314,-8009.2480000000005,0.239990234375,0.002685546875
144,-0.010742187500000198,0.04566930840269555,0.04691567245884555,-8101.104000000001,0.2352294921875,0.0025634765625
145,0.03613281249999969,-0.03552057320209564,0.05066844441825275,-8093.264000000002,0.23543294270833334,0.0028076171875
146,0.015624999999999754,0.023680382134731275,0.028370779387371304,-8158.864000000001,0.23238118489583334,0.0023193359375
147,0.012695312499999781,0.015223102800898874,0.019822053838071015,-8155.824000000002,0.23360188802083334,0.0010986328125
148,0.02148437499999976,0.03721202906886311,0.042968750000000326,-8193.904000000002,0.23116048177083334,0.0015869140625
149,0.0039062499999996773,-0.01691455866766425,0.017359754721318885,-8139.456000000002,0.23160807291666666,0.00439453125
150,-0.03417968750000015,0.06258386707036039,0.07130912602940949,-8042.288000000001,0.23876953125,0.0020751953125
151,-0.02832031250000034,0.0016914558667670606,0.02837077938737137,-8060.368,0.236328125,0.0037841796875
152,-0.057617187500000305,0.0050743676003000854,0.05784020662094117,-7958.688000000002,0.2418212890625,0.003662109375
153,-0.045898437500000375,-0.018606014534430684,0.04952625911369529,-7995.440000000001,0.24125162760416666,0.0020751953125
154,-0.04589843750000023,-0.005074367600298869,0.04617808756850364,-7954.576000000002,0.24320475260416666,0.0023193359375
155,-0.016601562500000198,0.015223102800898895,0.02252453631771692,-7891.456000000002,0.24686686197916666,0.001953125
156,0.044921874999999736,-0.006765823467065415,0.04542852870942547,-7848.144000000002,0.249267578125,0.0018310546875
157,-0.028320312500000284,0.011840191067365939,0.030695768838871013,-7870.240000000002,0.24735514322916666,0.002685546875
158,0.036132812499999535,-0.08626424920509003,0.09352593667041244,-7788.672000000002,0.25146484375,0.0029296875
159,0.08007812499999967,-0.040594940802395126,0.0897800385512589,-7711.424000000002,0.2559814453125,0.00244140625
160,0.05957031249999966,-0.02875474973502969,0.06614724305420298,-7712.192000000002,0.2559407552083333,0.00244140625
161,0.027343749999999747,0.0033829117335334863,0.027552218710284744,-7717.104000000001,0.2555745442708333,0.0025634765625
162,0.009765624999999795,0.02368038213473126,0.02561499423555509,-7702.208000000002,0.2564697265625,0.00244140625
163,0.05078124999999993,0.07104114640419268,0.08732456603948531,-7707.408000000001,0.2554524739583333,0.0032958984375
164,-0.007812500000000147,0.07104114640419279,0.07146943149817239,-7743.840000000002,0.2544759114583333,0.002197265625
165,-0.007812500000000146,0.04397785253592909,0.044666393070427426,-7720.496000000001,0.2558186848958333,0.0020751953125
166,0.047851562499999695,-0.02537183800149676,0.05416181493696064,-7709.568000000001,0.2556559244791667,0.0029296875
167,0.000976562499999706,-0.005074367600298918,0.005167483029422455,-7695.040000000001,0.258544921875,0.00048828125
168,0.03320312499999968,-0.006765823467065404,0.03388545229081496,-7842.592000000002,0.24881998697916666,0.002685546875
169,0.012695312499999868,0.011840191067365894,0.01735975472131977,-7833.232000000002,0.2496337890625,0.0023193359375
