particles,coupling,sector,selector,lower_index,lower_energy,upper_energy,midpoint_offset,spacing
1000,1.2,0,local_minimum_gap,10,-500.6642281948071,-500.2345633839821,-0.44939578939460034,0.4296648108249883
1100,1.2,0,local_minimum_gap,11,-550.6921549727234,-550.2691708327394,-0.4806629027314102,0.42298413998400974
1200,1.2,0,local_minimum_gap,12,-600.7203852431716,-600.3018674328616,-0.5111263380165383,0.41851781030993607
1300,1.2,0,local_minimum_gap,13,-650.7489647576363,-650.3329509984769,-0.540957878056588,0.41601375915934113
1400,1.2,0,local_minimum_gap,14,-700.7779183059712,-700.3626749537414,-0.5702966298563297,0.41524335222982245
600,1.2,1,midpoint_nearest,6,-300.41893743300363,-299.7543448464613,-0.08664113973247822,0.6645925865423123
700,1.2,1,midpoint_nearest,7,-350.46249071953594,-349.8193812787504,-0.1409359991431529,0.6431094407855085
800,1.2,1,midpoint_nearest,8,-400.50401891873645,-399.878314644226,-0.191166781481229,0.62570427451044
900,1.2,1,midpoint_nearest,9,-450.5440274988837,-449.93275185359647,-0.23838967624010365,0.6112756452872077
1000,1.2,1,midpoint_nearest,10,-500.5828571382523,-499.9837392907095,-0.28329821448085113,0.5991178475428001
1100,1.2,1,midpoint_nearest,12,-550.0319959155657,-549.3934223028506,0.28729089079183723,0.6385736127151631
1200,1.2,1,midpoint_nearest,13,-600.0780373973715,-599.4533032404986,0.23432968106499175,0.6247341568729325
1300,1.2,1,midpoint_nearest,14,-650.1222468882074,-649.5099009192149,0.18392609628881473,0.6123459689924857
1400,1.2,1,midpoint_nearest,15,-700.1649176433455,-699.5637463354959,0.13566801057936573,0.6011713078495404
600,1.2,1,straddling,6,-300.41893743300363,-299.7543448464613,-0.08664113973247822,0.6645925865423123
700,1.2,1,straddling,7,-350.46249071953594,-349.8193812787504,-0.1409359991431529,0.6431094407855085
800,1.2,1,straddling,8,-400.50401891873645,-399.878314644226,-0.191166781481229,0.62570427451044
900,1.2,1,straddling,9,-450.5440274988837,-449.93275185359647,-0.23838967624010365,0.6112756452872077
1000,1.2,1,straddling,10,-500.5828571382523,-499.9837392907095,-0.28329821448085113,0.5991178475428001
1100,1.2,1,straddling,12,-550.0319959155657,-549.3934223028506,0.28729089079183723,0.6385736127151631
1200,1.2,1,straddling,13,-600.0780373973715,-599.4533032404986,0.23432968106499175,0.6247341568729325
1300,1.2,1,straddling,14,-650.1222468882074,-649.5099009192149,0.18392609628881473,0.6123459689924857
1400,1.2,1,straddling,15,-700.1649176433455,-699.5637463354959,0.13566801057936573,0.6011713078495404
600,1.2,1,local_minimum_gap,5,-301.06297256694756,-300.41893743300363,-0.7409549999755995,0.6440351339439303
700,1.2,1,local_minimum_gap,6,-351.09320783521173,-350.46249071953594,-0.7778492773738321,0.6307171156757931
800,1.2,1,local_minimum_gap,7,-401.12415600332724,-400.50401891873645,-0.8140874610318178,0.6201370845907945
900,1.2,1,local_minimum_gap,9,-450.5440274988837,-449.93275185359647,-0.23838967624010365,0.6112756452872077
1000,1.2,1,local_minimum_gap,10,-500.5828571382523,-499.9837392907095,-0.28329821448085113,0.5991178475428001
1100,1.2,1,local_minimum_gap,11,-550.620749526669,-550.0319959155657,-0.32637272111742277,0.5887536111032432
1200,1.2,1,local_minimum_gap,12,-600.6578830993205,-600.0780373973715,-0.3679602483459803,0.5798457019490115
1300,1.2,1,local_minimum_gap,13,-650.6943938110882,-650.1222468882074,-0.4083203496477381,0.5721469228807337
1400,1.2,1,local_minimum_gap,14,-700.7303878948453,-700.1649176433455,-0.44765276909538443,0.5654702514998462
600,1.25,0,midpoint_nearest,9,-300.0946835109133,-299.38924686118196,0.2580348139523494,0.7054366497313254
700,1.25,0,midpoint_nearest,10,-350.3295692155514,-349.7217032823614,-0.025636248956402596,0.6078659331899985
800,1.25,0,midpoint_nearest,11,-400.5271190718823,-400.00916491667573,-0.26814199427900576,0.517954155206553
900,1.25,0,midpoint_nearest,13,-450.2500698527835,-449.636121000207,0.05690457350476663,0.6139488525764705
1000,1.25,0,midpoint_nearest,14,-500.4510138275372,-499.9213383871124,-0.18617610732485446,0.5296754404247963
1100,1.25,0,midpoint_nearest,16,-550.1684120785038,-549.5479808427693,0.14180353936342271,0.6204312357344861
1200,1.25,0,midpoint_nearest,17,-600.376281090288,-599.8318449367063,-0.10406301349712521,0.5444361535817279
1300,1.25,0,midpoint_nearest,19,-650.0842673010252,-649.4583096769476,0.22871151101367104,0.6259576240776141
1400,1.25,0,midpoint_nearest,20,-700.3006103146878,-699.7411652567944,-0.020887785741024345,0.5594450578934129
600,1.25,0,straddling,9,-300.0946835109133,-299.38924686118196,0.2580348139523494,0.7054366497313254
700,1.25,0,straddling,10,-350.3295692155514,-349.7217032823614,-0.025636248956402596,0.6078659331899985
800,1.25,0,straddling,12,-400.00916491667573,-399.31647149654947,0.3371817933874013,0.6926934201262611
900,1.25,0,straddling,13,-450.2500698527835,-449.636121000207,0.05690457350476663,0.6139488525764705
1000,1.25,0,straddling,14,-500.4510138275372,-499.9213383871124,-0.18617610732485446,0.5296754404247963
1100,1.25,0,straddling,16,-550.1684120785038,-549.5479808427693,0.14180353936342271,0.6204312357344861
1200,1.25,0,straddling,17,-600.376281090288,-599.8318449367063,-0.10406301349712521,0.5444361535817279
1300,1.25,0,straddling,19,-650.0842673010252,-649.4583096769476,0.22871151101367104,0.6259576240776141
1400,1.25,0,straddling,20,-700.3006103146878,-699.7411652567944,-0.020887785741024345,0.5594450578934129
600,1.25,0,local_minimum_gap,8,-300.6083429260012,-300.0946835109133,-0.3515132184572849,0.5136594150879432
700,1.25,0,local_minimum_gap,9,-350.8201344866869,-350.3295692155514,-0.5748518511191492,0.4905652711355515
800,1.25,0,local_minimum_gap,11,-400.5271190718823,-400.00916491667573,-0.26814199427900576,0.517954155206553
900,1.25,0,local_minimum_gap,12,-450.72362366579176,-450.2500698527835,-0.48684675928763,0.47355381300826593
1000,1.25,0,local_minimum_gap,13,-500.94474193463657,-500.4510138275372,-0.6978778810869244,0.49372810709934356
1100,1.25,0,local_minimum_gap,15,-550.6387621114635,-550.1684120785038,-0.4035870949836635,0.47035003295968636
1200,1.25,0,local_minimum_gap,16,-600.8432139592151,-600.376281090288,-0.6097475247515831,0.4669328689270742
1300,1.25,0,local_minimum_gap,18,-650.5612421632063,-650.0842673010252,-0.32275473211575445,0.47697486218112317
1400,1.25,0,local_minimum_gap,19,-700.7525286929048,-700.3006103146878,-0.5265695037962814,0.45191837821698755
