panel,kind,depth,L,p,scaled_x,I3,standard_error
a,scan,1,24,0.2025,,0.0,0.35355339059327373
d,collapse,1,24,0.2025,0.3534969241611651,0.0,0.35355339059327373
a,scan,1,24,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,24,0.22000000000000003,0.48204126021977084,0.0,0.35355339059327373
a,scan,1,24,0.23750000000000002,,0.0,0.35355339059327373
d,collapse,1,24,0.23750000000000002,0.6105855962783764,0.0,0.35355339059327373
a,scan,1,24,0.255,,0.0,0.35355339059327373
d,collapse,1,24,0.255,0.7391299323369818,0.0,0.35355339059327373
a,scan,1,24,0.2725,,0.0,0.35355339059327373
d,collapse,1,24,0.2725,0.8676742683955875,0.0,0.35355339059327373
a,scan,1,24,0.29000000000000004,,0.0,0.35355339059327373
d,collapse,1,24,0.29000000000000004,0.9962186044541932,0.0,0.35355339059327373
b,scan,7,8,0.5100000000000001,,-5.875,0.48361034754641913
e,collapse,7,8,0.5100000000000001,-1.3510958291263182,-5.875,0.48361034754641913
b,scan,7,8,0.5275000000000001,,-6.583333333333333,0.36050009356492196
e,collapse,7,8,0.5275000000000001,-1.226857132195163,-6.583333333333333,0.36050009356492196
b,scan,7,8,0.5450000000000002,,-6.666666666666666,0.4130797993547015
e,collapse,7,8,0.5450000000000002,-1.1026184352640065,-6.666666666666666,0.4130797993547015
b,scan,7,8,0.5625000000000001,,-4.875,0.503706499953334
e,collapse,7,8,0.5625000000000001,-0.9783797383328512,-4.875,0.503706499953334
b,scan,7,8,0.5800000000000001,,-4.333333333333334,0.5634361698190111
e,collapse,7,8,0.5800000000000001,-0.8541410414016958,-4.333333333333334,0.5634361698190111
b,scan,7,8,0.5975000000000001,,-4.125,0.5839707401889459
e,collapse,7,8,0.5975000000000001,-0.7299023444705396,-4.125,0.5839707401889459
b,scan,7,8,0.6150000000000001,,-2.25,0.35355339059327373
e,collapse,7,8,0.6150000000000001,-0.6056636475393842,-2.25,0.35355339059327373
b,scan,7,8,0.6325000000000001,,-2.541666666666667,0.47114138679297357
e,collapse,7,8,0.6325000000000001,-0.4814249506082287,-2.541666666666667,0.47114138679297357
b,scan,7,8,0.6500000000000001,,-1.7916666666666667,0.35355339059327373
e,collapse,7,8,0.6500000000000001,-0.3571862536770725,-1.7916666666666667,0.35355339059327373
b,scan,7,8,0.6675000000000002,,-1.458333333333333,0.4127794868472811
e,collapse,7,8,0.6675000000000002,-0.2329475567459163,-1.458333333333333,0.4127794868472811
b,scan,7,8,0.6850000000000002,,-0.9999999999999999,0.35355339059327373
e,collapse,7,8,0.6850000000000002,-0.10870885981476089,-0.9999999999999999,0.35355339059327373
b,scan,7,8,0.7025000000000001,,-0.5833333333333333,0.35355339059327373
e,collapse,7,8,0.7025000000000001,0.015529837116394525,-0.5833333333333333,0.35355339059327373
b,scan,7,8,0.7200000000000002,,-0.3333333333333333,0.35355339059327373
e,collapse,7,8,0.7200000000000002,0.13976853404755074,-0.3333333333333333,0.35355339059327373
