campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
transition,d7,8,11,7,0.7025000000000001,65,tripartite_mutual_information,-0.5833333333333333,0.7715167498104597,0.2727723627949905,8
transition,d7,8,11,7,0.7375000000000002,65,half_chain_entropy,1.5,0.642416074439621,0.22712838128974894,8
transition,d7,8,11,7,0.7375000000000002,65,tripartite_mutual_information,-0.125,0.24800793638094829,0.0876840468015252,8
transition,d7,8,11,7,0.7725000000000002,65,half_chain_entropy,1.125,0.561672672004069,0.19858127759062233,8
transition,d7,8,11,7,0.7725000000000002,65,tripartite_mutual_information,0.0,0.1781741612749496,0.0629940788348712,8
transition,d7,12,11,7,0.5275000000000001,65,half_chain_entropy,14.791666666666666,1.082875361073031,0.3828542554972857,8
transition,d7,12,11,7,0.5275000000000001,65,tripartite_mutual_information,-10.541666666666668,1.8164809865790434,0.6422230117532358,8
transition,d7,12,11,7,0.5625000000000001,65,half_chain_entropy,13.208333333333334,1.1675166971376636,0.4127794868472813,8
transition,d7,12,11,7,0.5625000000000001,65,tripartite_mutual_information,-9.333333333333334,1.4474937289114918,0.511766315719159,8
transition,d7,12,11,7,0.5975000000000001,65,half_chain_entropy,9.5,1.3333333333333335,0.4714045207910317,8
transition,d7,12,11,7,0.5975000000000001,65,tripartite_mutual_information,-5.25,1.3887301496588274,0.49099025303098287,8
transition,d7,12,11,7,0.6325000000000001,65,half_chain_entropy,7.083333333333333,1.743468537049791,0.6164092126666484,8
transition,d7,12,11,7,0.6325000000000001,65,tripartite_mutual_information,-3.7916666666666665,1.2336228746360847,0.4361515500410088,8
transition,d7,12,11,7,0.6675000000000002,65,half_chain_entropy,4.666666666666667,1.3333333333333335,0.4714045207910317,8
transition,d7,12,11,7,0.6675000000000002,65,tripartite_mutual_information,-1.2916666666666665,0.8439796130841001,0.2983918537974829,8
transition,d7,12,11,7,0.7025000000000001,65,half_chain_entropy,3.916666666666667,1.2817398889233114,0.4531634835874828,8
transition,d7,12,11,7,0.7025000000000001,65,tripartite_mutual_information,-0.5,0.6666666666666667,0.23570226039551584,8
transition,d7,12,11,7,0.7375000000000002,65,half_chain_entropy,2.166666666666667,0.959497222838566,0.3392334963994049,8
transition,d7,12,11,7,0.7375000000000002,65,tripartite_mutual_information,-0.08333333333333333,0.1543033499620919,0.05455447255899809,8
transition,d7,12,11,7,0.7725000000000002,65,half_chain_entropy,0.75,0.7506610843064022,0.26539877154295183,8
transition,d7,12,11,7,0.7725000000000002,65,tripartite_mutual_information,0.0,0.0,0.0,8
transition,d7,16,11,7,0.5275000000000001,65,half_chain_entropy,18.333333333333336,0.9759000729485329,0.34503277967117696,8
