panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
d,probability_scan_and_collapse,1,24,0.18500000000000003,0.23291953773056692,2.583333333333333,0.01957070707070707,-3.4843749999999982,0.6251556088318948
a,size_scaling,1,24,0.2025,,1.5,0.011363636363636364,,0.5712577424156718
d,probability_scan_and_collapse,1,24,0.2025,0.4023155651709792,1.5,0.011363636363636364,-4.567708333333331,0.5712577424156718
a,size_scaling,1,24,0.22000000000000003,,1.5833333333333335,0.011994949494949496,,0.5712577424156718
d,probability_scan_and_collapse,1,24,0.22000000000000003,0.5717115926113918,1.5833333333333335,0.011994949494949496,-4.484374999999998,0.5712577424156718
a,size_scaling,1,24,0.23750000000000002,,1.375,0.010416666666666666,,0.5712577424156718
d,probability_scan_and_collapse,1,24,0.23750000000000002,0.7411076200518041,1.375,0.010416666666666666,-4.692708333333331,0.5712577424156718
a,size_scaling,1,24,0.255,,0.875,0.006628787878787879,,0.5712577424156718
d,probability_scan_and_collapse,1,24,0.255,0.9105036474922164,0.875,0.006628787878787879,-5.192708333333331,0.5712577424156718
a,size_scaling,1,24,0.2725,,0.8333333333333333,0.006313131313131312,,0.5712577424156718
d,probability_scan_and_collapse,1,24,0.2725,1.0798996749326288,0.8333333333333333,0.006313131313131312,-5.234374999999998,0.5712577424156718
a,size_scaling,1,24,0.29000000000000004,,0.6666666666666666,0.00505050505050505,,0.5712577424156718
d,probability_scan_and_collapse,1,24,0.29000000000000004,1.2492957023730416,0.6666666666666666,0.00505050505050505,-5.401041666666664,0.5712577424156718
b,size_scaling,7,8,0.5100000000000001,,10.375,0.23579545454545456,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.5100000000000001,-1.3973035090494075,10.375,0.23579545454545456,7.229166666666664,0.517795989004752
b,size_scaling,7,8,0.5275000000000001,,10.0,0.22727272727272727,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.5275000000000001,-1.2642269843780356,10.0,0.22727272727272727,6.854166666666664,0.517795989004752
b,size_scaling,7,8,0.5450000000000002,,9.875,0.22443181818181818,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.5450000000000002,-1.1311504597066628,9.875,0.22443181818181818,6.729166666666664,0.517795989004752
b,size_scaling,7,8,0.5625000000000001,,8.75,0.19886363636363635,,0.5662967873021834
e,probability_scan_and_collapse,7,8,0.5625000000000001,-0.9980739350352911,8.75,0.19886363636363635,5.604166666666664,0.5662967873021834
b,size_scaling,7,8,0.5800000000000001,,8.333333333333334,0.18939393939393942,,0.6174203789353306
e,probability_scan_and_collapse,7,8,0.5800000000000001,-0.8649974103639192,8.333333333333334,0.18939393939393942,5.187499999999998,0.6174203789353306
b,size_scaling,7,8,0.5975000000000001,,7.166666666666666,0.16287878787878787,,0.577571533842865
e,probability_scan_and_collapse,7,8,0.5975000000000001,-0.7319208856925465,7.166666666666666,0.16287878787878787,4.02083333333333,0.577571533842865
b,size_scaling,7,8,0.6150000000000001,,6.041666666666666,0.13731060606060605,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.6150000000000001,-0.5988443610211747,6.041666666666666,0.13731060606060605,2.8958333333333304,0.517795989004752
b,size_scaling,7,8,0.6325000000000001,,6.208333333333333,0.14109848484848483,,0.5909432093743016
e,probability_scan_and_collapse,7,8,0.6325000000000001,-0.4657678363498028,6.208333333333333,0.14109848484848483,3.0624999999999973,0.5909432093743016
b,size_scaling,7,8,0.6500000000000001,,4.666666666666666,0.10606060606060605,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.6500000000000001,-0.3326913116784301,4.666666666666666,0.10606060606060605,1.5208333333333304,0.517795989004752
b,size_scaling,7,8,0.6675000000000002,,4.416666666666667,0.10037878787878789,,0.626195355090842
e,probability_scan_and_collapse,7,8,0.6675000000000002,-0.19961478700705737,4.416666666666667,0.10037878787878789,1.2708333333333313,0.626195355090842
b,size_scaling,7,8,0.6850000000000002,,3.5,0.07954545454545454,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.6850000000000002,-0.06653826233568551,3.5,0.07954545454545454,0.3541666666666643,0.517795989004752
b,size_scaling,7,8,0.7025000000000001,,2.7916666666666665,0.0634469696969697,,0.5527776072298931
e,probability_scan_and_collapse,7,8,0.7025000000000001,0.06653826233568635,2.7916666666666665,0.0634469696969697,-0.3541666666666692,0.5527776072298931
b,size_scaling,7,8,0.7200000000000002,,2.3333333333333335,0.05303030303030303,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.7200000000000002,0.19961478700705906,2.3333333333333335,0.05303030303030303,-0.8125000000000022,0.517795989004752
b,size_scaling,7,8,0.7375000000000002,,1.5,0.03409090909090909,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.7375000000000002,0.3326913116784309,1.5,0.03409090909090909,-1.6458333333333357,0.517795989004752
b,size_scaling,7,8,0.7550000000000001,,1.2083333333333335,0.027462121212121215,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.7550000000000001,0.4657678363498028,1.2083333333333335,0.027462121212121215,-1.9375000000000022,0.517795989004752
b,size_scaling,7,8,0.7725000000000002,,1.125,0.02556818181818182,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.7725000000000002,0.5988443610211754,1.125,0.02556818181818182,-2.0208333333333357,0.517795989004752
b,size_scaling,7,8,0.7900000000000001,,0.6666666666666666,0.01515151515151515,,0.517795989004752
e,probability_scan_and_collapse,7,8,0.7900000000000001,0.7319208856925473,0.6666666666666666,0.01515151515151515,-2.479166666666669,0.517795989004752
b,size_scaling,7,12,0.5100000000000001,,16.166666666666664,0.24494949494949492,,0.5704353087514875
e,probability_scan_and_collapse,7,12,0.5100000000000001,-2.0753296937920416,16.166666666666664,0.24494949494949492,12.20833333333333,0.5704353087514875
b,size_scaling,7,12,0.5275000000000001,,14.791666666666666,0.2241161616161616,,0.5561253543261386
e,probability_scan_and_collapse,7,12,0.5275000000000001,-1.8776792467642285,14.791666666666666,0.2241161616161616,10.833333333333332,0.5561253543261386
b,size_scaling,7,12,0.5450000000000002,,13.291666666666666,0.20138888888888887,,0.7276767860544051
e,probability_scan_and_collapse,7,12,0.5450000000000002,-1.680028799736414,13.291666666666666,0.20138888888888887,9.333333333333332,0.7276767860544051
b,size_scaling,7,12,0.5625000000000001,,13.208333333333334,0.20012626262626262,,0.5771351085611559
e,probability_scan_and_collapse,7,12,0.5625000000000001,-1.482378352708601,13.208333333333334,0.20012626262626262,9.25,0.5771351085611559
b,size_scaling,7,12,0.5800000000000001,,11.125,0.16856060606060605,,0.8041001162952041
e,probability_scan_and_collapse,7,12,0.5800000000000001,-1.284727905680788,11.125,0.16856060606060605,7.166666666666666,0.8041001162952041
b,size_scaling,7,12,0.5975000000000001,,9.5,0.14393939393939395,,0.6204194153910841
e,probability_scan_and_collapse,7,12,0.5975000000000001,-1.0870774586529737,9.5,0.14393939393939395,5.541666666666666,0.6204194153910841
b,size_scaling,7,12,0.6150000000000001,,9.041666666666666,0.13699494949494948,,0.5507476997428064
e,probability_scan_and_collapse,7,12,0.6150000000000001,-0.8894270116251607,9.041666666666666,0.13699494949494948,5.083333333333332,0.5507476997428064
b,size_scaling,7,12,0.6325000000000001,,7.083333333333333,0.10732323232323232,,0.7366534777168364
e,probability_scan_and_collapse,7,12,0.6325000000000001,-0.6917765645973476,7.083333333333333,0.10732323232323232,3.124999999999999,0.7366534777168364
b,size_scaling,7,12,0.6500000000000001,,7.458333333333334,0.11300505050505051,,0.6634966395368964
e,probability_scan_and_collapse,7,12,0.6500000000000001,-0.4941261175695333,7.458333333333334,0.11300505050505051,3.5,0.6634966395368964
b,size_scaling,7,12,0.6675000000000002,,4.666666666666667,0.07070707070707072,,0.6204194153910841
e,probability_scan_and_collapse,7,12,0.6675000000000002,-0.29647567054171897,4.666666666666667,0.07070707070707072,0.708333333333333,0.6204194153910841
b,size_scaling,7,12,0.6850000000000002,,4.0,0.06060606060606061,,0.536374895732446
e,probability_scan_and_collapse,7,12,0.6850000000000002,-0.09882522351390591,4.0,0.06060606060606061,0.041666666666666075,0.536374895732446
