campaign,label,L,m,d,p,time,observable,mean,standard_deviation,standard_error,realizations
dynamics,L48,48,11,44,0.4,25,measurement_entropy_change,-0.16666666666666666,0.3806934938134404,0.07770873402002614,24
dynamics,L48,48,11,44,0.4,26,half_chain_entropy_density,0.5039457070707072,0.0045343472474005,0.0009255697560603886,24
dynamics,L48,48,11,44,0.4,26,measurement_entropy_change,-5.791666666666667,1.2846642825425558,0.2622309985839918,24
dynamics,L48,48,11,44,0.4,27,half_chain_entropy_density,0.5009469696969697,0.0045027085357352776,0.0009191115310854855,24
dynamics,L48,48,11,44,0.4,27,measurement_entropy_change,-0.7916666666666666,0.9770927002733858,0.19944821225566475,24
dynamics,L48,48,11,44,0.4,28,half_chain_entropy_density,0.5053661616161617,0.005901724516703883,0.0012046844723665143,24
dynamics,L48,48,11,44,0.4,28,measurement_entropy_change,-5.166666666666667,1.2740441145412122,0.26006316586849804,24
dynamics,L48,48,11,44,0.4,29,half_chain_entropy_density,0.5017361111111112,0.004736220705855365,0.0009667770032125017,24
dynamics,L48,48,11,44,0.4,29,measurement_entropy_change,-0.9583333333333334,0.8064504441319253,0.1646160075803408,24
dynamics,L48,48,11,44,0.4,30,half_chain_entropy_density,0.5042613636363638,0.0032204234629489704,0.0006573661866593155,24
dynamics,L48,48,11,44,0.4,30,measurement_entropy_change,-5.416666666666667,1.138903617201808,0.23247772736287403,24
dynamics,L48,48,11,44,0.4,31,half_chain_entropy_density,0.5007891414141414,0.0038659875990896078,0.0007891414141414134,24
dynamics,L48,48,11,44,0.4,31,measurement_entropy_change,-0.9166666666666666,0.7172815023567725,0.14641447355925186,24
dynamics,L48,48,11,44,0.4,32,half_chain_entropy_density,0.502209595959596,0.005108499917108296,0.001042768178997124,24
dynamics,L48,48,11,44,0.4,32,measurement_entropy_change,-5.625,1.0959411282189109,0.22370804602220384,24
steady,d44_m11,32,11,44,0.0,65,half_chain_entropy,175.16666666666666,0.48199920365414683,0.13914118498945346,12
steady,d44_m11,32,11,44,0.1,65,half_chain_entropy,144.38888888888889,0.8626168002698184,0.24901602092163666,12
steady,d44_m11,32,11,44,0.2,65,half_chain_entropy,123.58333333333336,0.9547859244962523,0.27562295526318853,12
