phase,cosine_potential,harmonic_comparator
-0.6547499999999999,-39.660009656407894,-39.2825609375
-0.6525,-39.728417317507336,-39.35609375
-0.65025,-39.796623853578964,-39.4293734375
-0.648,-39.86462891932732,-39.5024
-0.64575,-39.93243217047692,-39.5751734375
-0.6435,-40.00003326377394,-39.64769375
-0.64125,-40.067431856987994,-39.7199609375
-0.639,-40.134627608913846,-39.791975
-0.6367499999999999,-40.201620179373144,-39.8637359375
-0.6345000000000001,-40.26840922921614,-39.93524375
-0.63225,-40.334994420323426,-40.0064984375
-0.63,-40.401375415607596,-40.0775
-0.62775,-40.46755187901501,-40.1482484375
-0.6255,-40.533523475527474,-40.21874375
-0.62325,-40.599289871163904,-40.2889859375
-0.621,-40.664850732982075,-40.358975
-0.6187499999999999,-40.730205729080254,-40.4287109375
-0.6165,-40.79535452859892,-40.49819375
-0.61425,-40.86029680172242,-40.5674234375
-0.612,-40.925032219680624,-40.6364
-0.60975,-40.98956045475062,-40.7051234375
-0.6074999999999999,-41.05388118025836,-40.77359375
-0.6052500000000001,-41.1179940705803,-40.8418109375
-0.603,-41.18189880114508,-40.909775
-0.60075,-41.24559504843513,-40.9774859375
-0.5985,-41.30908248998834,-41.04494375
-0.59625,-41.37236080439967,-41.112148437500004
-0.594,-41.43542967132279,-41.1791
-0.59175,-41.49828877147169,-41.2457984375
-0.5894999999999999,-41.56093778662232,-41.31224375
-0.58725,-41.62337639961416,-41.3784359375
-0.585,-41.68560429435188,-41.444375
-0.58275,-41.74762115580688,-41.5100609375
-0.5805,-41.80942667001896,-41.57549375
-0.5782499999999999,-41.8710205240978,-41.6406734375
-0.576,-41.932402406224675,-41.705600000000004
-0.57375,-41.99357200565391,-41.7702734375
-0.5715,-42.05452901271457,-41.83469375
-0.56925,-42.115273118811906,-41.8988609375
-0.567,-42.17580401642903,-41.962775
-0.56475,-42.23612139912841,-42.0264359375
-0.5625,-42.2962249615534,-42.08984375
-0.5602499999999999,-42.356114399429856,-42.1529984375
-0.558,-42.41578940956763,-42.2159
-0.55575,-42.4752496898621,-42.2785484375
-0.5535,-42.53449493929574,-42.34094375
-0.55125,-42.59352485793959,-42.4030859375
-0.5489999999999999,-42.65233914695482,-42.464975
-0.54675,-42.71093750859421,-42.5266109375
-0.5445,-42.76931964620368,-42.58799375
-0.5422499999999999,-42.82748526422379,-42.6491234375
-0.54,-42.88543406819121,-42.71
-0.53775,-42.94316576474026,-42.7706234375
-0.5355,-43.00068006160433,-42.83099375
-0.53325,-43.05797666761744,-42.8911109375
-0.5309999999999999,-43.115055292715624,-42.950975
-0.52875,-43.17191564793847,-43.0105859375
-0.5265,-43.22855744543055,-43.06994375
-0.52425,-43.2849803984429,-43.1290484375
-0.522,-43.341184221334416,-43.1879
-0.5197499999999999,-43.397168629573386,-43.2464984375
-0.5175,-43.45293333973885,-43.30484375
-0.51525,-43.508478069522084,-43.3629359375
-0.5129999999999999,-43.563802537728016,-43.420775000000006
-0.51075,-43.618906464276634,-43.4783609375
-0.5085,-43.67378957020445,-43.53569375
-0.50625,-43.72845157766584,-43.5927734375
-0.504,-43.7828922099345,-43.6496
