x,ground_marginal,excited_marginal
-1.8365166985503825,0.0001761764959291764,0.2823709265946985
-1.8233987221321653,0.00018977749705462182,0.2885524610285207
-1.8102807457139485,0.00020435816448283588,0.2947678532374336
-1.7971627692957313,0.00021998334630582206,0.30101350897134854
-1.7840447928775145,0.0002367217414163654,0.30728572562586637
-1.7709268164592973,0.0002546460957846261,0.3135806950963607
-1.75780884004108,0.0002738334064791172,0.3198945068754095
-1.7446908636228633,0.0002943651335842796,0.32622315139219105
-1.731572887204646,0.0003163274201586654,0.33256252359183336
-1.7184549107864293,0.0003398113203685307,0.33890842675208427
-1.705336934368212,0.00036491303592137657,0.3452565765340441
-1.6922189579499953,0.00039173416091252205,0.351602605263061
-1.6791009815317781,0.00042038193518525606,0.3579420664352643
-1.6659830051135613,0.00045096950629124635,0.36427043944456816
-1.6528650286953441,0.00048361620012287365,0.3705831345243547
-1.639747052277127,0.0005184478002727013,0.3768754978974088
-1.6266290758589101,0.0005555968361576122,0.38314281712706705
-1.613511099440693,0.0005952028799259567,0.38938032666192346
-1.6003931230224762,0.0006374128521454839,0.3955832135658334
-1.587275146604259,0.0006823813362478063,0.4017466234243768
-1.5741571701860422,0.0007302709016815233,0.40786566641835326
-1.561039193767825,0.000781252435701091,0.41393542355434243
-1.5479212173496082,0.0008355054836917639,0.4199509530418063
-1.534803240931391,0.00089321859790274,0.42590729680570877
-1.5216852645131738,0.0009545896944306615,0.4317994871231202
-1.508567288094957,0.0010198264182641407,0.43762255337181344
-1.4954493116767398,0.001089146516166791,0.4433715288784094
-1.482331335258523,0.0011627782171413222,0.44904145785321375
-1.4692133588403058,0.0012409606201808938,0.4546274023985064
-1.456095382422089,0.001323944088975582,0.46012444957668214
-1.4429774060038718,0.001411990653202168,0.4655277185243304
-1.429859429585655,0.0015053744159838525,0.4708323675980424
-1.4167414531674378,0.001604381967063599,0.47603360153749774
-1.4036234767492206,0.0017093128011899876,0.4811266786311532
-1.3905055003310038,0.0018204797411684637,0.48610691786969273
-1.3773875239127866,0.0019382093649830579,0.4909697060722551
-1.3642695474945699,0.002062842436344514,0.4957105049703563
-1.3511515710763526,0.0021947343379704,0.5003248582343757
-1.3380335946581359,0.0023342555068507245,0.5048083984274498
-1.3249156182399187,0.0024817918706997993,0.5091568538716543
-1.3117976418217019,0.002637745284740578,0.5133660554114141
-1.2986796654034847,0.002802533967912814,0.5174319430592016
-1.2855616889852675,0.0029765929375398965,0.5213505725087284
-1.2724437125670507,0.0031603744414324658,0.525118121501038
-1.2593257361488335,0.003354348386349172,0.5287308960291408
-1.2462077597306163,0.003559002761676693,0.5321853363671116
-1.2330897833123995,0.003774844057132676,0.5354780229098931
-1.2199718068941827,0.004002397673236374,0.5386056818104057
-1.206853830475966,0.004242208323232884,0.5415651904009676
-1.1937358540577483,0.004494840425098236,0.5443535823864617
-1.1806178776395315,0.0047608784821941315,0.5469680527971684
-1.1674999012213148,0.005040927451083482,0.5494059626896931
-1.154381924803097,0.0053356130949603585,0.5516648435849585
-1.1412639483848803,0.00564558232109233,0.5537424016328203
-1.1281459719666636,0.005971503500618157,0.555636521493471
-1.1150279955484468,0.00631406676899003,0.5573452699264384
-1.1019100191302291,0.006673984305298346,0.5588668990786567
-1.0887920427120124,0.007051990588666814,0.56019984946378
-1.0756740662937956,0.007448842629858833,0.5613427526256333
-1.0625560898755788,0.007865320176190302,0.5622944334794288
-1.0494381134573612,0.008302225887802757,0.5630539123251439
-1.0363201370391444,0.008760385483311116,0.5636204065282306
-1.0232021606209276,0.009240647852805536,0.5639933318636206
-1.01008418420271,0.00974388513615396,0.564172303519794
-0.9969662077844932,0.01027099276452506,0.5641571367604984
