t_us,P00,P01,P11,phi00,phi01,phi11,omega1p_MHz,omega2p_MHz,delta1_MHz,delta2_MHz
0.178125,0.4016608883495799,0.16010059556555303,0.13357169102355113,1.661726893665021,-1.9036112701170556,-2.960586262423785,394.92093008402264,292.8905856036461,0.3449947917737511,5.000269815119915
0.17875,0.4022630576626376,0.15523008295168167,0.1302699326135032,1.649854810403764,-1.91635725157857,-2.9327340515503444,391.3323373851319,290.4728351616516,0.4650143801443271,5.117343524878998
0.179375,0.40357557091172214,0.15101233803339464,0.12701005863107465,1.6379210118837335,-1.9316867063106127,-2.908383670937681,387.59384228916014,288.10212015600337,0.579964904150603,5.229371704883022
0.18,0.40557781954359345,0.14749265300934486,0.12384668332722733,1.6259997970355684,-1.9494295920600075,-2.887571187701088,383.7121544765329,285.78108954387466,0.6897621993274548,5.336271256169193
0.180625,0.4082466108653237,0.14471081485542842,0.12083477838593239,1.6141601169703774,-1.9693575942215853,-2.8703120305836016,379.6946776513073,283.5120923368307,0.7943272822212832,5.4379642305836375
0.18125,0.4115564848725877,0.14270099341616374,0.11802913550697501,1.6024648249396636,-1.9911863682039916,-2.8565946134424003,375.5494669817285,281.297166924233,0.8935864210897001,5.53437790090951
0.181875,0.41548004029256913,0.14149170176806772,0.11548385641164671,1.5909701523518613,-2.0145818393144204,-2.8463736024705746,371.2851824796881,279.1380317103924,0.9874712013967175,5.6254448258223615
0.1825,0.41998826466541955,0.1411058245383923,0.11325187563159751,1.5797254084442498,-2.039170571387536,-2.8395632603970924,366.91103860123195,277.036077105902,1.0759185860405274,5.711102909610185
0.183125,0.4250508633538214,0.141560709116645,0.1113845201466874,1.5687728900793738,-2.064553624497507,-2.836031471875714,362.4367503743146,274.9923589079465,1.158870970256244,5.7912954566010155
0.18375,0.43063658255206977,0.14286831401252117,0.10993110866153158,1.5581479795238709,-2.090322748219073,-2.835595199005766,357.8724763821959,273.00759309860786,1.2362762311412168,5.865971220245946
0.184375,0.43671352171802824,0.1450354079064704,0.10893859219952216,1.5478794022496842,-2.116077343308172,-2.8380181883487303,353.22875895106034,271.08215208431545,1.3080877717559154,5.935084446810946
0.185,0.44324943141983647,0.1480638122366747,0.10845123696967866,1.53798961363431,-2.1414404847850594,-2.843011702121487,348.51646190852347,269.2160623936452,1.3742645597585237,5.998594913635893
0.185625,0.4502119932770134,0.15195067958698497,0.10851034991228642,1.5284952825961433,-2.166072473236384,-2.8502388389855575,343.7467062954899,267.4090038446573,1.434771160537123,6.056467961924955
0.18625,0.457569079385716,0.1566887998195369,0.10915404685105715,1.5194078412277836,-2.189680818631354,-2.8593226379538272,338.9308044273334,265.6603101869435,1.4895777648084214,6.108674524037504
0.186875,0.46528898922897816,0.16226692598335316,0.110417062560311,1.5107340719817106,-2.21202614291869,-2.869857663005533,334.0801927113963,263.9689712175122,1.5386602106576963,6.155191145254422
0.1875,0.4733406625663979,0.16867011249337635,0.11233060127243416,1.502476707521013,-2.2329240707735742,-2.881424236107353,329.2063636363638,262.3336363636364,1.5819999999999994,6.195999999999999
0.18812500000000001,0.4816938672081481,0.17588005887269284,0.11492222531529571,1.494635022567306,-2.2522436434564153,-2.8936040431155554,324.3207973550488,260.75261971981854,1.6195843094481972,6.23108890250514
0.18875,0.4903193610047378,0.1838754532354817,0.11821577879446576,1.4872054015554275,-2.269903074190731,-2.9059955952054466,319.4348932855117,259.22390652014076,1.651405995578938,6.260451311903018
0.18937500000000002,0.49918902787638364,0.19263231050701027,0.12223134276744449,1.4801818702321814,-2.2858637588553616,-2.918228055046029,314.5599021561867,257.7451610214635,1.6774635945932026,6.284086331753948
0.19,0.5082759882479165,0.20212430100459147,0.12698521819102782,1.4735565832132869,-2.300123399840155,-2.929972224982624,309.70685891883204,256.3137357672663,1.6977613163735457,6.301998704001535
0.19062500000000002,0.5175546847767879,0.21232306548358956,0.13248993307563792,1.4673202627522723,-2.3127089500444873,-2.9409479658341873,304.88651694858913,254.92668219637213,1.7123090329457722,6.314198797367893
0.19125,0.5270009446506325,0.22319851327953158,0.13875427060526418,1.4614625865793522,-2.323669893554543,-2.95092784970689,300.1092839433593,253.58076255543642,1.7211222613582051,6.32070259020101
0.19187500000000002,0.5365920199370565,0.23471910091041726,0.1457833152809778,1.4559725247001367,-2.3330721921528568,-2.95973732980141,295.38515992501164,252.272463068873,1.7242221409973078,6.321531647792946
0.1925,0.5463066075465187,0.24685208950836138,0.1535785143266591,1.450838626665309,-2.340993067993737,-2.967252051764799,290.7236777327747,250.9980083149114,1.7216354053638243,6.316713094192904
0.193125,0.5561248503543589,0.2595637805489029,0.16213775164829905,1.4460492620589402,-2.3475166731607384,-2.973393103394244,286.13384638454323,249.7533767517081,1.713394348339145,6.306279578544761
0.19375,0.5660283210823237,0.2728197302993878,0.1714554317267343,1.4415928178667086,-2.3527306160496515,-2.978121017201911,281.6240976648668,248.53431733290714,1.69953678497697,6.290269235983908
0.194375,0.5759999906338378,0.28658494392074624,0.18152257114225234,1.4374578569273506,-2.356723266401082,-2.9814292465111443,277.20223627917835,247.33636714777714,1.6801060068608025,6.268725643133744
0.195,0.586024182712192,0.3008240502176381,0.19232689610128484,1.4336332418654312,-2.3595817370787984,-2.9833376815103705,272.87539389246933,246.15487001705588,1.6551507320731096,6.241697768247417
0.195625,0.596086516646761,0.3155014577919295,0.20385294526608483,1.4301082287972253,-2.361390433489065,-2.983886601307912,268.6499873472663,244.98499597192102,1.624725049827355,6.20923991604569
0.19625,0.6061738403040552,0.330581493222558,0.21608217810529698,1.4268725348135165,-2.362230064848097,-2.983131301643837,264.53168133054794,243.8217615401017,1.5888883598193182,6.171411667307094
0.196875,0.6162741548115823,0.34602852204411333,0.22899308955275713,1.423916382898792,-2.362177020971494,-2.9811375109358664,260.52535573230955,242.6600507600422,1.5477053063593758,6.128277813271649
0.1975,0.6263765326096766,0.3618070538075787,0.24256133180403633,1.4212305276199908,-2.3613030310591423,-2.9779776139417926,256.63507790999927,241.49463684125922,1.5012457073524779,6.079908284924522
0.198125,0.6364710301490283,0.37788183307709755,0.2567598437656426,1.4188062646473831,-2.359675034939224,-2.9737276399374437,252.86408004320842,240.32020438659268,1.4495844781977996,6.026378077231197
0.19875,0.6465485964756766,0.3942179184950752,0.27155898825746133,1.4166354268903492,-2.357355210838299,-2.9684649354137207,249.2147417319251,239.1313720899384,1.3928015506848064,5.967767168400458
0.199375,0.6566009789420036,0.41078075180934154,0.28692669708013746,1.4147103697223162,-2.3544011157341647,-2.962266424142097,245.68857795963132,237.92271582130255,1.33098178696766,5.904160434256608
0.2,0.6666206273253781,0.4275362181126836,0.3028286244012548,1.4130239473903883,-2.35086590408938,-2.9552073543405903,242.28623250963744,236.6887920096046,1.2642148887045586,5.835647557807071
0.200625,0.6766005976186698,0.4444506978411359,0.3192283095738606,1.4115694822987823,-2.3467985982445505,-2.9473604389082375,239.00747688959078,235.42416123260008,1.1925953014534607,5.7623229340962325
0.20125,0.6865344566570099,0.46149111075490573,0.33608735074838836,1.410340728484469,-2.34224438944518,-2.9387953059490215,235.85121478520574,234.12341192259902,1.116222114420271,5.684285570441095
0.201875,0.6964161885655581,0.4786249523604076,0.3533655903669534,1.4093318303247582,-2.3372449531732666,-2.929578189602914,232.8154920302019,232.7811840963107,1.0351989556602093,5.601638982148831
0.2025,0.7062401038400448,0.49582032384465596,0.371021312580437,1.4085372773561664,-2.3318387665724734,-2.9197718032995006,229.89751204536412,231.39219301715465,0.9496338828374008,5.5144910838206815
0.203125,0.7160007517725485,0.5130459571722954,0.38901145149224003,1.4079518560028212,-2.3260614195487257,-2.9094353476948207,227.09365666581775,229.95125269875038,0.8596392696524155,5.422954076351286
0.20375000000000001,0.7256928369406493,0.5302712370913331,0.4072918083106424,1.407570598961744,-2.3199459142969143,-2.8986246140278062,224.39951224218706,228.45329915899868,0.7653316880513059,5.327144329736309
0.204375,0.7353111405545177,0.5474662213537933,0.42581727545030706,1.407388732912934,-2.313522950251148,-2.887392150995719,221.80990086855294,226.89341333523845,0.6668317863342978,5.2271822618058295
0.20500000000000002,0.744850447522286,0.5646016596776582,0.4445420662994087,1.4074016251106567,-2.306821192666664,-2.875787470121331,219.31891655818288,225.26684357234748,0.564264163285986,5.1231922130046215
0.205625,0.7543054800838536,0.5816490114394895,0.46341994999519437,1.4076047292951124,-2.2998675234222192,-2.8638572711411534,216.9199661571157,223.56902759738438,0.45775723845299754,5.015302317344544
0.20625000000000002,0.7636708387565008,0.5985804620858407,0.4824044907073567,1.4079935312928828,-2.2926872726819827,-2.8516456746377514,214.6058147560187,221.7956138964158,0.3474431186987772,4.903644369657921
0.206875,0.7729409511747383,0.6153689388465731,0.5014492902430527,1.4085634946816947,-2.2853044302846808,-2.8391944533940503,212.36863533246915,219.94248241152846,0.23345746116886482,4.788353689284495
0.20750000000000002,0.7821100292681642,0.6319881271183868,0.5205082315089063,1.4093100069730653,-2.277741836338917,-2.826543256520228,210.20006232915412,218.00576447868255,0.11593933280352324,4.6695689803280045
0.208125,0.7911720351604011,0.6484124893303723,0.5395357194735603,1.4102283268776965,-2.2700213513782064,-2.813729821490675,208.09124884855493,215.98186193001254,-0.004968933461949376,4.547432188621851
0.20875,0.800120656187026,0.664617287883527,0.558486916137765,1.4113135332975038,-2.2621640071733102,-2.800790169749007,206.0329271216743,213.8674652873963,-0.12912188566583502,4.422088355546444
0.209375,0.8089492894689286,0.6805786129650595,0.5773179668919083,1.4125604767136526,-2.254190139576341,-2.7877587822418306,204.01547188741455,211.6595709776023,-0.2563711028106809,4.293685468844143
0.21,0.8176510364524177,0.696273415140696,0.5959862170766976,1.4139637336136364,-2.2461195044860887,-2.774668752561883,202.0289663004265,209.35549750304773,-0.3865653477265948,4.162374310580423
0.210625,0.8262187077116108,0.7116795421488776,0.6144504184470567,1.4155175645545324,-2.237971377443234,-2.76155191713757,200.0632699687845,206.95290050615932,-0.5195507226547725,4.0283083024026745
0.21125,0.8346448380851675,0.7267757794968924,0.6326709253209386,1.4172158764470861,-2.229764636853446,-2.7484389634191153,198.10808870877798,204.44978666950925,-0.6551708273958691,3.891643348251141
0.211875,0.8429217119895969,0.7415418950776784,0.6506098792457485,1.4190521896723371,-2.2215178307813623,-2.7353595177548264,196.15304559252226,201.84452639825628,-0.7932669198659738,3.752537674678271
0.2125,0.8510413985514093,0.7559586885667674,0.6682313799661018,1.4210196107009967,-2.2132492276228444,-2.7223422144133878,194.18775285511023,199.13586523598656,-0.933678078899894,3.6111516689358125
0.213125,0.8589957960966083,0.7700080463255019,0.6855016399925946,1.423110810916107,-2.204976851554914,-2.7094147463845566,192.20188422163523,196.32293396975115,-1.0762413691397348,3.4676477149907114
0.21375,0.8667766854951015,0.7836730018406523,0.7023891207738567,1.4253180123227231,-2.1967185040525177,-2.696603897932871,190.18524721072205,193.4052573849557,-1.220792007844496,3.3221900276330927
0.214375,0.8743757917937494,0.7969378006263916,0.7188646499307229,1.4276329807273438,-2.188491772763058,-2.683935558850294,188.12785497020096,190.3827616357398,-1.3671635334545906,3.1749444848414203
0.215,0.8817848534586055,0.8097879676743784,0.7349015204567192,1.4300470268332228,-2.180314028618074,-2.671434721106248,186.0199972022596,187.25578020156732,-1.5151879757434235,3.0260784585716998
0.215625,0.8889956983308877,0.8222103752861584,0.7504755733161059,1.4325510155503078,-2.1722024115693923,-2.659125459696341,183.85230973981433,184.02505840591743,-1.6646960273868223,2.8757606441388996
