physics_phase,caption_phase,gamma,p,L,ell,chord_length,parameter_status,correlation_positive,correlation_positive_sem
CFT,algebraic,0.3,5.0,80,30.0,23.526399107296115,paper_subset_reconstructed_numerics,0.0008736250654630364,3.0894489261418515e-05
CFT,algebraic,0.3,5.0,80,31.0,23.890846188488357,paper_subset_reconstructed_numerics,0.0008812686845960308,1.552460811353418e-05
CFT,algebraic,0.3,5.0,80,33.0,24.508721341804307,paper_subset_reconstructed_numerics,0.0008464353772826629,3.140836810065936e-05
CFT,algebraic,0.3,5.0,80,37.0,25.28828060048282,paper_subset_reconstructed_numerics,0.0008456459078871555,2.4540232042526258e-05
CFT,algebraic,0.3,5.0,80,40.0,25.464790894703256,paper_subset_reconstructed_numerics,0.000796214317118171,1.5985863817511438e-05
CFT,algebraic,0.3,5.0,96,1.0,0.9998215227876079,paper_subset_reconstructed_numerics,0.0174919304238751,0.00025941616343792335
CFT,algebraic,0.3,5.0,96,2.0,1.9985724116458168,paper_subset_reconstructed_numerics,0.011011915578616029,0.00024045955560748366
CFT,algebraic,0.3,5.0,96,3.0,2.995183179106855,paper_subset_reconstructed_numerics,0.008084520771795748,0.00011738053894141436
CFT,algebraic,0.3,5.0,96,4.0,3.9885866293985472,paper_subset_reconstructed_numerics,0.006756561976262286,0.00011241974173423128
CFT,algebraic,0.3,5.0,96,5.0,4.977719001224279,paper_subset_reconstructed_numerics,0.005659713941821897,0.000157625483548378
CFT,algebraic,0.3,5.0,96,7.0,6.938939466385137,paper_subset_reconstructed_numerics,0.003968875627702088,1.1649720626985588e-05
CFT,algebraic,0.3,5.0,96,9.0,8.870446327465567,paper_subset_reconstructed_numerics,0.0029375128502788323,2.7380074823223025e-05
CFT,algebraic,0.3,5.0,96,12.0,11.693944300853191,paper_subset_reconstructed_numerics,0.002184997854829142,3.711147615937381e-05
CFT,algebraic,0.3,5.0,96,16.0,15.27887453682195,paper_subset_reconstructed_numerics,0.0015819532783268187,1.675834628411654e-05
CFT,algebraic,0.3,5.0,96,21.0,19.385630791477553,paper_subset_reconstructed_numerics,0.0010429197319630427,5.989526563307825e-05
CFT,algebraic,0.3,5.0,96,24.0,21.607591587770543,paper_subset_reconstructed_numerics,0.000898330148847672,3.8171834999037616e-05
CFT,algebraic,0.3,5.0,96,28.0,24.24309229935679,paper_subset_reconstructed_numerics,0.0007369686649549572,2.4102999343875136e-05
CFT,algebraic,0.3,5.0,96,32.0,26.463786980246017,paper_subset_reconstructed_numerics,0.0006849623694046042,2.9760449714295577e-05
CFT,algebraic,0.3,5.0,96,36.0,28.231678928755336,paper_subset_reconstructed_numerics,0.0006092723445227465,3.388723514052134e-05
CFT,algebraic,0.3,5.0,96,40.0,29.5165190234935,paper_subset_reconstructed_numerics,0.0005941192834110604,2.433823812759209e-05
CFT,algebraic,0.3,5.0,96,44.0,30.296323294214563,paper_subset_reconstructed_numerics,0.0005316449378957176,1.8327255806396386e-05
CFT,algebraic,0.3,5.0,96,48.0,30.557749073643905,paper_subset_reconstructed_numerics,0.0005406504976670896,6.426259171151776e-05
area_law,area_law,2.0,5.0,24,1.0,0.9971466573496368,paper_subset_reconstructed_numerics,0.026931832383346052,0.0008193720869394595
area_law,area_law,2.0,5.0,24,2.0,1.9772318589307383,paper_subset_reconstructed_numerics,0.011904436700718597,0.0006651678105489245
area_law,area_law,2.0,5.0,24,3.0,2.923486075213298,paper_subset_reconstructed_numerics,0.007937542074463719,0.0007086352936882027
area_law,area_law,2.0,5.0,24,4.0,3.8197186342054876,paper_subset_reconstructed_numerics,0.0052808911633774,0.0008438224376806382
area_law,area_law,2.0,5.0,24,5.0,4.650594748340343,paper_subset_reconstructed_numerics,0.003136736334502743,0.0005450761529114256
area_law,area_law,2.0,5.0,24,6.0,5.401897896942636,paper_subset_reconstructed_numerics,0.0025115605380996208,0.0002019905048697971
area_law,area_law,2.0,5.0,24,7.0,6.060773074839197,paper_subset_reconstructed_numerics,0.001989319014676813,0.0002546964224009043
area_law,area_law,2.0,5.0,24,8.0,6.615946745061504,paper_subset_reconstructed_numerics,0.001846914480114811,0.0001389455850515747
area_law,area_law,2.0,5.0,24,9.0,7.057919732188834,paper_subset_reconstructed_numerics,0.0014636401765867823,0.00030262400002368736
area_law,area_law,2.0,5.0,24,10.0,7.379129755873375,paper_subset_reconstructed_numerics,0.0016967530688529932,0.00025224707731974033
area_law,area_law,2.0,5.0,24,11.0,7.574080823553641,paper_subset_reconstructed_numerics,0.0014367858974307947,0.0002477727334049684
