L,p,gamma,ell,chord_length,entropy,entropy_sem,correlation_positive,correlation_positive_sem,correlation_connected,trajectories,samples_per_trajectory,max_invariant_residual,stationary_relative_drift
24,1.4,1.0,4.0,3.8197186342054876,1.5452860381325568,0.028255263058532976,0.007251229957770834,0.0003988208626494155,-0.007251229957770834,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,5.0,4.650594748340343,1.7954165317677375,0.03382852669725521,0.006012351811482295,0.0006509812686763729,-0.006012351811482295,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,6.0,5.401897896942636,1.9908912113891797,0.03889309374065108,0.004892841866705962,0.00027983092680571774,-0.004892841866705962,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,7.0,6.060773074839197,2.1965109757109946,0.04850437399560906,0.005244093195626615,0.0003651824956214903,-0.005244093195626615,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,8.0,6.615946745061504,2.365437327216033,0.0713886618626872,0.004797498641547517,0.0002656867825411894,-0.004797498641547517,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,9.0,7.057919732188834,2.466753732776642,0.07979857270858205,0.004412640645901923,0.00038404597575903224,-0.004412640645901923,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,10.0,7.379129755873375,2.518639607252306,0.08676491130917251,0.004603897304228974,0.0004858921821523409,-0.004603897304228974,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,11.0,7.574080823553641,2.5381054810349784,0.062318996850604796,0.0038812829136210514,0.000309795072586169,-0.0038812829136210514,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.0,12.0,7.639437268410976,2.5739666642251224,0.05493551992531286,0.004066017589066686,0.0002991626067356468,-0.004066017589066686,4,5,3.552713678800501e-15,0.2627769599816231
24,1.4,1.5,1.0,0.9971466573496368,0.4851647089703651,0.0151308831341519,0.021340684732113393,0.0011684101343494892,-0.021340684732113393,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,2.0,1.9772318589307383,0.8328456307355224,0.03511494158961742,0.013647366483121991,0.0005252686785027115,-0.013647366483121991,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,3.0,2.923486075213298,1.1420922864604335,0.0448528410640791,0.010018577343207142,0.0005261584817530855,-0.010018577343207142,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,4.0,3.8197186342054876,1.3876090449200578,0.057210219580976204,0.00695376158577003,0.00035071786573728564,-0.00695376158577003,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,5.0,4.650594748340343,1.6261169358891938,0.05415031138234244,0.005524986551577914,0.00038531887611727617,-0.005524986551577914,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,6.0,5.401897896942636,1.769286227966503,0.07840864047174993,0.005083324713620534,0.0003186361510324722,-0.005083324713620534,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,7.0,6.060773074839197,1.9203708852116792,0.07524720509441128,0.004015071542481534,0.0003365755187393062,-0.004015071542481534,4,5,3.552713678800501e-15,0.13136492567749078
