gamma,L,p,inverse_p,c_eff,fit_relative_rms,parameter_status
0.3,64,2.0,0.5,11.014896666339403,0.0052302184634400355,reduced_scale
0.3,64,3.0,0.3333333333333333,9.172316580863267,0.006626244410702384,reduced_scale
0.3,64,5.0,0.2,8.539761893489803,0.006854069589773109,reduced_scale
0.3,80,1.15,0.8695652173913044,17.841148611708434,0.004595769685744478,reduced_scale
0.3,80,1.25,0.8,17.073444035881003,0.004602037102747811,reduced_scale
0.3,80,1.4,0.7142857142857143,15.821202660465598,0.0022735269844056834,reduced_scale
0.3,80,1.6,0.625,13.063275471087977,0.003122538250488024,reduced_scale
0.3,80,2.0,0.5,13.108634588633514,0.004579397299986271,reduced_scale
0.3,80,3.0,0.3333333333333333,10.316083702240237,0.005292414097315436,reduced_scale
0.3,80,5.0,0.2,9.234291017249626,0.0035144490852938664,reduced_scale
0.3,96,1.15,0.8695652173913044,19.84698260442275,0.002233426519186036,reduced_scale
0.3,96,1.25,0.8,17.466067779298736,0.0029258361481258807,reduced_scale
0.3,96,1.4,0.7142857142857143,17.55163926351196,0.003233414079692104,reduced_scale
0.3,96,1.6,0.625,14.43105373428286,0.0029179928136319777,reduced_scale
0.3,96,2.0,0.5,12.545264522616897,0.007690938669350381,reduced_scale
0.3,96,3.0,0.3333333333333333,10.058442802611495,0.009070712593337062,reduced_scale
0.3,96,5.0,0.2,9.500222561455562,0.0056905593746495045,reduced_scale
1.5,24,1.15,0.8695652173913044,4.557088010276196,0.0075808737483710606,reduced_scale
1.5,24,1.25,0.8,5.010084462522876,0.01326493487570379,reduced_scale
1.5,24,1.4,0.7142857142857143,3.9724290006038725,0.002800934052856676,reduced_scale
1.5,24,1.6,0.625,2.3299925088094957,0.0110984931633113,reduced_scale
1.5,24,2.0,0.5,2.1394063104969328,0.013055878177741866,reduced_scale
1.5,24,3.0,0.3333333333333333,1.9016162425717433,0.009332645653002968,reduced_scale
1.5,24,5.0,0.2,2.5577822581321343,0.004018599833439311,reduced_scale
1.5,32,1.15,0.8695652173913044,5.384555102556784,0.00891062953463755,reduced_scale
1.5,32,1.25,0.8,5.124244219961114,0.009634648218490803,reduced_scale
1.5,32,1.4,0.7142857142857143,5.417929681705148,0.0036742492040764394,reduced_scale
1.5,32,1.6,0.625,3.8106872892105823,0.011510641221884006,reduced_scale
1.5,32,2.0,0.5,3.460636397542079,0.006044121451349453,reduced_scale
