physics_phase,caption_phase,gamma,p,L,ell,chord_length,parameter_status,entropy,entropy_sem
CFT,algebraic,0.3,5.0,32,13.0,9.74731421925113,paper_subset_reconstructed_numerics,3.6851873984057875,0.11452321258013848
CFT,algebraic,0.3,5.0,32,15.0,10.136868386523963,paper_subset_reconstructed_numerics,3.7614010178441717,0.1309395038402054
CFT,algebraic,0.3,5.0,32,16.0,10.185916357881302,paper_subset_reconstructed_numerics,3.785023063925679,0.12559680229774395
CFT,algebraic,0.3,5.0,48,1.0,0.9992862058229084,paper_subset_reconstructed_numerics,0.5914570762621363,0.01803314883776624
CFT,algebraic,0.3,5.0,48,2.0,1.9942933146992736,paper_subset_reconstructed_numerics,1.105416743500514,0.02766196901409118
CFT,algebraic,0.3,5.0,48,3.0,2.980760553432617,paper_subset_reconstructed_numerics,1.5889882736857337,0.02646627255496634
CFT,algebraic,0.3,5.0,48,4.0,3.9544637178614765,paper_subset_reconstructed_numerics,2.0458546721761848,0.037121744544827195
CFT,algebraic,0.3,5.0,48,5.0,4.911233261550139,paper_subset_reconstructed_numerics,2.41627624877304,0.03817229817552201
CFT,algebraic,0.3,5.0,48,6.0,5.846972150426596,paper_subset_reconstructed_numerics,2.7726403735114666,0.040586222095699655
CFT,algebraic,0.3,5.0,48,8.0,7.639437268410975,paper_subset_reconstructed_numerics,3.4055612750467876,0.03446462037513214
CFT,algebraic,0.3,5.0,48,10.0,9.301189496680687,paper_subset_reconstructed_numerics,3.9060833707918157,0.02250703164982932
CFT,algebraic,0.3,5.0,48,12.0,10.803795793885271,paper_subset_reconstructed_numerics,4.313253791160703,0.0346520356700615
CFT,algebraic,0.3,5.0,48,14.0,12.121546149678394,paper_subset_reconstructed_numerics,4.659703054340847,0.028722817699629054
CFT,algebraic,0.3,5.0,48,15.0,12.703919887550578,paper_subset_reconstructed_numerics,4.810572577841876,0.052364455032061843
CFT,algebraic,0.3,5.0,48,16.0,13.231893490123008,paper_subset_reconstructed_numerics,4.940014158302878,0.0510377665096051
CFT,algebraic,0.3,5.0,48,18.0,14.115839464377668,paper_subset_reconstructed_numerics,5.147617797739935,0.07628393930155991
CFT,algebraic,0.3,5.0,48,19.0,14.468026643692282,paper_subset_reconstructed_numerics,5.225214194219068,0.07473830353390301
CFT,algebraic,0.3,5.0,48,20.0,14.75825951174675,paper_subset_reconstructed_numerics,5.262801392519194,0.08253577185512063
CFT,algebraic,0.3,5.0,48,22.0,15.148161647107282,paper_subset_reconstructed_numerics,5.389332232450701,0.12404261497280362
CFT,algebraic,0.3,5.0,48,24.0,15.278874536821952,paper_subset_reconstructed_numerics,5.450840155935123,0.12535906839442867
CFT,algebraic,0.3,5.0,64,1.0,0.9995984531496791,paper_subset_reconstructed_numerics,0.6042954791977748,0.019478014937214145
CFT,algebraic,0.3,5.0,64,2.0,1.9967887860712368,paper_subset_reconstructed_numerics,1.116530622233257,0.03800539075790459
CFT,algebraic,0.3,5.0,64,3.0,2.9891686799091075,paper_subset_reconstructed_numerics,1.5803435405637096,0.04080895194518458
CFT,algebraic,0.3,5.0,64,4.0,3.974347404576823,paper_subset_reconstructed_numerics,1.992054149199552,0.046786877713476664
CFT,algebraic,0.3,5.0,64,6.0,5.913630884977044,paper_subset_reconstructed_numerics,2.755441971334954,0.0620668417437172
CFT,algebraic,0.3,5.0,64,7.0,6.863063736944095,paper_subset_reconstructed_numerics,3.0903867639548728,0.06034936476227161
CFT,algebraic,0.3,5.0,64,9.0,8.710080840133957,paper_subset_reconstructed_numerics,3.644279457951419,0.051457905503198745
CFT,algebraic,0.3,5.0,64,12.0,11.317983848932585,paper_subset_reconstructed_numerics,4.255133832001191,0.06246450942895969
CFT,algebraic,0.3,5.0,64,15.0,13.68088668691583,paper_subset_reconstructed_numerics,4.767746529703009,0.07439648267253858
CFT,algebraic,0.3,5.0,64,16.0,14.405061058513697,paper_subset_reconstructed_numerics,4.943601355360286,0.08142706340018088
CFT,algebraic,0.3,5.0,64,19.0,16.362809467364322,paper_subset_reconstructed_numerics,5.40553786324816,0.12710486786650918
CFT,algebraic,0.3,5.0,64,20.0,16.93855985006744,paper_subset_reconstructed_numerics,5.501739469422749,0.12999335868279943
CFT,algebraic,0.3,5.0,64,21.0,17.473503758449127,paper_subset_reconstructed_numerics,5.577735002201911,0.1526179307659512
CFT,algebraic,0.3,5.0,64,24.0,18.821119285836893,paper_subset_reconstructed_numerics,5.725545741623458,0.16632508851692934
CFT,algebraic,0.3,5.0,64,25.0,19.18097819042758,paper_subset_reconstructed_numerics,5.759526695824556,0.16378815737531024
CFT,algebraic,0.3,5.0,64,27.0,19.76131441914081,paper_subset_reconstructed_numerics,5.861856803404484,0.1641974190526056
CFT,algebraic,0.3,5.0,64,29.0,20.1513383873644,paper_subset_reconstructed_numerics,5.96458459389255,0.14664193584471408
CFT,algebraic,0.3,5.0,64,32.0,20.371832715762604,paper_subset_reconstructed_numerics,6.005280482761679,0.17053312520827818
CFT,algebraic,0.3,5.0,80,1.0,0.9997429988692578,paper_subset_reconstructed_numerics,0.6106921161366441,0.021082955387229114
CFT,algebraic,0.3,5.0,80,2.0,1.9979444664970771,paper_subset_reconstructed_numerics,1.1239766322660576,0.032061449018003396
CFT,algebraic,0.3,5.0,80,3.0,2.9930652485714617,paper_subset_reconstructed_numerics,1.5719155956452469,0.039630085595002265
CFT,algebraic,0.3,5.0,80,4.0,3.983570940974246,paper_subset_reconstructed_numerics,1.9208408504123284,0.04839700421993409
CFT,algebraic,0.3,5.0,80,5.0,4.967934255721029,paper_subset_reconstructed_numerics,2.278243804990084,0.051665720407101885
CFT,algebraic,0.3,5.0,80,6.0,5.944637375928548,paper_subset_reconstructed_numerics,2.645651647778772,0.05015485213443102
CFT,algebraic,0.3,5.0,80,8.0,7.869053144667728,paper_subset_reconstructed_numerics,3.269462651739357,0.02997783384393772
CFT,algebraic,0.3,5.0,80,11.0,10.661082672421951,paper_subset_reconstructed_numerics,4.005840947862045,0.010104828276881056
CFT,algebraic,0.3,5.0,80,14.0,13.305316693274213,paper_subset_reconstructed_numerics,4.645690401991491,0.045144296627285425
CFT,algebraic,0.3,5.0,80,18.0,16.53805874770126,paper_subset_reconstructed_numerics,5.4027423465395685,0.09735001247801457
CFT,algebraic,0.3,5.0,80,20.0,18.006326323142122,paper_subset_reconstructed_numerics,5.7371932981521905,0.10417704777014467
CFT,algebraic,0.3,5.0,80,23.0,19.9979314309483,paper_subset_reconstructed_numerics,6.09490718306351,0.07099138165385055
CFT,algebraic,0.3,5.0,80,24.0,20.601448592019356,paper_subset_reconstructed_numerics,6.213333289876848,0.055621317732302895
CFT,algebraic,0.3,5.0,80,27.0,22.21792837657231,paper_subset_reconstructed_numerics,6.419762736758586,0.07572225667905229
CFT,algebraic,0.3,5.0,80,30.0,23.526399107296115,paper_subset_reconstructed_numerics,6.61647707568182,0.08013847165677326
CFT,algebraic,0.3,5.0,80,31.0,23.890846188488357,paper_subset_reconstructed_numerics,6.642732783912082,0.0728053182373502
CFT,algebraic,0.3,5.0,80,33.0,24.508721341804307,paper_subset_reconstructed_numerics,6.694683138232881,0.08859049431987646
CFT,algebraic,0.3,5.0,80,37.0,25.28828060048282,paper_subset_reconstructed_numerics,6.775728903824014,0.13972891138216012
CFT,algebraic,0.3,5.0,80,40.0,25.464790894703256,paper_subset_reconstructed_numerics,6.845444417474301,0.14394523753134963
CFT,algebraic,0.3,5.0,96,1.0,0.9998215227876079,paper_subset_reconstructed_numerics,0.5868630447123455,0.01620513144299296
CFT,algebraic,0.3,5.0,96,2.0,1.9985724116458168,paper_subset_reconstructed_numerics,1.108195237324765,0.034966090117154874
CFT,algebraic,0.3,5.0,96,3.0,2.995183179106855,paper_subset_reconstructed_numerics,1.5620941512290438,0.05359522555223936
CFT,algebraic,0.3,5.0,96,4.0,3.9885866293985472,paper_subset_reconstructed_numerics,1.9624452063406588,0.05548770035096932
CFT,algebraic,0.3,5.0,96,5.0,4.977719001224279,paper_subset_reconstructed_numerics,2.389645985061453,0.07281264960347736
CFT,algebraic,0.3,5.0,96,7.0,6.938939466385137,paper_subset_reconstructed_numerics,3.0811233446471373,0.07773582683414995
CFT,algebraic,0.3,5.0,96,9.0,8.870446327465567,paper_subset_reconstructed_numerics,3.6540798086365074,0.10882173024496174
CFT,algebraic,0.3,5.0,96,12.0,11.693944300853191,paper_subset_reconstructed_numerics,4.359622802857489,0.14334492612442598
