family,strategy,qubits,samples,mean_gate_count,mean_scheduled_stages,mean_movement_events,mean_movement_distance_um,mean_movement_duration_us,mean_transfer_events,mean_idle_exposure,mean_total_duration_us,mean_idle_coherence_us,mean_log_no_fault,mean_no_fault,mean_native_three_qubit_gates
qft_pairs,mobius_native,20,5,190.0,190.0,760.0,42216.89583364998,59430.95640778802,760.0,3420.0,65199.35640778808,1173588.4153401856,-11.05586082285555,1.579430978708057e-05,0.0
qft_pairs,mobius_native,30,5,435.0,435.0,1740.0,131263.1511615834,160082.37708166384,1740.0,12180.0,173288.97708166376,4852091.358286586,-37.64417990255122,4.4806435172182595e-17,0.0
qft_pairs,zap_decomposed,6,5,15.0,15.0,60.0,1759.3956549373731,3257.734618203174,60.0,60.0,3713.134618203173,14852.538472812686,-0.2953076527704934,0.7443025654917345,0.0
qft_pairs,zap_decomposed,10,5,45.0,45.0,180.0,6436.640504908369,10980.398453324522,180.0,360.0,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723,0.0
qft_pairs,zap_decomposed,20,5,190.0,190.0,760.0,42216.89583364998,59430.95640778802,760.0,3420.0,65199.35640778808,1173588.4153401856,-11.05586082285555,1.579430978708057e-05,0.0
qft_pairs,zap_decomposed,30,5,435.0,435.0,1740.0,131263.1511615834,160082.37708166384,1740.0,12180.0,173288.97708166376,4852091.358286586,-37.64417990255122,4.4806435172182595e-17,0.0
qram_oracle,mobius_native,6,5,18.0,18.0,132.0,3877.172792493898,4241.619938199468,132.0,42.0,4791.987938199469,11084.865848362751,-0.7359995416307209,0.4790264139449019,6.0
qram_oracle,mobius_native,10,5,30.0,30.0,220.0,7708.120814175076,7641.100775157234,220.0,190.0,8558.380775157235,54198.02732339668,-1.5508570294983912,0.21206615515309252,10.0
qram_oracle,mobius_native,20,5,60.0,60.0,440.0,24634.23257270047,20104.111564838713,440.0,980.0,21938.671564838693,358186.43407931575,-4.770119109489551,0.00847938453935441,20.0
qram_oracle,mobius_native,30,5,90.0,90.0,660.0,50251.51937726048,35793.936984144486,660.0,2370.0,38545.77698414448,1014766.172129894,-9.726320207881567,5.9692499883415156e-05,30.0
qram_oracle,zap_decomposed,6,5,834.0,590.8,816.0,24463.351127127833,45107.83975297833,816.0,816.0,71414.87975297844,293126.719011914,-4.26596723053774,0.014038289463487725,0.0
qram_oracle,zap_decomposed,10,5,1390.0,917.6,1360.0,47724.86101484926,82669.28036349127,1360.0,2720.0,123026.88036349133,989685.4429079313,-10.848296421684967,1.9438431694172497e-05,0.0
qram_oracle,zap_decomposed,20,5,2780.0,1569.0,2720.0,152492.29859698773,215596.89453219803,2720.0,12240.0,282469.6945321973,5067710.50157955,-40.77677140375137,1.957216656637975e-18,0.0
qram_oracle,zap_decomposed,30,5,4170.0,2048.8,4080.0,310853.8508508507,380628.01912703284,4080.0,28560.0,465092.81912702834,12965794.13555679,-90.27323758589382,6.2587747575794726e-40,0.0
synthetic_3sat,mobius_native,6,5,16.4,13.6,64.8,1926.9834068101852,2931.5012603017094,64.8,45.6,3358.763660301709,11615.301472390278,-0.3399588554292129,0.7142994624977415,6.4
synthetic_3sat,mobius_native,10,5,37.8,33.4,164.8,5970.681133424837,8244.007429377145,164.8,245.6,9274.644229377145,69226.63041380997,-1.2202384529841352,0.2999240250404437,16.8
synthetic_3sat,mobius_native,20,5,91.4,82.8,405.6,22371.9380972171,26202.67223771259,405.6,1433.2,28746.58743771255,503012.3974628154,-5.274761024962794,0.005338615732759662,39.2
synthetic_3sat,mobius_native,30,5,152.4,137.4,666.4,50438.132617192154,51584.88208786464,666.4,3764.8,55786.61808786467,1535933.671412184,-12.620086817794732,4.808976255972646e-06,60.0
synthetic_3sat,zap_decomposed,6,5,170.0,122.6,180.0,5408.537640624361,9968.053302152432,180.0,180.0,15369.453302152431,63048.213208609726,-0.9357556496301772,0.40224400898531476,0.0
synthetic_3sat,zap_decomposed,10,5,441.0,264.4,467.2,16854.67337343339,28700.78649989916,467.2,934.4,39922.03449989926,317868.2759991941,-3.7010102925680135,0.029433985101589382,0.0
synthetic_3sat,zap_decomposed,20,5,1032.2,571.4,1111.2,60943.47446496882,86385.00655197087,1111.2,5000.4,110086.21455197102,1972857.4619354785,-16.562484694686347,7.557569617056502e-08,0.0
synthetic_3sat,zap_decomposed,30,5,1592.4,704.6,1746.4,132521.29369817005,161412.10793410093,1746.4,12224.8,188603.2839341006,5248662.350154816,-38.38191608802553,3.139826480414372e-17,0.0
