family,strategy,seed,qubits,gate_count,one_qubit_gates,two_qubit_gates,native_three_qubit_gates,native_four_qubit_gates,scheduled_stages,movement_events,movement_distance_um,movement_duration_us,transfer_events,idle_exposure,total_duration_us,idle_coherence_us,log_no_fault,no_fault
synthetic_3sat,mobius_native,7,10,33,4,13,16,0,29,148,5130.01008870659,7283.088107363318,148,216,8166.984107363319,60576.627453759196,-1.0933408997432223,0.335095102380283
synthetic_3sat,zap_decomposed,7,10,417,308,109,0,0,255,436,15089.928318734,26485.317118082483,436,872,37386.55711808255,298260.4569446604,-3.4565689218104474,0.03153778520135191
qaoa_3local,mobius_native,7,10,20,0,0,20,0,20,120,4248.226866357788,5096.139761129649,120,140,5707.659761129649,39953.61832790755,-0.8694378676368972,0.4191871216772831
qaoa_3local,zap_decomposed,7,10,500,380,120,0,0,324,480,16992.907465431137,29298.082316245363,480,960,43549.2823162455,349850.2585299642,-3.8320007974465486,0.021666222511227195
p_spin_ising,mobius_native,7,10,20,0,0,10,10,20,140,4928.775618655864,4925.422070888363,140,130,5536.942070888364,35931.39767213729,-0.9920173012773947,0.37082786444694615
p_spin_ising,zap_decomposed,7,10,820,620,200,0,0,513,800,28143.885407881153,48109.01708715618,800,1600,70457.01708715636,563968.1366972515,-6.3699236439446505,0.0017122899642814003
hypergraph_4local,mobius_native,7,10,20,0,0,0,20,20,160,5637.48907088705,5039.771980542993,160,120,5651.291980542994,33907.751883257966,-1.115929118162486,0.3276107483525449
hypergraph_4local,zap_decomposed,7,10,1140,860,280,0,0,802,1120,39384.2064669956,67952.64318290129,1120,2240,103597.44318290144,838347.5454632123,-8.948020844175202,0.0001299941843634407
qram_oracle,mobius_native,7,10,30,0,0,10,20,30,220,7737.459728226215,7617.618928325281,220,190,8534.898928325281,53977.86460539589,-1.5507102543530573,0.21209727730217134
qram_oracle,zap_decomposed,7,10,1390,1050,340,0,0,949,1360,48012.06405358252,83324.31137477633,1360,2720,125314.71137477629,1011253.6909982108,-10.862675253745154,1.9160201787982512e-05
multiplier_oracle,mobius_native,7,10,25,0,10,10,5,25,140,4956.064606571119,6132.968088723683,140,180,6895.208088723683,49522.64930897442,-1.0181429971701368,0.3612651881309811
multiplier_oracle,zap_decomposed,7,10,545,405,140,0,0,339,560,19632.349701073734,33609.338755919154,560,1120,48207.738755919294,385297.9100473546,-4.4439253884063845,0.01174972564053378
qft_pairs,mobius_native,7,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
qft_pairs,zap_decomposed,7,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
ghz_chain,mobius_native,7,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
ghz_chain,zap_decomposed,7,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
synthetic_3sat,mobius_native,19,10,35,1,16,18,0,34,172,6303.653671158146,8511.34195746589,172,254,9547.46995746589,71263.14998353246,-1.2709640799863733,0.2805610080998584
synthetic_3sat,zap_decomposed,19,10,467,343,124,0,0,260,496,17874.35843141319,30195.907792667833,496,992,41032.54779266795,324568.3823413438,-3.920202887599033,0.019837069640631037
qaoa_3local,mobius_native,19,10,20,0,0,20,0,20,120,4449.001122685941,5100.02743143264,120,140,5711.54743143264,39980.83202002849,-0.8694560100983112,0.41917951666008996
qaoa_3local,zap_decomposed,19,10,500,380,120,0,0,350,480,17796.00449074375,29691.93739883106,480,960,45295.137398831204,366521.0991906498,-3.843114691220339,0.021426759563479746
p_spin_ising,mobius_native,19,10,20,0,0,10,10,20,140,4888.168051520822,5093.080436624503,140,130,5704.600436624503,37043.96477871715,-0.9927590126817813,0.37055291916845057
p_spin_ising,zap_decomposed,19,10,820,620,200,0,0,555,800,27990.914511793297,48678.71048736218,800,1600,73210.71048736233,590365.6838988992,-6.38752200874575,0.0016824200624536705
hypergraph_4local,mobius_native,19,10,20,0,0,0,20,20,160,5604.039323667776,5149.490560325532,160,120,5761.010560325532,34566.0633619532,-1.1163679924816161,0.3274669999544694
hypergraph_4local,zap_decomposed,19,10,1140,860,280,0,0,715,1120,39361.58931070671,68343.456702672,1120,2240,99464.25670267212,796234.0536213777,-8.919945182947313,0.00013369557338782282
qram_oracle,mobius_native,19,10,30,0,0,10,20,30,220,7606.335536987375,7561.952464193349,220,190,8479.23246419335,53698.70393893837,-1.5505241472420856,0.21213675378700833
qram_oracle,zap_decomposed,19,10,1390,1050,340,0,0,922,1360,47088.3810546415,81902.20783381806,1360,2720,122488.60783381811,985836.8626705456,-10.84573070152671,1.9487629047698155e-05
multiplier_oracle,mobius_native,19,10,25,0,10,10,5,25,140,4719.044451640057,6010.09917889397,140,180,6772.339178893971,48648.76069818592,-1.0175604047629443,0.36147571980769255
multiplier_oracle,zap_decomposed,19,10,545,405,140,0,0,347,560,19296.59425478969,33182.95819027145,560,1120,48197.35819027163,386046.86552217335,-4.444424692056264,0.011743860424020243
qft_pairs,mobius_native,19,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
qft_pairs,zap_decomposed,19,10,45,0,45,0,0,45,180,6436.640504908369,10980.398453324522,180,360,12346.598453324517,98772.78762659614,-1.3726298457115782,0.25343957539825723
ghz_chain,mobius_native,19,10,28,19,9,0,0,19,36,1284.31746400203,2071.0264312120926,36,72,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228
