energy,z2_overlap_sq,is_tower_state
-7.7220863571,1.336e-03,0
-7.7215461107,4.476e-03,0
-7.7164426945,1.662e-06,0
-7.7097947541,1.203e-04,0
-7.7050168809,3.358e-06,0
-7.7003777343,4.411e-09,0
-7.6992416946,2.153e-08,0
-7.6895993624,2.266e-09,0
-7.6864557618,3.023e-06,0
-7.6857398697,1.418e-06,0
-7.6799182685,3.713e-09,0
-7.6773102188,9.882e-07,0
-7.6709131164,1.886e-09,0
-7.6694354852,1.167e-08,0
-7.6669919816,1.454e-10,0
-7.6640938467,1.083e-05,0
-7.6520537001,6.766e-10,0
-7.6485134949,1.569e-09,0
-7.6394725851,2.769e-10,0
-7.6216849485,1.070e-07,0
-7.6208279519,1.923e-09,0
-7.6184501401,1.506e-08,0
-7.6104597217,8.892e-04,0
-7.6040477350,1.477e-05,0
-7.6028259263,2.449e-05,0
-7.6004865841,1.423e-03,0
-7.5954670332,4.325e-07,0
-7.5930159634,2.883e-06,0
-7.5751482023,4.872e-10,0
-7.5626172908,1.279e-08,0
-7.5615706198,3.809e-09,0
-7.5540179954,5.297e-06,0
-7.5459573334,5.204e-08,0
-7.5455075667,2.566e-08,0
-7.5278289893,1.206e-08,0
-7.5261410804,1.651e-10,0
-7.5241648539,5.680e-07,0
-7.5185521227,3.770e-07,0
-7.5166945683,2.145e-08,0
-7.5003476249,7.192e-07,0
-7.4975222515,2.969e-08,0
-7.4931551421,9.326e-08,0
-7.4914219516,1.974e-07,0
-7.4902946073,5.574e-07,0
-7.4880528802,1.542e-07,0
-7.4844505902,2.472e-07,0
-7.4769233800,3.784e-07,0
-7.4759305175,1.847e-07,0
-7.4715129182,2.403e-08,0
-7.4666283519,1.182e-07,0
-7.4647810589,1.763e-06,0
-7.4610652831,1.914e-07,0
-7.4599668914,4.141e-07,0
-7.4599139124,2.428e-06,0
-7.4585478655,6.841e-05,0
-7.4519916564,2.008e-03,0
-7.4493117622,6.947e-06,0
-7.4407851621,4.342e-07,0
-7.4405334163,2.105e-06,0
-7.4373561156,1.048e-05,0
-7.4359551935,3.059e-07,0
-7.4346025605,5.789e-08,0
-7.4331602953,1.015e-08,0
-7.4304843550,2.057e-07,0
-7.4250901370,3.503e-07,0
-7.4246984171,1.456e-09,0
-7.4206603552,1.943e-08,0
-7.4193893782,3.180e-10,0
-7.4178321329,2.088e-06,0
-7.4164455175,1.814e-06,0
-7.4123475606,1.848e-05,0
-7.4116967299,6.669e-07,0
-7.4079670008,1.133e-06,0
-7.4064368467,4.553e-06,0
-7.4060728454,2.117e-05,0
-7.4010215048,2.108e-07,0
-7.3903798856,4.178e-09,0
-7.3866758613,7.902e-09,0
-7.3858869142,1.112e-08,0
-7.3835369252,6.796e-08,0
-7.3793003485,5.572e-09,0
-7.3697796177,2.437e-06,0
-7.3659225594,2.506e-06,0
-7.3633182709,3.181e-07,0
-7.3548826152,2.191e-07,0
-7.3447746807,2.854e-08,0
-7.3277628875,6.000e-04,0
-7.3196202835,1.475e-06,0
-7.3173355017,3.817e-07,0
-7.3132217622,1.063e-07,0
-7.3127131307,1.025e-07,0
-7.3107767060,3.830e-05,0
-7.3100960584,3.220e-05,0
-7.3058683465,9.071e-08,0
-7.3008726898,4.582e-08,0
-7.2953284903,5.508e-07,0
-7.2927474005,1.086e-06,0
-7.2910979828,5.783e-08,0
-7.2884904753,1.763e-04,0
-7.2852628814,1.019e-06,0
-7.2838045342,5.874e-06,0
-7.2831841468,1.274e-06,0
-7.2821358000,1.321e-06,0
-7.2761646706,2.664e-08,0
-7.2618935702,9.025e-08,0
-7.2521400504,9.005e-11,0
-7.2510469202,1.380e-08,0
-7.2423675890,8.277e-09,0
-7.2367550949,2.453e-09,0
-7.2298704682,2.810e-08,0
-7.2269346371,1.077e-10,0
-7.2228764701,2.044e-09,0
-7.2221667793,2.321e-09,0
-7.2178788424,2.172e-07,0
-7.2155546910,1.496e-09,0
-7.2090143754,7.582e-07,0
-7.2017863423,2.281e-08,0
-7.1897269677,8.222e-06,0
-7.1882644047,1.309e-06,0
-7.1809939630,8.981e-06,0
-7.1790075168,8.007e-04,0
-7.1780485270,2.449e-05,0
-7.1764622406,1.517e-07,0
-7.1743268395,9.557e-06,0
-7.1631308943,1.593e-07,0
-7.1625743319,8.497e-08,0
-7.1606022820,9.337e-10,0
-7.1519454392,5.302e-10,0
-7.1492858784,2.970e-08,0
-7.1404450932,3.863e-11,0
-7.1382756959,8.453e-09,0
-7.1330538543,1.480e-09,0
-7.1278875930,1.779e-07,0
-7.1266409421,8.013e-08,0
-7.1228959314,2.302e-05,0
-7.1225275072,2.540e-05,0
-7.1211401058,7.414e-06,0
-7.1202692284,3.664e-06,0
-7.1193916462,1.499e-06,0
-7.1171406249,1.045e-07,0
-7.1069218090,4.347e-07,0
-7.1064640438,4.685e-08,0
-7.1039121220,1.604e-06,0
-7.1017200700,7.005e-08,0
-7.1011342033,6.709e-07,0
-7.1002233909,5.134e-07,0
-7.0985098932,3.505e-08,0
-7.0971323599,2.983e-07,0
-7.0956522312,4.059e-07,0
-7.0948291786,1.053e-06,0
-7.0934701052,4.475e-08,0
-7.0913432199,1.266e-08,0
-7.0908669359,1.038e-07,0
-7.0839055920,5.397e-05,0
-7.0824642867,9.817e-06,0
-7.0798880108,1.052e-05,0
-7.0774559009,2.601e-11,0
-7.0727346471,2.517e-07,0
-7.0708865962,2.163e-08,0
-7.0608637207,5.758e-08,0
-7.0583538131,8.682e-07,0
-7.0577376262,1.772e-06,0
-7.0536301071,9.626e-06,0
-7.0500174099,2.216e-07,0
-7.0482549819,2.870e-07,0
-7.0452487967,1.295e-06,0
-7.0404582177,7.498e-05,0
-7.0389220854,1.496e-05,0
-7.0358312809,1.803e-05,0
-7.0185228464,6.067e-06,0
-7.0179630031,2.981e-05,0
-7.0168979247,3.074e-05,0
-7.0151153168,1.356e-08,0
-7.0139229010,5.834e-07,0
-7.0089601860,1.768e-06,0
-7.0044588712,4.049e-05,0
-6.9979199271,2.953e-11,0
-6.9950969217,1.710e-06,0
-6.9936861621,6.739e-08,0
-6.9861911475,5.621e-08,0
-6.9839557450,2.150e-07,0
-6.9815442633,2.146e-07,0
-6.9748649362,5.975e-09,0
-6.9741303728,5.917e-07,0
-6.9705776374,5.678e-08,0
-6.9633630880,1.466e-08,0
-6.9629439266,1.034e-08,0
-6.9609682999,7.531e-09,0
-6.9585972536,2.648e-08,0
-6.9568629150,1.698e-07,0
-6.9552258917,8.680e-09,0
-6.9530577423,5.436e-08,0
-6.9497415922,2.207e-08,0
-6.9458136941,1.537e-08,0
-6.9426184160,1.972e-04,0
-6.9418013704,8.291e-08,0
-6.9385336031,4.798e-06,0
-6.9356503938,1.325e-07,0
-6.9346351272,1.060e-08,0
-6.9332649128,5.350e-10,0
-6.9276634068,1.492e-09,0
-6.9177222146,1.202e-09,0
-6.9163721000,1.507e-07,0
-6.9085234894,3.415e-07,0
-6.9017726796,2.706e-08,0
-6.8953080926,1.290e-07,0
-6.8889645940,1.131e-05,0
-6.8881888218,5.829e-06,0
-6.8797557210,1.699e-06,0
-6.8773461995,4.691e-07,0
-6.8714177964,1.790e-08,0
-6.8708712261,9.078e-08,0
-6.8699919432,2.114e-07,0
-6.8642719382,1.098e-06,0
-6.8622312228,2.162e-06,0
-6.8603885582,4.722e-10,0
-6.8576312866,9.250e-08,0
-6.8537338938,8.042e-08,0
-6.8533870420,1.378e-08,0
-6.8487304573,6.690e-09,0
-6.8434988669,7.352e-07,0
-6.8365405534,2.068e-08,0
-6.8291947205,1.433e-09,0
-6.8276197626,1.752e-06,0
-6.8222862064,1.735e-10,0
-6.8206492260,4.279e-10,0
-6.8194601890,3.785e-08,0
-6.8129433307,2.363e-07,0
-6.8102578364,6.900e-10,0
-6.8093155284,2.140e-09,0
-6.8019595625,1.679e-09,0
-6.7993819425,2.807e-07,0
-6.7974659973,2.388e-07,0
