target_id,p0,activity,fitted_viscosity,fit_family
T020,3.9,0.7903225806451613,0.21431667981148145,spline
T020,3.9,0.8064516129032258,0.21437562124814874,spline
T020,3.9,0.8225806451612903,0.2144346698046615,spline
T020,3.9,0.8387096774193548,0.214493770999695,spline
T020,3.9,0.8548387096774194,0.21455287029186698,spline
T020,3.9,0.8709677419354839,0.21461191307967334,spline
T020,3.9,0.8870967741935484,0.2146708447015622,spline
T020,3.9,0.9032258064516129,0.21472961043614744,spline
T020,3.9,0.9193548387096774,0.21478815550256186,spline
T020,3.9,0.935483870967742,0.21484642506094903,spline
T020,3.9,0.9516129032258065,0.21490436421309614,spline
T020,3.9,0.967741935483871,0.21496191800320621,spline
T020,3.9,0.9838709677419355,0.21501903141881126,spline
T020,3.9,1.0,0.21507564939182583,spline
T020,4.0,0.0,0.2510415402632602,spline
T020,4.0,0.00125,0.2510212380676291,spline
T020,4.0,0.0025,0.25100095092507346,spline
T020,4.0,0.00375,0.2509806774449557,spline
T020,4.0,0.005,0.2509604162370885,spline
T020,4.0,0.00625,0.2509401659117345,spline
T020,4.0,0.0075,0.25091992507960564,spline
T020,4.0,0.00875,0.2508996923518624,spline
T020,4.0,0.01,0.2508794663401137,spline
T020,4.0,0.01125,0.25085924565641593,spline
T020,4.0,0.0125,0.2508390289132732,spline
T020,4.0,0.01375,0.2508188147236367,spline
T020,4.0,0.015,0.2507986017009047,spline
T020,4.0,0.01625,0.25077838845892214,spline
T020,4.0,0.0175,0.25075817361198127,spline
T020,4.0,0.01875,0.2507379557748209,spline
T020,4.0,0.02,0.25071773356262705,spline
T020,4.0,0.02125,0.250697505591033,spline
T020,4.0,0.0225,0.2506772704761197,spline
T020,4.0,0.02375,0.2506570268344156,spline
T020,4.0,0.025,0.250636773282898,spline
T020,4.0,0.02625,0.25061650843899286,spline
T020,4.0,0.0275,0.2505962309205753,spline
T020,4.0,0.02875,0.2505759393459709,spline
T020,4.0,0.03,0.2505556323339558,spline
T020,4.0,0.03125,0.25053530850375805,spline
T020,4.0,0.0325,0.2505149664750579,spline
T020,4.0,0.03375,0.25049460486798947,spline
T020,4.0,0.035,0.2504742223031411,spline
T020,4.0,0.03625,0.25045381740155703,spline
T020,4.0,0.0375,0.25043338878473814,spline
T020,4.0,0.03875,0.2504129350746436,spline
T020,4.0,0.04,0.250392454893692,spline
T020,4.0,0.0425,0.25035147955852394,spline
T020,4.0,0.045,0.2503105269270756,spline
T020,4.0,0.0475,0.2502695938092437,spline
T020,4.0,0.05,0.25022867701701096,spline
T020,4.0,0.0525,0.25018777336444376,spline
T020,4.0,0.055,0.2501468796676902,spline
T020,4.0,0.057499999999999996,0.2501059927449789,spline
T020,4.0,0.06,0.2500651094166172,spline
T020,4.0,0.0625,0.25002422650499173,spline
T020,4.0,0.065,0.24998334083456702,spline
T020,4.0,0.0675,0.24994244923188613,spline
T020,4.0,0.06999999999999999,0.2499015485255711,spline
T020,4.0,0.0725,0.24986063554632423,spline
T020,4.0,0.075,0.24981970712692886,spline
T020,4.0,0.07749999999999999,0.2497787601022517,spline
T020,4.0,0.07999999999999999,0.2497377913092443,spline
T020,4.0,0.08249999999999999,0.24969679758694646,spline
T020,4.0,0.08499999999999999,0.24965577577648868,spline
T020,4.0,0.0875,0.24961472272109544,spline
T020,4.0,0.09,0.2495736352660891,spline
T020,4.0,0.0925,0.24953251025889436,spline
T020,4.0,0.095,0.2494913445490422,spline
T020,4.0,0.09749999999999999,0.24945013498817545,spline
T020,4.0,0.09999999999999999,0.24940887843005358,spline
T020,4.0,0.1025,0.24936757173055896,spline
T020,4.0,0.10499999999999998,0.24932621174770278,spline
T020,4.0,0.10749999999999998,0.24928479534163128,spline
T020,4.0,0.10999999999999999,0.24924331937463348,spline
T020,4.0,0.11249999999999999,0.24920178071114765,spline
T020,4.0,0.11499999999999999,0.2491601762177694,spline
T020,4.0,0.1175,0.24911850276326017,spline
T020,4.0,0.12,0.24907675721855496,spline
T020,4.0,0.12406249999999999,0.2490088974781472,spline
T020,4.0,0.128125,0.2489411050696986,spline
T020,4.0,0.13218749999999999,0.24887336988826925,spline
T020,4.0,0.13624999999999998,0.24880568183991272,spline
T020,4.0,0.1403125,0.2487380308416553,spline
T020,4.0,0.144375,0.24867040682147917,spline
T020,4.0,0.1484375,0.2486027997183089,spline
T020,4.0,0.1525,0.24853519948200312,spline
T020,4.0,0.1565625,0.24846759607334912,spline
T020,4.0,0.160625,0.24839997946406295,spline
T020,4.0,0.1646875,0.24833233963679185,spline
T020,4.0,0.16875,0.24826466658512208,spline
T020,4.0,0.17281249999999998,0.2481969503135902,spline
T020,4.0,0.176875,0.24812918083769855,spline
T020,4.0,0.1809375,0.24806134818393438,spline
T020,4.0,0.185,0.24799344238979373,spline
T020,4.0,0.1890625,0.2479254535038086,spline
T020,4.0,0.193125,0.24785737158557825,spline
