flux_over_h_over_e,angular_level,right_down_energy_over_half_gap,left_up_energy_over_half_gap
0.12,-7,-2.161415745669778,2.161415745669778
0.12,-6,-1.8472564803107983,1.8472564803107983
0.12,-5,-1.533097214951819,1.533097214951819
0.12,-4,-1.2189379495928396,1.2189379495928396
0.12,-3,-0.9047786842338604,0.9047786842338604
0.12,-2,-0.5906194188748811,0.5906194188748811
0.12,-1,-0.2764601535159018,0.2764601535159018
0.12,0,0.03769911184307752,-0.03769911184307752
0.12,1,0.35185837720205687,-0.35185837720205687
0.12,2,0.6660176425610361,-0.6660176425610361
0.12,3,0.9801769079200154,-0.9801769079200154
0.12,4,1.2943361732789949,-1.2943361732789949
0.12,5,1.6084954386379742,-1.6084954386379742
0.12,6,1.9226547039969535,-1.9226547039969535
0.12,7,2.2368139693559326,-2.2368139693559326
0.12,8,2.550973234714912,-2.550973234714912
0.13,-8,-2.472433418375167,2.472433418375167
0.13,-7,-2.1582741530161877,2.1582741530161877
0.13,-6,-1.8441148876572087,1.8441148876572087
0.13,-5,-1.5299556222982293,1.5299556222982293
0.13,-4,-1.21579635693925,1.21579635693925
0.13,-3,-0.9016370915802706,0.9016370915802706
0.13,-2,-0.5874778262212913,0.5874778262212913
0.13,-1,-0.273318560862312,0.273318560862312
0.13,0,0.04084070449666731,-0.04084070449666731
0.13,1,0.3549999698556466,-0.3549999698556466
0.13,2,0.669159235214626,-0.669159235214626
0.13,3,0.9833185005736053,-0.9833185005736053
0.13,4,1.2974777659325845,-1.2974777659325845
0.13,5,1.6116370312915638,-1.6116370312915638
0.13,6,1.925796296650543,-1.925796296650543
0.13,7,2.2399555620095226,-2.2399555620095226
0.13,8,2.554114827368502,-2.554114827368502
0.14,-8,-2.4692918257215775,2.4692918257215775
0.14,-7,-2.155132560362598,2.155132560362598
0.14,-6,-1.8409732950036188,1.8409732950036188
0.14,-5,-1.5268140296446395,1.5268140296446395
0.14,-4,-1.2126547642856602,1.2126547642856602
0.14,-3,-0.8984954989266808,0.8984954989266808
0.14,-2,-0.5843362335677015,0.5843362335677015
0.14,-1,-0.2701769682087222,0.2701769682087222
0.14,0,0.04398229715025711,-0.04398229715025711
0.14,1,0.35814156250923646,-0.35814156250923646
0.14,2,0.6723008278682158,-0.6723008278682158
0.14,3,0.9864600932271951,-0.9864600932271951
0.14,4,1.3006193585861743,-1.3006193585861743
0.14,5,1.6147786239451536,-1.6147786239451536
0.14,6,1.928937889304133,-1.928937889304133
0.14,7,2.243097154663112,-2.243097154663112
0.14,8,2.557256420022092,-2.557256420022092
0.15,-8,-2.4661502330679874,2.4661502330679874
0.15,-7,-2.151990967709008,2.151990967709008
0.15,-6,-1.8378317023500288,1.8378317023500288
0.15,-5,-1.5236724369910495,1.5236724369910495
0.15,-4,-1.2095131716320704,1.2095131716320704
0.15,-3,-0.8953539062730911,0.8953539062730911
0.15,-2,-0.5811946409141118,0.5811946409141118
0.15,-1,-0.2670353755551324,0.2670353755551324
0.15,0,0.047123889803846894,-0.047123889803846894
0.15,1,0.36128315516282616,-0.36128315516282616
0.15,2,0.6754424205218055,-0.6754424205218055
0.15,3,0.9896016858807848,-0.9896016858807848
0.15,4,1.3037609512397643,-1.3037609512397643
0.15,5,1.6179202165987436,-1.6179202165987436
0.15,6,1.932079481957723,-1.932079481957723
0.15,7,2.2462387473167023,-2.2462387473167023
0.15,8,2.5603980126756816,-2.5603980126756816
0.16,-8,-2.463008640414398,2.463008640414398
0.16,-7,-2.1488493750554185,2.1488493750554185
0.16,-6,-1.8346901096964392,1.8346901096964392
0.16,-5,-1.5205308443374599,1.5205308443374599
0.16,-4,-1.2063715789784806,1.2063715789784806
0.16,-3,-0.8922123136195012,0.8922123136195012
0.16,-2,-0.578053048260522,0.578053048260522
0.16,-1,-0.26389378290154264,0.26389378290154264
0.16,0,0.05026548245743669,-0.05026548245743669
0.16,1,0.364424747816416,-0.364424747816416
0.16,2,0.6785840131753954,-0.6785840131753954
0.16,3,0.9927432785343747,-0.9927432785343747
0.16,4,1.306902543893354,-1.306902543893354
0.16,5,1.6210618092523332,-1.6210618092523332
