N,mass_squared,mode_rank,energy_real,energy_imag,is_real,visible_in_paper_window,solver
0.18,0.1875,5,3.596159525235331,-4.273088822528882e-15,True,True,real_axis_fd
0.18,0.1875,6,4.482236820388514,-2.5825318782894697e-15,True,True,real_axis_fd
0.18,0.1875,7,5.3009896926573195,-3.367106998051127e-15,True,True,real_axis_fd
0.18,0.1875,8,6.181281987948259,8.363186956849853e-15,True,True,real_axis_fd
0.18,0.1875,9,7.0104906582945254,-1.1925339628444957e-14,True,True,real_axis_fd
0.18,0.1875,10,7.887482023924809,-1.1389853220023126e-16,True,True,real_axis_fd
0.18,0.1875,11,8.723295173282608,-3.2844273080643057e-14,True,True,real_axis_fd
0.2,0.1875,0,-0.3240138766222449,3.998736133135417e-14,True,False,real_axis_fd
0.2,0.1875,1,0.17965074433417172,-1.634131611419722e-14,True,True,real_axis_fd
0.2,0.1875,2,1.1514149113702694,-3.5291543892428455e-15,True,True,real_axis_fd
0.2,0.1875,3,1.8822104107094586,-4.734632144561097e-15,True,True,real_axis_fd
0.2,0.1875,4,2.7930629390955266,7.857769291554162e-16,True,True,real_axis_fd
0.2,0.1875,5,3.578166071922698,4.420346235573753e-15,True,True,real_axis_fd
0.2,0.1875,6,4.472048246709533,-5.73398135336736e-16,True,True,real_axis_fd
0.2,0.1875,7,5.2802920515631255,2.2569655040982515e-14,True,True,real_axis_fd
0.2,0.1875,8,6.166319330653371,-2.7092394569523478e-14,True,True,real_axis_fd
0.2,0.1875,9,6.987288929825791,3.85375814998998e-15,True,True,real_axis_fd
0.2,0.1875,10,7.868827432858511,2.3652741472726388e-14,True,True,real_axis_fd
0.2,0.1875,11,8.697834791586716,-3.074374599572703e-14,True,True,real_axis_fd
0.22,0.1875,0,-0.27144328486108016,-1.7510723924278117e-14,True,False,real_axis_fd
0.22,0.1875,1,0.15192812266488254,4.097790536891788e-14,True,True,real_axis_fd
0.22,0.1875,2,1.163991943899107,1.4543036217662895e-14,True,True,real_axis_fd
0.22,0.1875,3,1.8655741066639435,-1.3608991550348656e-14,True,True,real_axis_fd
0.22,0.1875,4,2.7923769073136007,6.776460972108254e-15,True,True,real_axis_fd
0.22,0.1875,5,3.5599062702953073,7.343300484465816e-15,True,True,real_axis_fd
0.22,0.1875,6,4.463988821687321,5.503508477311658e-15,True,True,real_axis_fd
0.22,0.1875,7,5.259572788917684,4.3964446158660526e-15,True,True,real_axis_fd
0.22,0.1875,8,6.153163854380742,3.944194738642756e-15,True,True,real_axis_fd
0.22,0.1875,9,6.964163025359079,-2.635329442357079e-15,True,True,real_axis_fd
0.22,0.1875,10,7.8517508718836675,4.935825694669018e-15,True,True,real_axis_fd
0.22,0.1875,11,8.672485908006108,-1.4450342082403946e-14,True,True,real_axis_fd
0.24,0.1875,0,-0.20277122054647823,5.624811553594795e-14,True,False,real_axis_fd
0.24,0.1875,1,0.11062663410796514,-4.699132614386554e-14,True,True,real_axis_fd
