N,mass_squared,mode_rank,energy_real,energy_imag,is_real,visible_in_paper_window,solver
1.34,0.0,8,9.295660218203928,4.536201066057763,False,True,real_axis_fd
1.34,0.0,9,10.883893089418326,5.653131233820142,False,True,real_axis_fd
1.34,0.0,10,10.883893089461763,-5.653131233823547,False,True,real_axis_fd
1.34,0.0,11,12.406560354606269,-6.730377215886808,False,True,real_axis_fd
1.34,0.0,12,12.406560354623927,6.730377215711587,False,True,real_axis_fd
1.34,0.0,13,13.87766662180698,7.77503241429069,False,True,real_axis_fd
1.36,0.0,0,1.1771706444786698,7.938898889875933e-15,True,True,real_axis_fd
1.36,0.0,1,3.7254336315962426,0.6780112036313981,False,True,real_axis_fd
1.36,0.0,2,3.7254336315963554,-0.6780112036315996,False,True,real_axis_fd
1.36,0.0,3,5.924514975470321,2.003355037668321,False,True,real_axis_fd
1.36,0.0,4,5.924514975471836,-2.0033550376646474,False,True,real_axis_fd
1.36,0.0,5,7.8135907155844135,-3.2214801120215952,False,True,real_axis_fd
1.36,0.0,6,7.813590715593593,3.2214801120267147,False,True,real_axis_fd
1.36,0.0,7,9.564678320348124,-4.377188590125663,False,True,real_axis_fd
1.36,0.0,8,9.564678320358562,4.377188590106715,False,True,real_axis_fd
1.36,0.0,9,11.225220936906169,5.485907417062421,False,True,real_axis_fd
1.36,0.0,10,11.225220936981763,-5.485907417050916,False,True,real_axis_fd
1.36,0.0,11,12.81907817883824,-6.557232718324558,False,True,real_axis_fd
1.36,0.0,12,12.819078179169253,6.557232718587649,False,True,real_axis_fd
1.36,0.0,13,14.360508524196824,-7.597707895452893,False,True,real_axis_fd
1.38,0.0,0,1.1606803931709138,2.206838601441617e-15,True,True,real_axis_fd
1.38,0.0,1,3.7483669621428404,-0.5441407182340158,False,True,real_axis_fd
1.38,0.0,2,3.748366962143198,0.5441407182343041,False,True,real_axis_fd
1.38,0.0,3,6.0403738444128345,-1.8672015396966457,False,True,real_axis_fd
1.38,0.0,4,6.040373844413036,1.8672015396956019,False,True,real_axis_fd
1.38,0.0,5,8.005979617258474,-3.0667983846902707,False,True,real_axis_fd
1.38,0.0,6,8.005979617260792,3.0667983846990805,False,True,real_axis_fd
1.38,0.0,7,9.831474822206182,-4.209015507076247,False,True,real_axis_fd
1.38,0.0,8,9.831474822229808,4.209015507039385,False,True,real_axis_fd
1.38,0.0,9,11.56505002488544,5.307531480387166,False,True,real_axis_fd
1.38,0.0,10,11.565050024961344,-5.307531480430123,False,True,real_axis_fd
