theta_case,phi_rad,state,probability
pi_over_2,-2.6354471705114375,02,0.3824798160583008
pi_over_2,-2.6179938779914944,20,0.3749999999999998
pi_over_2,-2.6179938779914944,11,0.2499999999999999
pi_over_2,-2.6179938779914944,02,0.3749999999999998
pi_over_2,-2.600540585471551,20,0.3673678906964723
pi_over_2,-2.600540585471551,11,0.2652642186070547
pi_over_2,-2.600540585471551,02,0.3673678906964723
pi_over_2,-2.5830872929516078,20,0.35959278669726896
pi_over_2,-2.5830872929516078,11,0.28081442660546124
pi_over_2,-2.5830872929516078,02,0.35959278669726896
pi_over_2,-2.5656340004316642,20,0.3516841607689496
pi_over_2,-2.5656340004316642,11,0.2966316784620999
pi_over_2,-2.5656340004316642,02,0.3516841607689497
pi_over_2,-2.548180707911721,20,0.34365164835397777
pi_over_2,-2.548180707911721,11,0.3126967032920438
pi_over_2,-2.548180707911721,02,0.34365164835397777
pi_over_2,-2.5307274153917776,20,0.33550503583141683
pi_over_2,-2.5307274153917776,11,0.32898992833716584
pi_over_2,-2.5307274153917776,02,0.33550503583141683
pi_over_2,-2.5132741228718345,20,0.32725424859373653
pi_over_2,-2.5132741228718345,11,0.3454915028125263
pi_over_2,-2.5132741228718345,02,0.32725424859373653
pi_over_2,-2.4958208303518914,20,0.31890933895424955
pi_over_2,-2.4958208303518914,11,0.3621813220915001
pi_over_2,-2.4958208303518914,02,0.31890933895424967
pi_over_2,-2.478367537831948,20,0.31048047389991656
pi_over_2,-2.478367537831948,11,0.37903905220016615
pi_over_2,-2.478367537831948,02,0.3104804738999167
pi_over_2,-2.4609142453120048,20,0.30197792270443957
pi_over_2,-2.4609142453120048,11,0.39604415459111997
pi_over_2,-2.4609142453120048,02,0.30197792270443957
pi_over_2,-2.443460952792061,20,0.29341204441673235
pi_over_2,-2.443460952792061,11,0.41317591116653485
pi_over_2,-2.443460952792061,02,0.2934120444167322
pi_over_2,-2.426007660272118,20,0.28479327524001613
pi_over_2,-2.426007660272118,11,0.43041344951996713
pi_over_2,-2.426007660272118,02,0.28479327524001613
pi_over_2,-2.4085543677521746,20,0.276132115816913
pi_over_2,-2.4085543677521746,11,0.44773576836617346
pi_over_2,-2.4085543677521746,02,0.2761321158169131
pi_over_2,-2.3911010752322315,20,0.267439118436031
pi_over_2,-2.3911010752322315,11,0.4651217631279372
pi_over_2,-2.3911010752322315,02,0.26743911843603113
pi_over_2,-2.373647782712288,20,0.25872487417562484
pi_over_2,-2.373647782712288,11,0.4825502516487495
pi_over_2,-2.373647782712288,02,0.25872487417562484
pi_over_2,-2.356194490192345,20,0.24999999999999978
pi_over_2,-2.356194490192345,11,0.4999999999999998
pi_over_2,-2.356194490192345,02,0.24999999999999978
pi_over_2,-2.3387411976724017,20,0.2412751258243746
pi_over_2,-2.3387411976724017,11,0.5174497483512501
pi_over_2,-2.3387411976724017,02,0.2412751258243746
pi_over_2,-2.321287905152458,20,0.2325608815639684
pi_over_2,-2.321287905152458,11,0.5348782368720626
pi_over_2,-2.321287905152458,02,0.2325608815639684
pi_over_2,-2.3038346126325147,20,0.22386788418308623
pi_over_2,-2.3038346126325147,11,0.5522642316338269
pi_over_2,-2.3038346126325147,02,0.22386788418308623
pi_over_2,-2.2863813201125716,20,0.21520672475998331
pi_over_2,-2.2863813201125716,11,0.5695865504800327
pi_over_2,-2.2863813201125716,02,0.21520672475998337
pi_over_2,-2.2689280275926285,20,0.20658795558326723
pi_over_2,-2.2689280275926285,11,0.5868240888334648
