series_id,y_m,y_mm,R0
FIG001A_R0,-0.001299,-1.299,7.294167451697038e-11
FIG001A_R0,-0.0012980000000000001,-1.298,6.657588540409055e-11
FIG001A_R0,-0.001297,-1.297,6.076316687718453e-11
FIG001A_R0,-0.001296,-1.296,5.549891671330654e-11
FIG001A_R0,-0.0012950000000000001,-1.2950000000000002,5.0778361179097574e-11
FIG001A_R0,-0.001294,-1.294,4.6596558883657205e-11
FIG001A_R0,-0.001293,-1.2930000000000001,4.294840471484084e-11
FIG001A_R0,-0.001292,-1.292,3.982863385715177e-11
FIG001A_R0,-0.001291,-1.2910000000000001,3.7231825889389393e-11
FIG001A_R0,-0.0012900000000000001,-1.29,3.515240896011457e-11
FIG001A_R0,-0.001289,-1.289,3.3584664039041884e-11
FIG001A_R0,-0.001288,-1.288,3.252272924231328e-11
FIG001A_R0,-0.001287,-1.287,3.196060422968324e-11
FIG001A_R0,-0.001286,-1.286,3.189215467155269e-11
FIG001A_R0,-0.0012850000000000001,-1.2850000000000001,3.2311116783729365e-11
FIG001A_R0,-0.001284,-1.284,3.321110192781657e-11
FIG001A_R0,-0.001283,-1.2830000000000001,3.4585601275059966e-11
FIG001A_R0,-0.0012820000000000002,-1.2820000000000003,3.6427990531448415e-11
FIG001A_R0,-0.001281,-1.281,3.873153472184706e-11
FIG001A_R0,-0.00128,-1.28,4.148939303089162e-11
FIG001A_R0,-0.001279,-1.279,4.469462369837436e-11
FIG001A_R0,-0.001278,-1.278,4.834018896676723e-11
FIG001A_R0,-0.001277,-1.277,5.241896007855861e-11
FIG001A_R0,-0.001276,-1.276,5.692372232101129e-11
FIG001A_R0,-0.001275,-1.2750000000000001,6.184718011593188e-11
FIG001A_R0,-0.001274,-1.274,6.718196215204123e-11
FIG001A_R0,-0.001273,-1.2730000000000001,7.292062655744405e-11
FIG001A_R0,-0.0012720000000000001,-1.272,7.905566610978319e-11
FIG001A_R0,-0.001271,-1.271,8.557951348149651e-11
FIG001A_R0,-0.00127,-1.27,9.248454651773297e-11
FIG001A_R0,-0.0012690000000000002,-1.2690000000000001,9.976309354428735e-11
FIG001A_R0,-0.001268,-1.268,1.0740743870309416e-10
FIG001A_R0,-0.0012670000000000001,-1.2670000000000001,1.1540982731258671e-10
FIG001A_R0,-0.001266,-1.266,1.2376247125042335e-10
FIG001A_R0,-0.001265,-1.2650000000000001,1.324575543558624e-10
FIG001A_R0,-0.001264,-1.264,1.4148723784924004e-10
FIG001A_R0,-0.001263,-1.2630000000000001,1.5084366576585138e-10
FIG001A_R0,-0.001262,-1.262,1.6051897040155412e-10
FIG001A_R0,-0.001261,-1.261,1.7050527776752367e-10
FIG001A_R0,-0.00126,-1.26,1.8079471305134528e-10
FIG001A_R0,-0.0012590000000000001,-1.2590000000000001,1.913794060818332e-10
FIG001A_R0,-0.001258,-1.258,2.0225149679487604e-10
FIG001A_R0,-0.001257,-1.2570000000000001,2.1340314069754883e-10
FIG001A_R0,-0.001256,-1.256,2.2482651432783603e-10
FIG001A_R0,-0.001255,-1.2550000000000001,2.3651382070720086e-10
FIG001A_R0,-0.0012540000000000001,-1.2540000000000002,2.484572947833327e-10
FIG001A_R0,-0.001253,-1.253,2.6064920886026653e-10
FIG001A_R0,-0.001252,-1.252,2.730818780132664e-10
FIG001A_R0,-0.001251,-1.251,2.8574766548562245e-10
FIG001A_R0,-0.00125,-1.25,2.9863898806472634e-10
FIG001A_R0,-0.0012490000000000001,-1.249,3.1174832143467983e-10
FIG001A_R0,-0.001248,-1.248,3.2506820550273387e-10
FIG001A_R0,-0.001247,-1.247,3.385912496967723e-10
FIG001A_R0,-0.0012460000000000001,-1.2460000000000002,3.5231013823127185e-10
FIG001A_R0,-0.001245,-1.245,3.662176353389158e-10
FIG001A_R0,-0.001244,-1.244,3.8030659046521905e-10
FIG001A_R0,-0.001243,-1.2429999999999999,3.945699434235584e-10
