target_id,boundary,realization,level,W,real_energy,imag_energy
T002,PBC,0,66,0.8,-0.22341787133991584,0.10902513822256518
T002,PBC,0,67,0.8,-1.96599151312048,-0.6651706369374406
T002,PBC,0,68,0.8,-1.9089779044842896,-0.763473777713578
T002,PBC,0,69,0.8,-1.9089779044842938,0.7634737777135784
T002,PBC,0,70,0.8,-1.9659915131204835,0.6651706369374415
T002,PBC,0,71,0.8,-1.867911378405029,-0.7520524707668361
T002,PBC,0,72,0.8,-1.8679113784050339,0.7520524707668368
T002,PBC,0,73,0.8,-1.8560816679620533,-0.6570389714368051
T002,PBC,0,74,0.8,-1.8560816679620527,0.6570389714368035
T002,PBC,0,75,0.8,-1.7769594128744468,0.6799894428859043
T002,PBC,0,76,0.8,-1.7769594128744437,-0.6799894428859042
T002,PBC,0,77,0.8,-1.6510161089288593,0.6871060176489625
T002,PBC,0,78,0.8,-1.6510161089288626,-0.6871060176489622
T002,PBC,0,79,0.8,-1.6953195490197,0.5994968482720465
T002,PBC,0,80,0.8,-1.5967766705261017,0.686179448764093
T002,PBC,0,81,0.8,-1.6953195490197,-0.5994968482720555
T002,PBC,0,82,0.8,-1.5967766705260864,-0.6861794487640823
T002,PBC,0,83,0.8,-0.44588128968501684,0.15602881718671127
T002,PBC,0,84,0.8,-0.4458812896850166,-0.15602881718671058
T002,PBC,0,85,0.8,-1.55362551696542,0.6152034807196581
T002,PBC,0,86,0.8,-1.5536255169654194,-0.6152034807196574
T002,PBC,0,87,0.8,-1.5828908973070899,0.5548313680625548
T002,PBC,0,88,0.8,-1.5828908973070923,-0.5548313680625531
T002,PBC,0,89,0.8,-0.6505390549684398,-0.20445571943375251
T002,PBC,0,90,0.8,-0.6505390549684382,0.2044557194337532
T002,PBC,0,91,0.8,-1.477361457778142,0.4697640195087939
T002,PBC,0,92,0.8,-1.3075544306235642,0.5739029218156202
T002,PBC,0,93,0.8,-1.477361457778146,-0.46976401950879193
T002,PBC,0,94,0.8,-1.3075544306235611,-0.573902921815618
T002,PBC,0,95,0.8,-1.352678931048505,0.5167360282058959
T002,PBC,0,96,0.8,-1.3526789310485041,-0.5167360282058937
T002,PBC,0,97,0.8,-1.2850826328282292,-0.4962661800235022
T002,PBC,0,98,0.8,-1.2850826328282277,0.4962661800235054
T002,PBC,0,99,0.8,-1.1423642068296935,-0.4705981837126729
T002,PBC,0,100,0.8,-1.1423642068296909,0.47059818371267303
T002,PBC,0,101,0.8,-0.8458867487717917,-0.25646501489758894
T002,PBC,0,102,0.8,-0.8458867487717908,0.25646501489759005
T002,PBC,0,103,0.8,-1.2896104907774109,0.41279412960856
T002,PBC,0,104,0.8,-1.2896104907774102,-0.41279412960856054
T002,PBC,0,105,0.8,-1.0427860737864796,-0.34875346922001266
T002,PBC,0,106,0.8,-1.042786073786476,0.3487534692200096
T002,PBC,0,107,0.8,-1.0107137708942782,0.2836884339312179
T002,PBC,0,108,0.8,-1.0107137708942826,-0.2836884339312168
T002,PBC,0,109,0.8,-1.2264589803098942,3.9904943605296734e-16
T002,PBC,0,110,0.8,-1.1819730303955533,0.2534626029210744
