group,state_class,profile_index,site,real_energy,imag_energy,probability
figs1,alm,1,34,2.4636947712956117,-1.4996168580902305e-15,7.86747265998371e-36
figs1,alm,1,35,2.4636947712956117,-1.4996168580902305e-15,2.9683718188878463e-37
figs1,alm,1,36,2.4636947712956117,-1.4996168580902305e-15,4.395867959010317e-36
figs1,alm,1,37,2.4636947712956117,-1.4996168580902305e-15,1.7689075402635547e-35
figs1,alm,1,38,2.4636947712956117,-1.4996168580902305e-15,2.6220912931770923e-35
figs1,alm,1,39,2.4636947712956117,-1.4996168580902305e-15,2.270110448195535e-35
figs1,alm,1,40,2.4636947712956117,-1.4996168580902305e-15,1.5983818849225561e-34
figs1,alm,1,41,2.4636947712956117,-1.4996168580902305e-15,2.8993413749268243e-33
figs1,alm,1,42,2.4636947712956117,-1.4996168580902305e-15,1.9222220926950755e-33
figs1,alm,1,43,2.4636947712956117,-1.4996168580902305e-15,1.1458242907434951e-32
figs1,alm,1,44,2.4636947712956117,-1.4996168580902305e-15,5.745409908395378e-33
figs1,alm,1,45,2.4636947712956117,-1.4996168580902305e-15,6.446653835051996e-32
figs1,alm,1,46,2.4636947712956117,-1.4996168580902305e-15,5.953682671923553e-32
figs1,alm,1,47,2.4636947712956117,-1.4996168580902305e-15,2.2619061793222067e-32
figs1,alm,1,48,2.4636947712956117,-1.4996168580902305e-15,4.894449564894558e-34
figs1,alm,1,49,2.4636947712956117,-1.4996168580902305e-15,1.4353527172054044e-35
figs1,alm,1,50,2.4636947712956117,-1.4996168580902305e-15,1.9869809542358465e-37
figs1,alm,1,51,2.4636947712956117,-1.4996168580902305e-15,7.138747925856855e-38
figs1,alm,1,52,2.4636947712956117,-1.4996168580902305e-15,8.4110341640304e-39
figs1,alm,1,53,2.4636947712956117,-1.4996168580902305e-15,8.039703267833848e-42
figs1,alm,1,54,2.4636947712956117,-1.4996168580902305e-15,5.322268762508925e-43
figs1,alm,1,55,2.4636947712956117,-1.4996168580902305e-15,1.6671662705737106e-44
figs1,alm,1,56,2.4636947712956117,-1.4996168580902305e-15,1.606619858353822e-45
figs1,alm,1,57,2.4636947712956117,-1.4996168580902305e-15,2.802123390649209e-46
figs1,alm,1,58,2.4636947712956117,-1.4996168580902305e-15,9.968888100821522e-47
figs1,alm,1,59,2.4636947712956117,-1.4996168580902305e-15,1.4478488808494756e-47
figs1,alm,1,60,2.4636947712956117,-1.4996168580902305e-15,1.732524173337287e-48
figs1,alm,1,61,2.4636947712956117,-1.4996168580902305e-15,1.2883973590780732e-48
figs1,alm,1,62,2.4636947712956117,-1.4996168580902305e-15,5.687301381973987e-50
figs1,alm,1,63,2.4636947712956117,-1.4996168580902305e-15,1.9726627589757861e-53
figs1,alm,1,64,2.4636947712956117,-1.4996168580902305e-15,5.4928364305908805e-55
figs1,alm,1,65,2.4636947712956117,-1.4996168580902305e-15,8.770243956971241e-57
figs1,alm,1,66,2.4636947712956117,-1.4996168580902305e-15,2.4085530789700404e-57
figs1,alm,1,67,2.4636947712956117,-1.4996168580902305e-15,9.267178484006527e-58
figs1,alm,1,68,2.4636947712956117,-1.4996168580902305e-15,1.2470512631098011e-58
figs1,alm,1,69,2.4636947712956117,-1.4996168580902305e-15,1.4832415946482883e-59
figs1,alm,1,70,2.4636947712956117,-1.4996168580902305e-15,2.748352371374577e-60
figs1,alm,1,71,2.4636947712956117,-1.4996168580902305e-15,2.898636350696575e-64
figs1,alm,1,72,2.4636947712956117,-1.4996168580902305e-15,1.9566030787459413e-67
figs1,alm,1,73,2.4636947712956117,-1.4996168580902305e-15,6.673639824490839e-69
figs1,alm,1,74,2.4636947712956117,-1.4996168580902305e-15,1.2394787199978835e-69
figs1,alm,1,75,2.4636947712956117,-1.4996168580902305e-15,3.1685492769586526e-72
figs1,alm,1,76,2.4636947712956117,-1.4996168580902305e-15,8.85228412919474e-73
figs1,alm,1,77,2.4636947712956117,-1.4996168580902305e-15,1.5049183212745504e-74
figs1,alm,1,78,2.4636947712956117,-1.4996168580902305e-15,6.856718104716893e-77
figs1,alm,1,79,2.4636947712956117,-1.4996168580902305e-15,6.114966573903296e-76
figs1,alm,1,80,2.4636947712956117,-1.4996168580902305e-15,1.0158124053577985e-75
figs1,alm,1,81,2.4636947712956117,-1.4996168580902305e-15,6.347784633953231e-75
figs1,alm,1,82,2.4636947712956117,-1.4996168580902305e-15,1.0839253400549782e-74
figs1,alm,1,83,2.4636947712956117,-1.4996168580902305e-15,3.401421799716917e-73
figs1,alm,1,84,2.4636947712956117,-1.4996168580902305e-15,2.4151302825211034e-73
figs1,alm,1,85,2.4636947712956117,-1.4996168580902305e-15,4.667671198406921e-72
figs1,alm,1,86,2.4636947712956117,-1.4996168580902305e-15,3.695701933672608e-71
figs1,alm,1,87,2.4636947712956117,-1.4996168580902305e-15,1.731341678349092e-70
figs1,alm,1,88,2.4636947712956117,-1.4996168580902305e-15,1.277593129405994e-70
figs1,alm,1,89,2.4636947712956117,-1.4996168580902305e-15,2.4349186347560534e-70
figs1,alm,1,90,2.4636947712956117,-1.4996168580902305e-15,6.671649431201934e-70
figs1,alm,1,91,2.4636947712956117,-1.4996168580902305e-15,1.633504748878063e-69
figs1,alm,1,92,2.4636947712956117,-1.4996168580902305e-15,2.2778441459943365e-69
figs1,alm,1,93,2.4636947712956117,-1.4996168580902305e-15,2.1037380628967184e-69
figs1,alm,1,94,2.4636947712956117,-1.4996168580902305e-15,6.242793829336815e-70
figs1,alm,1,95,2.4636947712956117,-1.4996168580902305e-15,9.907551361776684e-69
figs1,alm,1,96,2.4636947712956117,-1.4996168580902305e-15,6.510751261397819e-69
figs1,alm,1,97,2.4636947712956117,-1.4996168580902305e-15,3.299766746630282e-69
