group,real_energy,imag_energy,theory_density,ed_density,gamma_ess,state_code
figs2,6.324999999999999,-0.5316666666666667,-0.34569088240290463,0.0,0.7113071242953392,1
figs2,6.4125,-0.5316666666666667,-0.3844421206782954,0.0,0.7289447555845456,1
figs2,6.5,-0.5316666666666667,-0.4171869252472107,0.0,0.7477322698124873,1
figs2,-0.5,-0.5133333333333334,-1.2732671065412335,7.840377936316214e-05,-0.5729856982402788,-1
figs2,-0.4125,-0.5133333333333334,-0.8325583540463912,4.755429602110249e-05,-0.5333695518757479,-1
figs2,-0.325,-0.5133333333333334,-0.5535139885281705,1.0610797686934439e-05,-0.49251416361025663,-1
figs2,-0.23750000000000004,-0.5133333333333334,-0.47835718995894,8.709873135304817e-07,-0.4568108859711606,-1
figs2,-0.15000000000000002,-0.5133333333333334,-0.43016766981600013,2.6301537862655094e-08,-0.4255869490424936,-1
figs2,-0.0625,-0.5133333333333334,-0.3887733298409798,0.0,-0.39789170698632415,-1
figs2,0.02499999999999991,-0.5133333333333334,-0.3569277735101598,0.0,-0.3729986658160909,-1
figs2,0.11249999999999993,-0.5133333333333334,-0.3327279772632034,0.0,-0.3504065573534464,-1
figs2,0.19999999999999996,-0.5133333333333334,-0.3140369895796506,0.0,-0.32979722354812224,-1
figs2,0.2875,-0.5133333333333334,-0.29969633207962376,0.0,-0.3110047038436656,-1
figs2,0.375,-0.5133333333333334,-0.28952424868883025,0.0,-0.29400303886406104,-1
figs2,0.4624999999999999,-0.5133333333333334,-0.2841294540107275,0.0,-0.2789152301699296,-1
figs2,0.5499999999999998,-0.5133333333333334,-0.2803525202114717,9.186825993872449e-08,-0.26605296358232894,-1
figs2,0.6375,-0.5133333333333334,-0.2540414907380163,3.0422589485294886e-06,-0.2560214467431205,-1
figs2,0.7249999999999999,-0.5133333333333334,-0.17104047909068057,3.7062301267356594e-05,-0.2500001203216983,-1
figs2,0.8125,-0.5133333333333334,-0.08068350483828571,0.00016610171051148866,-0.2503999882029603,-1
figs2,0.8999999999999999,-0.5133333333333334,-0.07872457712158754,0.00027385542321996644,-0.23999356024394566,-1
figs2,0.9874999999999998,-0.5133333333333334,-0.14453224192598338,0.00016610171051148866,-0.20149951563378948,-1
