axion_mass_microeV,dimensionless_mass_range,g_nps_squared_over_4
23.38615284478627,7.17014087096206,2.815538381985996e-05
23.67989335087617,7.260201036999238,3.0472845707132727e-05
23.977323368682292,7.351392398873796,3.30178389874881e-05
24.278489240116695,7.443729164909778,3.581579441652952e-05
24.58343788916651,7.537225721894106,3.8895302890671636e-05
24.892216829205104,7.631896637318171,4.228854539873117e-05
25.204874170394948,7.727756661647544,4.603178632558008e-05
25.521458627183655,7.824820730620226,5.016594013452886e-05
25.842019525893978,7.9231039675737405,5.473722314866262e-05
26.166606812409274,8.022621685801468,5.979790414860083e-05
26.495271059955506,8.123389390938595,6.540716986264002e-05
26.82806347698084,8.225422783377985,7.163212421402862e-05
27.165035915134453,8.328737760716448,7.854894349217749e-05
27.50624087734529,8.433350420231688,8.624421352969518e-05
27.85173152600251,8.539277061390393,9.481647961550573e-05
28.20156169123861,8.646534188387832,0.00010437804540094962
28.555785879316506,8.755138512719311,0.0001150570636359195
28.91445928112212,8.865106955783975,0.00012699996941773693
29.277637780763463,8.97645665152128,0.00014037431600345717
29.645377964277905,9.089204949080614,0.00015537208443834914
30.017737128448644,9.203369415524401,0.0001722135516681799
30.394773289731997,9.3189678385652,0.00019115181789178257
30.776545193296908,9.436018229337192,0.00021247811323519387
31.163112322177756,9.554538825202407,0.00023652802707568036
31.55453490654242,9.67454809259229,0.000263688831352469
31.950873933076487,9.796064729884892,0.0002944081029986179
32.35219115448552,9.919107670318224,0.0003292038914763043
32.758549099116614,10.043696084940217,0.00036867672684504164
33.17001108070075,10.169849385595704,0.0004135238237459856
33.58664120821765,10.29758722795095,0.000464555909496413
34.00850439588435,10.426929514556152,0.0005227171930597553
34.435666373269385,10.557896397946388,0.0005891090995794676
34.868193695534046,10.6905082837816,0.0006650185268894077
35.30615375380204,10.824785834025885,0.0007519515414626484
35.74961478565971,10.96074997016684,0.000851673628503561
36.19864588578784,11.098421876475257,0.0009662578528794123
36.65331701672723,11.237823003305826,0.0010981425850049857
37.11369901977942,11.378975070439251,0.0012502008119835734
37.579863626044215,11.521900070466366,0.00142582350598776
38.0518834675961,11.666620272214756,0.0016290200800099348
38.52983208880072,11.813158224218402,0.001864539652095712
39.01378395777374,11.961536758230915,0.002138017696207999
39.50381447798364,12.111778992782936,0.00245615372286945
40.0,12.263908336784135,0.002826926958693
