kx_over_2pi_mod,ky_over_2pi_mod,initial_trace_deviation,exact_trace_deviation,small_q_trace_deviation,initial_half_trace,initial_half_curvature,exact_half_trace,exact_half_curvature,small_q_half_trace,small_q_half_curvature
0.0,0.574468085106383,0.06659272004899114,5.016889032721046e-05,0.028727926014294358,0.26214217052482075,0.1955494504758296,0.00038361051175566475,0.0003334416214284543,0.24393027259093353,0.21520234657663917
0.0,0.5815602836879432,0.07428007573512238,5.7912325818106894e-05,0.030815429821226176,0.225976545596883,0.1516964698617606,0.0003483247069614898,0.0002904123811433829,0.22779143594066398,0.1969760061194378
0.0,0.5886524822695035,0.08076892482652842,6.511693102106704e-05,0.03309267658213538,0.19654237935987703,0.11577345453334861,0.00031760980121549223,0.0002524928701944252,0.2118792332020878,0.1787865566199524
0.0,0.5957446808510638,0.08610955891660763,7.174014429884722e-05,0.0355501962072132,0.17254859340245093,0.08643903448584331,0.00029087844661844503,0.0002191383023195978,0.19641147997499106,0.16086128376777786
0.0,0.6028368794326241,0.09040378477921268,7.779229487359183e-05,0.03817529195650338,0.1529206255840176,0.06251684080480491,0.00026758266395377964,0.0001897903690801878,0.18156828595500962,0.14339299399850625
0.0,0.6099290780141844,0.09377616745136877,8.331699921855347e-05,0.04095208502864839,0.13678693619473656,0.04301076874336779,0.0002472349698303042,0.00016391797061175074,0.16749176217494086,0.12653967714629247
0.0,0.6170212765957447,0.09635576712526955,8.837631577586488e-05,0.04386169028974585,0.12345110965715196,0.0270953425318824,0.00022941380415126975,0.00014103748837540487,0.15428733395431568,0.11042564366456983
0.0,0.624113475177305,0.09826559161116977,9.304031724560811e-05,0.04688251301829387,0.11236108528414036,0.01409549367297059,0.0002137608295629532,0.00012072051231734509,0.14202627778411855,0.09514376476582469
0.0,0.6312056737588653,0.09961723933308748,9.738022452469104e-05,0.049990651161912966,0.10308072412214853,0.0034634847890610463,0.00019997455845612418,0.00010259433393143314,0.13074911035540152,0.08075845919348855
0.0,0.6382978723404256,0.09002236886926401,0.00010146418318055077,0.053160383462397584,0.09526558408201659,-0.005243215212752577,0.0001878027749990448,8.633859181849403e-05,0.12046949333554918,0.0673091098731516
0.0,0.6453900709219859,0.07626166991913207,0.00010535488896418599,0.056364721007071794,0.08864316510323973,-0.012381495184107668,0.00017703502506320978,7.168013609902379e-05,0.1111783678567855,0.05481364684971371
0.0,0.6524822695035462,0.06475805148362768,0.00010910844624009551,0.059575998312839856,0.08299719975690154,-0.018239148273273862,0.00016749576298535863,5.838731674526313e-05,0.10284808927509141,0.043272090962251555
0.0,0.6595744680851063,0.05510683991260431,0.00011277401094552026,0.06276647987275666,0.07815534134924007,-0.02304850143663576,0.00015903837082904926,4.626435988352899e-05,0.09543638903540545,0.0326699091626488
0.0,0.6666666666666666,0.046982129478736784,0.00011639390646125615,0.06590895905875868,0.07397959183678135,-0.026997462358044566,0.00015154007370872625,3.51461672474701e-05,0.08889004207705853,0.022981083018299854
0.0,0.6737588652482269,0.04012050232112312,0.000120004003753943,0.0689773282000984,0.07035888798142581,-0.03023838566030269,0.00014489768452550044,2.4893680771557443e-05,0.08314816266699504,0.014170834466896643
0.0,0.6808510638297872,0.03430821606038079,0.00012363423091992542,0.0719471013401744,0.06720336458090588,-0.03289514852052509,0.00013902407635017894,1.5389845430253512e-05,0.07814508787132042,0.006197986531146015
0.0,0.6879432624113475,0.029371130132410987,0.00012730912819934582,0.07282979784542941,0.0644399110104439,-0.03506878087803291,0.00013384527391533942,6.536145715993613e-06,0.07381283612274359,-0.0009830382773141804
0.0,0.6950354609929078,0.025166780378925994,0.0001275477259961193,0.06266258739805569,0.06200872149129462,-0.036841941112368624,0.00012929806236100484,-1.7503363648855433e-06,0.07008314921582993,-0.007420561817774236
