time,exact_dirichlet_energy,small_q_dirichlet_energy,exact_chern_solid_angle,small_q_chern_solid_angle,exact_chern_mesh_integral,small_q_chern_mesh_integral,exact_centered_dirichlet_energy,small_q_centered_dirichlet_energy,exact_centered_chern_mesh_integral,small_q_centered_chern_mesh_integral,exact_opposite_curvature_fraction,small_q_opposite_curvature_fraction,exact_max_norm_error,small_q_max_norm_error
3.6,3.168135246138269,5.094869888238059,1.0,1.0000000000000002,0.9999999891317994,1.0,3.03182234286889,5.09046719965944,0.9562431097291503,0.9990964012486452,0.35637040390322416,0.3390674513354459,2.220446049250313e-16,2.220446049250313e-16
3.64,3.165933630280963,5.0911459174207145,1.0,1.0000000000000002,0.9999999691438396,1.0,3.01704007749373,5.086756043440976,0.9521002574019475,0.9990988549800721,0.3559680096574619,0.3390674513354459,2.220446049250313e-16,2.220446049250313e-16
3.68,3.1639099440615435,5.087447775924425,1.0,1.0000000000000002,0.9999999165972913,1.0,3.0013056165158827,5.083070552024242,0.9475717690759966,0.9991012755625311,0.35516322116593735,0.33846385996680245,2.220446049250313e-16,2.220446049250313e-16
3.72,3.1620505091405757,5.083775085141136,1.0000000000000002,1.0000000000000002,0.9999997849550659,1.0,2.9845179354019242,5.079410350100692,0.9426251473460884,0.9991036636128579,0.3545596297972939,0.33745787435239677,2.220446049250313e-16,2.220446049250313e-16
3.7600000000000002,3.1603425593559202,5.080127474497466,1.0,1.0,0.9999994700685741,1.0,2.966573028726694,5.075775070301019,0.9372258868943762,0.9991060197308336,0.35375484130576934,0.33725667722951563,2.220446049250313e-16,2.220446049250313e-16
3.8000000000000003,3.1587741729338057,5.076504581212973,1.0000000000000002,1.0000000000000002,0.9999987495809138,1.0,2.947364262323759,5.072164352957015,0.931337502544543,0.9991083444997939,0.35295005281424474,0.3368542829837533,2.220446049250313e-16,2.220446049250313e-16
3.84,3.1573341816638414,5.072906050068116,1.0,1.0,0.9999971698191535,1.0,2.9267828592499994,5.068577845873004,0.9249215948799833,0.9991106384872153,0.35254765856848247,0.33645188873799103,2.220446049250313e-16,2.220446049250313e-16
3.88,3.156012039656913,5.069331533181482,1.0000000000000002,1.0,0.9999938447510992,1.0,2.904718534131484,5.065015204106363,0.917937959723706,0.999112902245272,0.35154167295407673,0.3358482973693476,2.220446049250313e-16,2.220446049250313e-16
3.92,3.1547976233177533,5.065780689795798,1.0,1.0000000000000002,0.9999871153414038,1.0,2.8810602876378923,5.061476089756659,0.9103447474845026,0.9991151363113709,0.3509380815854333,0.33544590312358535,2.220446049250313e-16,2.220446049250313e-16
3.96,3.1536809190555886,5.062253186072299,1.0,1.0000000000000002,0.9999739988840713,1.0,2.855697368607218,5.057960171763033,0.9020986776643992,0.9991173412086637,0.3501332930939088,0.335043508877823,2.220446049250313e-16,2.220446049250313e-16
