L,W,mu,chi_typ_r,samples
24,24.0,0.01,23.956952027250644,20
24,24.0,0.03,7.951341853173338,20
24,24.0,0.1,2.4131354998655827,20
24,24.0,0.3,0.861667012518406,20
24,24.0,1.0,0.2714973746616803,20
24,28.0,0.0001,98.7484912088881,20
24,28.0,0.0003,78.10989825033316,20
24,28.0,0.001,50.510901469120256,20
24,28.0,0.003,27.97747949296647,20
24,28.0,0.01,11.984529184655878,20
24,28.0,0.03,4.944678724272577,20
24,28.0,0.1,1.8120034729548087,20
24,28.0,0.3,0.7199076370099229,20
24,28.0,1.0,0.24112016060904443,20
24,32.0,0.0001,32.97604725029861,20
24,32.0,0.0003,27.962800605203682,20
24,32.0,0.001,20.43482360544852,20
24,32.0,0.003,13.085999988203874,20
24,32.0,0.01,6.745464969884994,20
24,32.0,0.03,3.276703679336122,20
24,32.0,0.1,1.3938013838829728,20
24,32.0,0.3,0.6106603552618122,20
24,32.0,1.0,0.21632977247829652,20
24,40.0,0.0001,7.391847992330269,20
24,40.0,0.0003,6.7837195699500725,20
24,40.0,0.001,5.7038332560886005,20
24,40.0,0.003,4.39310766087396,20
24,40.0,0.01,2.8840036391136104,20
24,40.0,0.03,1.7597562611221012,20
24,40.0,0.1,0.9265101406105726,20
24,40.0,0.3,0.46293245598898614,20
24,40.0,1.0,0.17828471667335458,20
28,8.0,0.0001,2886.0044832162066,20
28,8.0,0.0003,1615.7859089913009,20
28,8.0,0.001,573.7800624736302,20
28,8.0,0.003,188.5888242761884,20
28,8.0,0.01,51.55405177560112,20
28,8.0,0.03,15.310573258314408,20
28,8.0,0.1,4.0344319769723045,20
28,8.0,0.3,1.199681549585967,20
28,8.0,1.0,0.302422331354026,20
28,10.0,0.0001,3961.6953903444723,20
28,10.0,0.0003,2314.342885606679,20
28,10.0,0.001,819.5948976583062,20
28,10.0,0.003,252.26361333469896,20
28,10.0,0.01,62.749464116342814,20
28,10.0,0.03,17.29239953797805,20
28,10.0,0.1,4.297479727271093,20
28,10.0,0.3,1.2500012843421695,20
28,10.0,1.0,0.32203182751372483,20
28,12.0,0.0001,6532.077165102126,20
28,12.0,0.0003,3873.813180881805,20
28,12.0,0.001,1290.6605385714106,20
28,12.0,0.003,351.92694104510815,20
28,12.0,0.01,76.67229354840703,20
28,12.0,0.03,19.154414605446945,20
28,12.0,0.1,4.432600043439586,20
28,12.0,0.3,1.2617734245671552,20
28,12.0,1.0,0.33062106454638884,20
28,14.0,0.0001,10010.224089407304,20
28,14.0,0.0003,5718.207323102748,20
28,14.0,0.001,1727.5150202412904,20
28,14.0,0.003,426.1929034397896,20
28,14.0,0.01,84.49452788359979,20
28,14.0,0.03,19.74033320434142,20
28,14.0,0.1,4.38989239110639,20
28,14.0,0.3,1.2443417655126652,20
28,14.0,1.0,0.3315067384706091,20
28,15.0,0.0001,11092.448807507026,20
28,15.0,0.0003,6088.949801260366,20
28,15.0,0.001,1771.3183644564392,20
28,15.0,0.003,428.08952743749575,20
28,15.0,0.01,83.74615380788168,20
28,15.0,0.03,19.310700687539207,20
28,15.0,0.1,4.278982073989228,20
28,15.0,0.3,1.223032686429783,20
28,15.0,1.0,0.3301625407249823,20
28,16.0,0.0001,11009.824387689248,20
28,16.0,0.0003,5861.491942754272,20
28,16.0,0.001,1694.3864890694686,20
28,16.0,0.003,414.09511447502456,20
28,16.0,0.01,80.87641583947155,20
28,16.0,0.03,18.58084477971311,20
28,16.0,0.1,4.122078815590296,20
28,16.0,0.3,1.1898433848481904,20
28,16.0,1.0,0.3259229387605723,20
28,16.5,0.0001,10484.695743674472,20
28,16.5,0.0003,5494.393719834923,20
28,16.5,0.001,1600.8930655966626,20
28,16.5,0.003,396.77946885394107,20
28,16.5,0.01,78.3716453566212,20
28,16.5,0.03,18.089187062386014,20
