L,V,W,sample,mu_star,omega_av,omega_typ,gap_ratio,ipr,chi_typ_r,chi_av_r,chi_typ,tilde_chi_typ_r,tilde_chi_av_r,tilde_chi_typ
5,125,0.75,0,0.5783938791629166,0.059896053843228464,0.02788734257164073,0.3484370573536649,0.02725750137621339,0.11220665028191226,0.1386786905258608,65.1631625802482,0.06489963972443201,0.08021090577048624,1.8172274379269018
5,125,0.75,1,0.572317898170767,0.05926685063453801,0.030766802438804693,0.38638946772496985,0.02708121514528838,0.1466063264552806,0.16729946209231347,56.88674568801727,0.0839054246154235,0.09574847650977275,1.750223265969752
5,125,0.75,2,0.5653693159990029,0.05854728449304215,0.03028877309165623,0.34033251417506866,0.02882777148216382,0.10955537895787157,0.13977766663315136,37.03993232606367,0.0619392496654234,0.07902600377632144,1.1218941055544451
5,125,0.75,3,0.5675527303834481,0.05877338976532145,0.026908127820133222,0.40667474966310735,0.027519108982827674,0.12635464734832996,0.1483607059106408,35.993100928623754,0.07171292509918238,0.08420252372119995,0.9685069604303638
5,125,1.0,0,0.5657949381810231,0.05859136014814426,0.032600375783606375,0.34336257339264464,0.024967008013811486,0.15370571445894268,0.17212966084041453,60.11570161435966,0.08696591521036746,0.09739009081432282,1.9597944631232773
5,125,1.0,1,0.5571225729183442,0.05769328623098366,0.03331558740413806,0.4345045207099854,0.025740238326252468,0.1644369010683131,0.18640833386712527,85.78688581352594,0.09161150940589782,0.10385229057747455,2.8580404924493346
5,125,1.0,2,0.5828514169942501,0.0603576578393499,0.034385772165036875,0.4250142662611272,0.025200301911126797,0.15873818197782882,0.18421165524229877,39.623290663838276,0.09252077429686867,0.10736802428483012,1.3624774451957757
5,125,1.0,3,0.5730624361667089,0.05934395187903563,0.033731126009518934,0.44740857180612165,0.024920596249853228,0.1553272684664092,0.17072240553431928,55.12338336589561,0.08901222287048088,0.09783459762373783,1.859373790386045
5,125,1.5,0,0.5439678159364388,0.05633103455290036,0.03917396672041804,0.4958831897120752,0.025402205936072106,0.28662182264683206,0.298587856382526,62.33604549718516,0.15591304686491855,0.16242218410154574,2.4419501717891965
5,125,1.5,1,0.5399094588570309,0.055910768047841446,0.04144072876685632,0.47971540455164424,0.02475136747272346,0.2950876936537575,0.3233947069424605,46.48648424685974,0.15932063699596952,0.17460386122253194,1.9264337849988533
5,125,1.5,2,0.5495878024080015,0.05691301687398941,0.03811989419564215,0.38040259464364995,0.02582640771764293,0.27013639148313456,0.2966391417819303,55.60569868035769,0.1484636657456435,0.16302925404012666,2.1196833503699937
5,125,1.5,3,0.5608131415839206,0.05807546610436926,0.04927354539843282,0.6407054673059889,0.02551448879304036,0.26415287148933436,0.28491477970461143,36.91231497258141,0.14814040171834725,0.1597839526898338,1.818800627562742
5,125,2.0,0,0.5481283858404309,0.05676188579107163,0.04383483625107867,0.5090196465746619,0.02444083555334684,0.3029574635155139,0.32201384130389415,31.482372754382197,0.16605958545506985,0.17650492705218018,1.380024654483764
5,125,2.0,1,0.5556776642199768,0.05754365752239287,0.04164801619770586,0.4450303311580929,0.02379811414530091,0.34108768930147365,0.3720648628249177,38.9608576086592,0.18953481048523205,0.20674813391287633,1.6226424287619499
