chi_over_J,gamma_c,eta_c_over_J,eta_c_raw_finite_chain,thermodynamic_alias_corrected
1.5,0.28250000000000003,0.11351715224707394,0.11351715224707394,0
1.5,0.28500000000000003,0.101830034908412,0.101830034908412,0
1.5,0.28750000000000003,0.06801111905637064,0.06801111905637064,0
1.5,0.29,0.0632977020139434,0.0632977020139434,0
1.5,0.2925,0.11299698381992956,0.11299698381992956,0
1.5,0.295,0.06723711012096094,0.06723711012096094,0
1.5,0.2975,0.09090094573539052,0.09090094573539052,0
1.5,0.3,0.1135690441318119,0.1135690441318119,0
1.5,0.3025,0.12503449441821687,0.12503449441821687,0
1.5,0.305,0.13066854023536775,0.13066854023536775,0
1.5,0.3075,0.1171791283230285,0.1171791283230285,0
1.5,0.31,0.11323611683234877,0.11323611683234877,0
1.5,0.3125,0.13272757660978965,0.13272757660978965,0
1.5,0.315,0.1291770972462353,0.1291770972462353,0
1.5,0.3175,0.12315182817252933,0.12315182817252933,0
1.5,0.32,0.11082797588222343,0.11082797588222343,0
1.5,0.3225,0.07907656742589303,0.07907656742589303,0
1.5,0.325,0.08745801160418167,0.08745801160418167,0
1.5,0.3275,0.0854137114980308,0.0854137114980308,0
1.5,0.33,0.07619705779409061,0.07619705779409061,0
1.5,0.3325,0.10097368969006126,0.10097368969006126,0
1.5,0.335,0.10505547334660785,0.10505547334660785,0
1.5,0.3375,0.10616037977035137,0.10616037977035137,0
1.5,0.34,0.10195701460046458,0.10195701460046458,0
1.5,0.3425,0.09794663439072421,0.09794663439072421,0
1.5,0.34500000000000003,0.09354700567395043,0.09354700567395043,0
1.5,0.34750000000000003,0.0887869379758231,0.0887869379758231,0
1.5,0.35000000000000003,0.08330151036763454,0.08330151036763454,0
1.5,0.3525,0.0798144611576137,0.0798144611576137,0
1.5,0.355,0.07434826097216138,0.07434826097216138,0
1.5,0.3575,0.0658229296184192,0.0658229296184192,0
1.5,0.36,0.05959619143525045,0.05959619143525045,0
1.5,0.3625,0.053187308167388044,0.053187308167388044,0
1.5,0.365,0.047017154087082964,0.047017154087082964,0
1.5,0.3675,0.03975201115990258,0.03975201115990258,0
1.5,0.37,0.0327719772505388,0.0327719772505388,0
1.5,0.3725,0.025642393397352914,0.025642393397352914,0
1.5,0.375,0.018242860895546845,0.018242860895546845,0
1.5,0.3775,0.010295851364878199,0.010295851364878199,0
1.5,0.38,0.00948493072028885,0.00948493072028885,0
1.5,0.3825,0.034725485671290704,0.034725485671290704,0
1.5,0.385,0.010841317428638926,0.010841317428638926,0
1.5,0.3875,0.013879192059689115,0.013879192059689115,0
1.5,0.39,0.021753770469464816,0.021753770469464816,0
1.5,0.3925,0.029286544258725084,0.029286544258725084,0
1.5,0.395,0.0365614892740575,0.0365614892740575,0
1.5,0.3975,0.04361717211929914,0.04361717211929914,0
1.5,0.4,0.050554803003812904,0.050554803003812904,0
1.5,0.4025,0.05777399294514609,0.05777399294514609,0
1.5,0.405,0.06459511318692915,0.06459511318692915,0
1.5,0.40750000000000003,0.07114231049619868,0.07114231049619868,0
1.5,0.41000000000000003,0.07402097612883188,0.07402097612883188,0
1.5,0.41250000000000003,0.08330974435963996,0.08330974435963996,0
1.5,0.41500000000000004,0.0894198673758595,0.0894198673758595,0
1.5,0.4175,0.09567396204873616,0.09567396204873616,0
1.5,0.42,0.10037366920813362,0.10037366920813362,0
1.5,0.4225,0.10688099560939932,0.10688099560939932,0
1.5,0.425,0.11247823407930532,0.11247823407930532,0
1.5,0.4275,0.13119343272560713,0.13119343272560713,0
1.5,0.43,0.11809592638634446,0.11809592638634446,0
1.5,0.4325,0.1156307722052247,0.1156307722052247,0
