field_g,momentum_k,energy
0.5,2.7120780329818137,2.9388215210117967
0.5,2.736621725587984,2.945582354435236
0.5,2.761165418194154,2.951952628666805
0.5,2.7857091108003242,2.9579310417334446
0.5,2.8102528034064944,2.963516374431241
0.5,2.834796496012665,2.9687074900395247
0.5,2.859340188618835,2.9735033340593824
0.5,2.8838838812250054,2.977902933975419
0.5,2.9084275738311756,2.9819053990397215
0.5,2.9329712664373457,2.9855099200770563
0.5,2.9575149590435164,2.988715769310435
0.5,2.9820586516496865,2.991522300206274
0.5,3.0066023442558567,2.99392894733845
0.5,3.031146036862027,2.9959352262706593
0.5,3.055689729468197,2.99754073345653
0.5,3.0802334220743677,2.9987451461570713
0.5,3.104777114680538,2.9995482223750627
0.5,3.129320807286708,2.999949800806103
1.0,0.01227184630308513,0.0245435385966179
1.0,0.03681553890925539,0.07362691962321928
1.0,0.06135923151542565,0.1226992127065465
1.0,0.0859029241215959,0.17175302773976328
1.0,0.11044661672776616,0.22078097739875974
1.0,0.1349903093339364,0.2697756782546562
1.0,0.1595340019401067,0.3187297518857205
1.0,0.18407769454627693,0.3676358259885309
1.0,0.2086213871524472,0.4164865354882183
1.0,0.23316507975861744,0.46527452364761906
1.0,0.25770877236478773,0.5139924431751727
1.0,0.28225246497095796,0.5626329573313968
1.0,0.30679615757712825,0.6111887410337737
1.0,0.3313398501832985,0.6596524819598797
1.0,0.35588354278946877,0.7080168816485951
1.0,0.380427235395639,0.7562746565992248
1.0,0.4049709280018093,0.8044185393683676
1.0,0.4295146206079795,0.8524412796643654
1.0,0.4540583132141498,0.9003356454391714
1.0,0.47860200582032003,0.9480944239774688
1.0,0.5031456984264903,0.9957104229828806
1.0,0.5276893910326605,1.043176471661102
1.0,0.5522330836388308,1.0904854217997961
1.0,0.5767767762450011,1.1376301488450875
1.0,0.6013204688511713,1.1846035529744952
1.0,0.6258641614573416,1.2313985601661395
1.0,0.6504078540635119,1.2780081232640628
1.0,0.6749515466696822,1.3244252230395055
1.0,0.6994952392758523,1.3706428692479775
1.0,0.7240389318820226,1.4166541016819616
1.0,0.7485826244881929,1.4624519912190956
1.0,0.7731263170943632,1.5080296408656733
1.0,0.7976700097005334,1.553380186795305
1.0,0.8222137023067037,1.5984967993825872
1.0,0.8467573949128739,1.6433726842316156
1.0,0.8713010875190442,1.6880010831991987
1.0,0.8958447801252144,1.7323752754126076
1.0,0.9203884727313847,1.7764885782817168
1.0,0.944932165337555,1.8203343485053753
1.0,0.9694758579437253,1.8639059830718647
1.0,0.9940195505498954,1.9071969202532884
1.0,1.0185632431560658,1.950200640593744
1.0,1.043106935762236,1.9929106678911275
1.0,1.0676506283684062,2.035320570172428
1.0,1.0921943209745766,2.0774239606623586
1.0,1.1167380135807468,2.1192144987451784
1.0,1.141281706186917,2.1606858909195714
1.0,1.1658253987930873,2.2018318917464192
1.0,1.1903690913992575,2.242646304789344
1.0,1.214912784005428,2.2831229835478695
1.0,1.239456476611598,2.323255832383058
1.0,1.2640001692177683,2.3630388074354967
1.0,1.2885438618239387,2.402465917535476
1.0,1.3130875544301088,2.4415312251052375
1.0,1.337631247036279,2.4802288470531564
1.0,1.3621749396424494,2.518552955659708
1.0,1.3867186322486196,2.5564977794551025
1.0,1.41126232485479,2.5940576040884498
1.0,1.4358060174609601,2.6312267731883145
1.0,1.4603497100671303,2.66799968921455
1.0,1.4848934026733007,2.7043708143012637
1.0,1.509437095279471,2.7403346710908014
1.0,1.533980787885641,2.775885843558616
1.0,1.5585244804918115,2.811018977828901
1.0,1.5830681730979816,2.8457287829808657
1.0,1.607611865704152,2.880010031845527
1.0,1.6321555583103222,2.913857561792901
1.0,1.6566992509164924,2.947266275509479
1.0,1.6812429435226628,2.980231141765864
1.0,1.705786636128833,3.0127471961744496
1.0,1.7303303287350031,3.044809541937047
1.0,1.7548740213411735,3.0764133505823184
1.0,1.7794177139473437,3.1075538626929298
1.0,1.8039614065535141,3.138226388622301
1.0,1.8285050991596843,3.168426309200849
1.0,1.8530487917658545,3.19814907643162
1.0,1.8775924843720249,3.227390214175197
1.0,1.902136176978195,3.256145318823793
1.0,1.9266798695843652,3.2844100599644186
1.0,1.9512235621905356,3.312180181031023
1.0,1.9757672547967058,3.33945149994552
1.0,2.000310947402876,3.3662199097475933
1.0,2.024854640009046,3.3924813792131885
1.0,2.0493983326152168,3.418231953461602
1.0,2.073942025221387,3.4434677545510692
1.0,2.098485717827557,3.4681849820627706
1.0,2.1230294104337273,3.49237991367316
1.0,2.1475731030398975,3.5160489057145337
1.0,2.172116795646068,3.539188393723751
1.0,2.1966604882522383,3.5617948929790315
1.0,2.2212041808584084,3.5838649990247404
1.0,2.2457478734645786,3.605395388184088
1.0,2.270291566070749,3.626382818059662
1.0,2.2948352586769194,3.64682412802172
1.0,2.3193789512830896,3.666716239684171
1.0,2.3439226438892597,3.6860561573681676
1.0,2.36846633649543,3.7048409685532455
1.0,2.3930100291016,3.723067844315935
1.0,2.4175537217077703,3.7407340397557904
1.0,2.442097414313941,3.75783689440876
