generator,instance,phase_index,eigenphase
qr_haar,19,21,4.4495962929937445
qr_haar,19,22,4.582560292322572
qr_haar,19,23,4.925132799773092
qr_haar,19,24,4.9475622832671045
qr_haar,19,25,5.164917137267342
qr_haar,19,26,5.331627202701242
qr_haar,19,27,5.497351866894472
qr_haar,19,28,5.7389918647817275
qr_haar,19,29,5.877085354447271
qr_haar,19,30,6.075942588218367
qr_haar,19,31,6.2111274588349925
qr_haar,20,0,0.03963294927432213
qr_haar,20,1,0.17134448337460878
qr_haar,20,2,0.3917578466825971
qr_haar,20,3,0.639373302749456
qr_haar,20,4,0.7565404031613041
qr_haar,20,5,0.930665814317314
qr_haar,20,6,1.2569403934180576
qr_haar,20,7,1.5068404666212405
qr_haar,20,8,1.614702697110522
qr_haar,20,9,1.7688246972507398
qr_haar,20,10,1.8470784741853417
qr_haar,20,11,2.1404239874957858
qr_haar,20,12,2.2138967991747562
qr_haar,20,13,2.5407593222168354
qr_haar,20,14,2.6779628319524837
qr_haar,20,15,2.817142039921815
qr_haar,20,16,3.0378472212548076
qr_haar,20,17,3.3151369564697584
qr_haar,20,18,3.484265072125211
qr_haar,20,19,3.776269618571824
qr_haar,20,20,3.8347752690056254
qr_haar,20,21,4.1745632562683515
qr_haar,20,22,4.459312321028188
qr_haar,20,23,4.505638553107021
qr_haar,20,24,4.614206381853936
qr_haar,20,25,4.904437064303625
qr_haar,20,26,5.061406307253587
qr_haar,20,27,5.2439312104135665
qr_haar,20,28,5.532391845134477
qr_haar,20,29,5.704716363190371
qr_haar,20,30,5.814166827446464
qr_haar,20,31,6.052773087202776
qr_haar,21,0,0.05220066520293285
qr_haar,21,1,0.3440251818530113
qr_haar,21,2,0.5635274259343707
qr_haar,21,3,0.8584403141952143
qr_haar,21,4,1.0472206242433382
qr_haar,21,5,1.214538247946779
qr_haar,21,6,1.327763913637807
qr_haar,21,7,1.5231984045564462
qr_haar,21,8,1.7451328072814145
qr_haar,21,9,1.8332716455283171
qr_haar,21,10,2.062446828099191
qr_haar,21,11,2.28178786713847
qr_haar,21,12,2.502216324842984
qr_haar,21,13,2.646299801965615
qr_haar,21,14,2.83256629157955
qr_haar,21,15,2.9858252414157023
qr_haar,21,16,3.291142795333113
qr_haar,21,17,3.451845718420161
qr_haar,21,18,3.5702827507221713
qr_haar,21,19,3.6526012206536027
qr_haar,21,20,3.8053754291859128
qr_haar,21,21,4.022353337574985
qr_haar,21,22,4.2125029355744
qr_haar,21,23,4.435739706168711
qr_haar,21,24,4.6989982700558635
qr_haar,21,25,4.754002024425603
qr_haar,21,26,5.021893617966013
qr_haar,21,27,5.24963655339075
qr_haar,21,28,5.5769861828103755
qr_haar,21,29,5.898801122983988
qr_haar,21,30,5.977264306892337
qr_haar,21,31,6.204796735898234
qr_haar,22,0,0.023822001893163056
qr_haar,22,1,0.2069203842591082
qr_haar,22,2,0.3479038362369123
qr_haar,22,3,0.6328214506248718
qr_haar,22,4,0.9299956886729859
