alpha_index,alpha,analytic_discord,qr_haar_mean,qr_haar_std,qr_haar_sem,qr_haar_ci95_low,qr_haar_ci95_high,qr_haar_mean_minus_analytic,independent_brickwork_mean,independent_brickwork_std,independent_brickwork_sem,independent_brickwork_ci95_low,independent_brickwork_ci95_high,independent_brickwork_mean_minus_analytic,generator_mean_difference
20,0.5,0.09546876302258372,0.0917909332151007,0.0019625164520488698,8.776640387485958e-05,0.09161891422445338,0.09196295220574803,-0.0036778298074830185,0.09171176915858933,0.0019823954295562843,8.865541877545494e-05,0.09153800773075513,0.09188553058642354,-0.00375699386399439,-7.91640565113716e-05
21,0.525,0.10594326027897355,0.10186790407993622,0.0021741042123185473,9.722889617825815e-05,0.10167733894517025,0.10205846921470219,-0.0040753561990373305,0.10178052971072622,0.002196356305773418,9.822404005039352e-05,0.10158801412981143,0.10197304529164102,-0.004162730568247328,-8.737436920999708e-05
22,0.55,0.1170905251737121,0.11259345545219966,0.002398369941719574,0.00010725836449754351,0.1123832329207438,0.11280367798365552,-0.0044970697215124394,0.11249745787484226,0.002423189427294253,0.00010836832563577467,0.11228505985953123,0.1127098558901533,-0.004593067298869838,-9.599757735739844e-05
23,0.5750000000000001,0.12894258944326514,0.12399866451453713,0.002635740344455452,0.00011787389162482203,0.1237676359322349,0.12422969309683936,-0.0049439249287280135,0.12389365946924492,0.0026633583688100817,0.00011910900722204596,0.1236602101048554,0.12412710883363445,-0.005048929974020219,-0.00010500504529220578
24,0.6000000000000001,0.14153599037989506,0.13611901806271115,0.00288670206529108,0.00012909724097559782,0.1358659921198955,0.1363720440055268,-0.00541697231718391,0.13600462248586656,0.0029173481164522955,0.0001304677740483661,0.13574891034758865,0.13626033462414447,-0.005531367894028499,-0.00011439557684458923
25,0.625,0.15491264048492964,0.14899521678169067,0.0031518073324719943,0.00014095310894779317,0.14871895376464406,0.14927147979873728,-0.005917423703238972,0.14887104770693854,0.0031857201664491058,0.0001424697369894429,0.14859181215355233,0.14915028326032476,-0.0060415927779911005,-0.00012416907475212846
26,0.65,0.16912093984687704,0.16267426314388628,0.003431622991071556,0.00015346684562374306,0.16237347365364277,0.16297505263412979,-0.006446676702990761,0.16253992598776681,0.0034691143719522343,0.0001551435111481337,0.1622358502934814,0.16284400168205224,-0.006581013859110224,-0.00013433715611946284
27,0.675,0.18421722060082618,0.17721086488690824,0.0037268535110331793,0.00016666995585707902,0.1768841977761235,0.17753753199769298,-0.007006355713917944,0.17706596663029947,0.0037682135744593103,0.00016851963412456964,0.17673567421672745,0.1773962590438715,-0.007151253970526711,-0.00014489825660876643
28,0.7000000000000001,0.20026765522555046,0.19266927611111495,0.004038232886635779,0.00018059526486985606,0.19231531589619155,0.19302323632603835,-0.007598379114435505,0.19251350073353166,0.004083882053256026,0.00018263675766343779,0.19215553926625814,0.19287146220080517,-0.0077541544920188,-0.00015577537758329485
29,0.7250000000000001,0.21735082819857732,0.20912584208788612,0.0043666970439361534,0.0001952846285477725,0.2087430912491982,0.20950859292657403,-0.008224986110691196,0.20895889080361937,0.004417032586104397,0.0001975357024272225,0.20857172794120118,0.20934605366603756,-0.008391937394957943,-0.00016695128426674755
30,0.75,0.2355612825627817,0.22667244920483384,0.004713265427193127,0.00021078363782406833,0.22625932086616835,0.22708557754349934,-0.00888883335794785,0.2264940086067121,0.0047687576451600445,0.0002132653252559936,0.22607601625005913,0.22691200096336506,-0.0090672739560696,-0.0001784405981217485
31,0.775,0.25501454561581827,0.24542136150579158,0.005079205669922025,0.00022714898299296013,0.24497615768000047,0.2458665653315827,-0.009593184110026687,0.2452312630873383,0.0051403008679502425,0.00022988124331075824,0.24478070412972794,0.24568182204494868,-0.009783282528479958,-0.0001900984184532717
32,0.8,0.27585448494249587,0.2655123520015479,0.005465916461449177,0.0002444432153427094,0.265033252103211,0.26599145189988477,-0.01034213294094799,0.26531052276744316,0.005533200623076609,0.00024745225452686974,0.26482552526067726,0.26579552027420905,-0.010543962175052712,-0.0002018292341047223
33,0.8250000000000001,0.2982645066342998,0.2871238702831511,0.005875204758022125,0.0002627471444133535,0.2866088953430602,0.287638845223242,-0.011140636351148703,0.28691016726617663,0.005949325673833568,0.000266061932539532,0.286388695460742,0.28743163907161123,-0.01135433936812319,-0.0002137030169744869
34,0.8500000000000001,0.32248545319213384,0.3104902622830064,0.006309190914891358,0.00028215559537442334,0.3099372474780361,0.31104327708797674,-0.011995190909127429,0.3102644471549236,0.006390660068046616,0.0002857990066649133,0.309704291395043,0.3108246029148041,-0.012221006037210269,-0.0002258151280828402
35,0.875,0.3488460418349597,0.335931223219424,0.006770525927345371,0.000302787124339381,0.33533777136073634,0.3365246750781116,-0.012914818615535728,0.33569362687510407,0.006860208319444869,0.00030679784284176636,0.3350923141525996,0.33629493959760853,-0.01315241495985564,-0.0002375963443199125
36,0.9,0.3778190650232345,0.3639071065380409,0.007262996348652519,0.0003248110711183959,0.363270488536869,0.36454372453921285,-0.013911958485193554,0.3636582348341677,0.007361309437095074,0.0003292077660951059,0.3630129994691904,0.364303470199145,-0.014160830189066775,-0.00024887170387322133
37,0.925,0.4101377839083038,0.39513209138626587,0.007791697218353743,0.00034845529280669985,0.3944491315621424,0.39581505121038935,-0.015005692522037928,0.39487283688778463,0.007898825185619594,0.00035324620114865615,0.3941804870558577,0.3955651867197116,-0.01526494702051917,-0.0002592544984812428
