state_index_1_based,graph_E_probability,graph_F_probability
164,2.3077902263183941e-07,1.41858724645951e-07
165,1.1724229855456608e-09,2.2408639830997687e-07
166,1.2784623717557458e-07,4.0387947503376526e-07
167,1.0877410212142928e-06,4.2295981559779465e-08
168,1.4625940283431219e-08,1.5607742151365331e-06
169,1.0556033559711673e-08,2.2845004801020423e-07
170,2.116855864414017e-05,1.626514262975332e-06
171,2.1171462189474828e-08,7.591802890229444e-10
172,6.13009431515929e-07,1.4987726615916757e-07
173,7.184242248973313e-09,4.154251513018502e-08
174,1.3772966148959591e-07,0.00016882090786233156
175,2.771586537719231e-10,4.1041661994987685e-08
176,3.3187295403133987e-09,4.662567643485535e-11
177,9.130072261561699e-12,5.18568094678975e-07
178,1.163556496799036e-06,2.1495140846521264e-05
179,1.7060352228372957e-09,3.308821806445917e-07
180,3.654215021914808e-07,5.82833257273379e-07
181,1.4717352724833089e-08,6.256043659398642e-10
182,3.012171070353806e-09,3.3431503868321467e-09
183,4.69735285383983e-12,5.17821102076061e-11
184,1.1180458733505868e-07,6.998842758525795e-10
185,2.152568574534577e-08,2.319971099082372e-09
186,4.772080925457642e-11,1.463374907326995e-09
187,4.197711630186201e-11,1.5510872503569164e-11
188,1.0514388414027231e-10,3.1281854399301394e-10
189,6.172161952201566e-13,5.834010107913759e-14
190,6.130094315158856e-07,7.016223341118712e-07
191,6.550794933547914e-06,5.398247061117762e-06
192,4.09809675793262e-08,5.853060983297029e-06
193,2.771586537718247e-10,2.655715541627102e-09
194,2.1852725808040338e-07,8.977035992816454e-09
195,9.55590695451417e-12,1.7446085597636187e-07
196,1.1635564967994364e-06,2.149514084651332e-05
197,0.06467487790567147,0.012840673461806602
198,1.8768722539639668e-07,1.074402600339628e-07
199,6.406169877916243e-08,2.36023414138864e-08
200,4.8932795046999486e-09,7.098953618782874e-09
201,1.6790053445105957e-09,5.562375898337685e-07
202,2.6839840354676408e-08,1.0041061252587086e-09
203,1.812270469867489e-11,8.335368228365164e-12
204,3.1510830925082296e-10,5.553688609260205e-08
205,2.1765969097736843e-06,0.00010882530258499587
206,6.255005112102019e-07,1.7195844032689984e-07
207,2.0960457825169704e-07,2.0646704327876541e-07
208,9.380567808600327e-08,2.9210274610447963e-08
209,2.067675875578796e-08,1.5686713077766182e-07
210,9.5432463561868e-11,1.6757958196739206e-09
211,2.498940903481469e-08,7.3254521169031815e-09
