state_index_1_based,graph_G_probability,graph_H_probability,graph_I_probability
126,2.470418513788237e-05,5.4760846891735055e-05,3.794887646866084e-08
127,1.0460233269930192e-09,1.2447726505311659e-11,3.2011210549315715e-09
128,2.9441639348106084e-06,1.2851098424869323e-05,3.819254257290156e-08
129,0.052758386278459926,1.995761016285105e-06,9.552191965550478e-08
130,0.0001586230954727685,6.852336765981545e-07,3.8262604454276667e-07
131,1.546977647993401e-07,1.871610773661162e-05,3.201121054929933e-09
132,8.332785947907496e-14,7.074301237939014e-11,4.1099768073202287e-10
133,6.286970879361681e-10,3.0111774343601793e-06,2.1184375000640165e-08
134,0.003010856382871747,5.397502120414126e-08,1.4964676848504298e-06
135,3.4789723913277545e-08,1.6655421906122458e-05,1.2228361530860305e-07
136,9.159194130089416e-06,1.5653933716700994e-05,3.8192542572891246e-08
137,2.829615858721108e-11,2.4717675944692503e-10,2.1184375000634137e-08
138,1.8037165643194518e-12,1.3669529542694208e-11,9.777536080305695e-08
139,2.1397911088072192e-08,0.00015814041866102675,2.0110112151328232e-05
140,2.2381198206175536e-10,6.0698691000258736e-05,8.036338503871875e-08
141,2.4905342625109494e-05,3.637442879952242e-06,9.552191965538331e-08
142,2.155574009921075e-08,6.92028069382098e-10,1.4964676848508595e-06
143,4.307194569913818e-11,0.013870552598795681,2.011011215133173e-05
144,5.02051187797426e-10,4.480153525212977e-11,6.731274152940735e-09
145,1.144512273666767e-08,1.2483525278544642e-06,2.0159747096785076e-06
146,1.718704397839245e-06,3.0881919767034756e-05,3.826260445424779e-07
147,3.4507419585854716e-11,9.253286718156631e-10,1.222836153087067e-07
148,6.405607093479651e-09,0.00014999365393871553,8.036338503879831e-08
149,1.2186022113656124e-08,8.702570725240863e-06,2.015974709678336e-06
150,8.218888689560241e-13,1.4800586676802662e-10,2.0674644310972173e-09
151,1.546977647995279e-07,1.2447726505267227e-11,3.201121054929531e-09
152,8.332785947916113e-14,7.074301237938848e-11,4.10997680732975e-10
153,6.286970879360797e-10,2.471767594466494e-10,2.1184375000627036e-08
154,0.0030108563828718246,6.920280693822315e-10,1.496467684850501e-06
