target_id,k,phi_legendre,phi_exact,phi_poisson,generated_data_provenance
T002,1.1703333333333332,0.4648277091912236,0.464828299075114,0.15494276635837134,independent_numerics
T002,1.1802499999999998,0.4816955090448851,0.4816959090169932,0.1605653030056644,independent_numerics
T002,1.1901666666666666,0.49881313849985354,0.49881348659680735,0.16627116219893578,independent_numerics
T002,1.2000833333333332,0.5161785389594535,0.5161789489942079,0.17205964966473597,independent_numerics
T002,1.21,0.5337896346003639,0.533790247812035,0.17793008260401166,independent_numerics
T002,1.2199166666666665,0.5516443322284532,0.5516453682299184,0.1838817894099728,independent_numerics
T002,1.2298333333333333,0.5697414826233227,0.5697423281854129,0.18991410939513764,independent_numerics
T002,1.23975,0.5880789163073157,0.588079177581535,0.19602639252717835,independent_numerics
T002,1.2496666666666665,0.6066539973802589,0.6066539975196671,0.20221799917322236,independent_numerics
T002,1.2595833333333333,0.6254645653028725,0.6254648995568034,0.2084882998522678,independent_numerics
T002,1.2694999999999999,0.644508940085426,0.6445100249861908,0.21483667499539694,independent_numerics
T002,1.2794166666666666,0.6637874653047668,0.6637875441404514,0.2212625147134838,independent_numerics
T002,1.2893333333333332,0.6832953311959367,0.6832956557163046,0.22776521857210152,independent_numerics
T002,1.2992499999999998,0.7030319178906481,0.7030325861200731,0.2343441953733577,independent_numerics
T002,1.3091666666666666,0.7229965480603053,0.7229965888331673,0.2409988629443891,independent_numerics
T002,1.3190833333333332,0.743184873723925,0.7431859437967954,0.24772864793226512,independent_numerics
