target_id,s,theta_eigen,theta_exact,activity_eigen,activity_exact,mandel_eigen,mandel_exact,generated_data_provenance
T001,0.5,-0.3070365502187713,-0.30703655021877174,0.5643211499511969,0.564321149927076,-0.6666673513916626,-0.6666666666666666,independent_numerics
T001,0.5250000000000004,-0.3210859584615849,-0.3210859584615855,0.5596380138783719,0.5596380138461381,-0.6666671098217491,-0.6666666666666666,independent_numerics
T001,0.5500000000000007,-0.33501877477679587,-0.335018774776795,0.5549937417698159,0.5549937417410683,-0.6666658009666694,-0.6666666666666666,independent_numerics
T001,0.5750000000000002,-0.34883596672668793,-0.3488359667266878,0.5503880111124015,0.550388011091104,-0.6666664302220685,-0.6666666666666666,independent_numerics
T001,0.6000000000000005,-0.3625384938440366,-0.3625384938440366,0.5458205020708595,0.5458205020519877,-0.6666659221708949,-0.6666666666666666,independent_numerics
T001,0.625,-0.3761273076987305,-0.37612730769873015,0.541290897466129,0.5412908974337566,-0.6666665551061437,-0.6666666666666666,independent_numerics
T001,0.6500000000000004,-0.38960335196385887,-0.3896033519638591,0.5367988827031933,0.5367988826787136,-0.666667086946659,-0.6666666666666666,independent_numerics
T001,0.6750000000000007,-0.40296756248124654,-0.4029675624812463,0.5323441458598976,0.5323441458395846,-0.6666658598321213,-0.6666666666666666,independent_numerics
T001,0.7000000000000002,-0.4162208673264368,-0.4162208673264367,0.5279263775886944,0.5279263775578544,-0.6666668822072007,-0.6666666666666666,independent_numerics
T001,0.7250000000000005,-0.4293641868731495,-0.4293641868731497,0.5235452710666832,0.5235452710422834,-0.6666663256321814,-0.6666666666666666,independent_numerics
T001,0.75,-0.4423984338571896,-0.44239843385719024,0.5192005220655549,0.5192005220476033,-0.6666678466986956,-0.6666666666666666,independent_numerics
T001,0.7750000000000004,-0.4553245134398387,-0.45532451343983804,0.5148918288755411,0.5148918288533872,-0.6666659549195433,-0.6666666666666666,independent_numerics
T001,0.8000000000000007,-0.4681433232707035,-0.46814332327070285,0.510618892273218,0.510618892243099,-0.666665369783106,-0.6666666666666666,independent_numerics
T001,0.8250000000000002,-0.48085575355006305,-0.48085575355006327,0.5063814154937507,0.5063814154833122,-0.6666668061256478,-0.6666666666666666,independent_numerics
T001,0.8500000000000005,-0.4934626870906862,-0.49346268709068664,0.5021791043280377,0.5021791043031044,-0.6666681740159441,-0.6666666666666666,independent_numerics
T001,0.875,-0.5059649993791353,-0.5059649993791349,0.49801166690177645,0.4980116668736217,-0.6666665117273036,-0.6666666666666666,independent_numerics
T001,0.9000000000000004,-0.5183635586365644,-0.5183635586365645,0.4938788138064698,0.49387881378781184,-0.6666662233414482,-0.6666666666666666,independent_numerics
T001,0.9250000000000007,-0.5306592258790168,-0.530659225879017,0.4897802580694499,0.48978025804032765,-0.6666676924191421,-0.6666666666666666,independent_numerics
T001,0.9500000000000002,-0.5428528549772146,-0.5428528549772142,0.4857157150417457,0.48571571500759525,-0.6666661048713057,-0.6666666666666666,independent_numerics
T001,0.9750000000000005,-0.5549452927158546,-0.5549452927158558,0.4816849024458225,0.48168490242804807,-0.6666690248854745,-0.6666666666666666,independent_numerics
T001,1.0,-0.5669373788524212,-0.5669373788524215,0.47768754041443984,0.47768754038252614,-0.6666670740162676,-0.6666666666666666,independent_numerics
T001,1.0250000000000004,-0.5788299461754898,-0.5788299461754909,0.47372335130191345,0.47372335127483634,-0.666668277258305,-0.6666666666666666,independent_numerics
T001,1.0500000000000007,-0.5906238205625733,-0.5906238205625736,0.4697920598339955,0.46979205981247546,-0.6666667526265109,-0.6666666666666666,independent_numerics
T001,1.0750000000000002,-0.6023198210374633,-0.6023198210374634,0.4658933930079545,0.4658933929875122,-0.666666525457354,-0.6666666666666666,independent_numerics
T001,1.1000000000000005,-0.6139187598271165,-0.6139187598271172,0.46202708008591387,0.4620270800576276,-0.6666679139058982,-0.6666666666666666,independent_numerics
T001,1.125,-0.6254214424180551,-0.6254214424180555,0.4581928525382306,0.4581928525273148,-0.666667274036626,-0.6666666666666666,independent_numerics
T001,1.1500000000000004,-0.636828667612304,-0.6368286676123043,0.45439044414785634,0.4543904441292319,-0.6666666072034932,-0.6666666666666666,independent_numerics
T001,1.1750000000000007,-0.6481412275828637,-0.6481412275828635,0.45061959082492997,0.4506195908057121,-0.6666668015703925,-0.6666666666666666,independent_numerics
T001,1.2000000000000002,-0.6593599079287215,-0.6593599079287216,0.4468800307178,0.44688003069042614,-0.6666665904489801,-0.6666666666666666,independent_numerics
T001,1.2250000000000005,-0.6704854877294113,-0.6704854877294115,0.44317150410311257,0.4431715040901961,-0.6666667703375682,-0.6666666666666666,independent_numerics
T001,1.25,-0.6815187395991122,-0.6815187395991125,0.4394937535012744,0.4394937534669625,-0.6666666505835714,-0.6666666666666666,independent_numerics
T001,1.2750000000000004,-0.6924604297403059,-0.6924604297403056,0.4358465234344244,0.4358465234198981,-0.6666652131090247,-0.6666666666666666,independent_numerics
T001,1.3000000000000007,-0.703311317996981,-0.7033113179969808,0.4322295606873361,0.43222956066767304,-0.6666692161606539,-0.6666666666666666,independent_numerics
T001,1.3250000000000002,-0.7140721579074059,-0.7140721579074052,0.4286426140542865,0.4286426140308649,-0.6666655472176046,-0.6666666666666666,independent_numerics
T001,1.3500000000000005,-0.7247436967564529,-0.7247436967564536,0.42508543443675606,0.42508543441451546,-0.6666676076209734,-0.6666666666666666,independent_numerics
T001,1.375,-0.7353266756275005,-0.7353266756275005,0.42155777482122403,0.4215577747908331,-0.6666662870039946,-0.6666666666666666,independent_numerics
T001,1.4000000000000004,-0.7458218294538872,-0.7458218294538879,0.4180593902125551,0.41805939018203736,-0.6666689530081564,-0.6666666666666666,independent_numerics
T001,1.4250000000000007,-0.7562298870699604,-0.7562298870699602,0.4145900376628653,0.41459003764334657,-0.6666660845184198,-0.6666666666666666,independent_numerics
T001,1.4500000000000002,-0.7665515712616786,-0.7665515712616786,0.41114947627596266,0.4111494762461071,-0.6666664197070986,-0.6666666666666666,independent_numerics
T001,1.4750000000000005,-0.7767875988168167,-0.7767875988168162,0.4077374670874434,0.40773746706106123,-0.6666654876275769,-0.6666666666666666,independent_numerics
T001,1.5,-0.7869386805747336,-0.7869386805747332,0.4043537731668323,0.4043537731417556,-0.6666652576168404,-0.6666666666666666,independent_numerics
T001,1.5250000000000004,-0.7970055214757428,-0.7970055214757426,0.4009981595376466,0.4009981595080858,-0.6666655521692901,-0.6666666666666666,independent_numerics
T001,1.5500000000000007,-0.8069888206100653,-0.8069888206100637,0.3976703931440895,0.39767039312997876,-0.6666637323514443,-0.6666666666666666,independent_numerics
T001,1.5750000000000002,-0.8168892712663707,-0.8168892712663698,0.394370242926545,0.39437024291121003,-0.6666663061529027,-0.6666666666666666,independent_numerics
T001,1.6000000000000005,-0.8267075609799359,-0.8267075609799366,0.3910974796972333,0.39109747967335445,-0.6666679656407075,-0.6666666666666666,independent_numerics
T001,1.625,-0.8364443715803824,-0.8364443715803833,0.38785187614909233,0.3878518761398722,-0.6666684919635324,-0.6666666666666666,independent_numerics
T001,1.6500000000000004,-0.8461003792390269,-0.8461003792390267,0.38463320693793435,0.38463320692032443,-0.666665351878917,-0.6666666666666666,independent_numerics
