k,direction,omega_khz,input_power_w,cutoff,delta_l_over_u,delta_f_over_u,mean_n,g1,g2,g3,g4,analytic_g2,analytic_g3,f,f2,one_photon_blockade,two_photon_blockade,pit_2_to_4,residual_norm,trace_error,hermiticity_error,minimum_eigenvalue,tail_probability
0.62,-1,29.0,2e-15,12,0.38,-0.5075771768883085,0.009684920018806104,1.0,0.02264104684847129,0.0001113899979423839,0.0,0.022219957818653407,0.00010725638064361453,0.9903618277811225,0.9903629065843434,True,False,False,3.700020326828553e-17,1.4444474582904269e-34,2.0495881934194766e-17,-5.675631065555474e-37,0.0
0.63,-1,29.0,2e-15,12,0.37,-0.5075771768883085,0.008395354194772634,1.0,0.026727259388178333,0.0001533243621414547,0.0,0.026299657810432517,0.00014841656791698371,0.9916397883777094,0.9916410755900362,True,False,False,5.888227651251527e-17,1.1102230246251565e-16,1.9937008309092904e-17,-7.707569575581495e-27,0.0
0.64,-1,29.0,2e-15,12,0.36,-0.5075771768883085,0.007343778609629391,1.0,0.03127455362184434,0.0002073205522476868,0.0,0.030840637228821237,0.0002015500593362847,0.9926831210438594,0.9926846435600963,True,False,False,2.2482449924861705e-17,0.0,2.6712015319773277e-19,-6.769105419853079e-31,0.0
0.65,-1,29.0,2e-15,12,0.35,-0.5075771768883085,0.006475769592104388,1.0,0.03631245564008161,0.00027595316998659707,0.0,0.03587246852155306,0.0002692271787381364,0.9935451530161089,0.9935469400252559,True,False,False,4.227776699209725e-17,1.1102230246251565e-16,2.4169342187712485e-17,-3.1148330890628596e-30,0.0
0.66,-1,29.0,2e-15,12,0.33999999999999997,-0.5075771768883085,0.005751430462536153,1.0,0.04187254381753478,0.00036220174527324745,0.0,0.04142678249944013,0.00035442342686708734,0.9942650773506375,0.9942671605287888,True,False,False,7.012448190380503e-17,1.2037062152420224e-35,7.251754009216198e-18,-5.682830301218727e-37,0.0
0.67,-1,29.0,2e-15,12,0.32999999999999996,-0.5075771768883085,0.0051410292373275214,1.0,0.04798861224732519,0.0004695014521074337,0.0,0.04753743253704127,0.00046057031245713524,0.9948721632361691,0.9948745769568613,True,False,False,9.888177594153433e-17,1.2037062152420224e-35,3.2911798847646966e-18,-3.319355466420933e-27,0.0
0.68,-1,29.0,2e-15,12,0.31999999999999995,-0.5075771768883085,0.004622073812482333,1.0,0.054696849106432535,0.000601799941895331,0.0,0.054240673805499545,0.0005916123258746343,0.9953885915323508,0.9953913730961026,True,False,False,7.087331206278253e-17,9.62964972193618e-35,7.103865869929983e-18,-1.230050020223076e-37,0.0
0.6900000000000001,-1,29.0,2e-15,12,0.30999999999999994,-0.5075771768883085,0.004177314053134149,1.0,0.06203603150401613,0.0007636210580890765,0.0,0.06157535910392612,0.0007520708240559524,0.9958313987869033,0.9958345886718806,True,False,False,3.1532422028595544e-17,1.4444474582904269e-34,7.374395975512106e-18,-4.30483408074166e-27,0.0
0.7000000000000001,-1,29.0,2e-15,12,0.29999999999999993,-0.5075771768883085,0.0037933530542809293,1.0,0.07004773854648932,0.0009601362977086675,0.0,0.06958315303972418,0.0009471156980672571,0.9962138326206109,0.9962174747565684,True,False,False,7.97854166503415e-17,1.2037062152420224e-35,2.5854427865603523e-18,-1.538546138357307e-27,0.0
0.71,-1,29.0,2e-15,12,0.29000000000000004,-0.5075771768883085,0.0034596660566501764,1.0,0.0787765845587546,0.0011972450015786554,0.0,0.07830876651641976,0.0011826458119832584,0.9965463116923029,0.9965504537601964,True,False,False,9.304297423749618e-17,0.0,3.9968442650588645e-18,-2.430897008206987e-31,0.0
0.72,-1,29.0,2e-15,12,0.28,-0.5075771768883085,0.0031678968424848643,1.0,0.08827047463384291,0.0014816643882446464,0.0,0.0878002137234128,0.0014653793362324511,0.9968371156483026,0.9968418094082397,True,False,False,1.4769956170955676e-16,3.76158192263132e-37,3.076399130462174e-19,-7.17421477762581e-27,0.0
0.73,-1,29.0,2e-15,12,0.27,-0.5075771768883085,0.0029113460356545756,1.0,0.09858088494726648,0.0018210306991820993,0.0,0.09810909408965501,0.0018029552527839593,0.9970928878224764,0.9970981894729832,True,False,False,3.474448002233125e-17,1.2037062152420224e-35,1.9370289433201197e-18,-2.387227047894664e-35,0.0
0.74,-1,29.0,2e-15,12,0.26,-0.5075771768883085,0.0026845941107411595,1.0,0.10976317057235373,0.0022240128981757534,0.0,0.10929090196735354,0.00220404748671313,0.9973190061895263,0.9973249767614549,True,False,False,1.332019084368986e-16,1.2037062152420224e-34,7.255140820750572e-18,-2.161178580007182e-34,0.0
0.75,-1,29.0,2e-15,12,0.25,-0.5075771768883085,0.002483220283762823,1.0,0.12187690387407533,0.002700440569269242,0.0,0.12140536715789643,0.0026784933224833487,0.9975198603572284,0.9975265661460251,True,False,False,6.215777724398841e-17,0.0,1.8674812657855698e-19,-2.1001386738502374e-27,0.0
0.76,-1,29.0,2e-15,12,0.24,-0.5075771768883085,0.0023035905380532472,1.0,0.13498624694770395,0.0032614478897340397,0.0,0.1345168297867516,0.0032374379980745537,0.9976990606904579,0.9977065737309571,True,False,False,6.163914211872809e-17,3.611118645726067e-35,4.686973677824414e-18,-1.1096243283720697e-31,0.0
0.77,-1,29.0,2e-15,12,0.22999999999999998,-0.5075771768883085,0.0021426961063240576,1.0,0.1491603620124504,0.003919635822112534,0.0,0.14869465348462907,0.0038934976410017995,0.9978595978282839,0.9978679964166982,True,False,False,9.102373012591628e-18,6.018531076210112e-35,2.5141965724892743e-18,-1.0857428957054227e-31,0.0
0.78,-1,29.0,2e-15,12,0.21999999999999997,-0.5075771768883085,0.001998029195203427,1.0,0.16447386417758694,0.004689254978478622,0.0,0.16401368134753389,0.0046609430233492235,0.9980039655363971,0.9980133348047479,True,False,False,5.63790016883665e-17,8.425943506694157e-35,4.3773853831998235e-18,-2.9601619129287483e-27,0.0
0.79,-1,29.0,2e-15,12,0.20999999999999996,-0.5075771768883085,0.0018674864912931759,1.0,0.18100732157962254,0.005586411967631634,0.0,0.18055473973882902,0.005555906975347987,0.9981342561766327,0.998144688725517,True,False,False,1.0035105762228754e-17,6.018531076210112e-36,3.4354852231373897e-18,-3.4184755498107215e-43,0.0
0.8,-1,29.0,2e-15,12,0.19999999999999996,-0.5075771768883085,0.00174929359761058,1.0,0.19884780855572096,0.006629302450282443,0.0,0.198405195674244,0.006596618717222658,0.9982522355246768,0.9982638321210097,True,False,False,1.474485751519912e-16,3.611118645726067e-35,2.1341757312016e-18,-5.650236794954843e-43,0.0
0.81,-1,29.0,2e-15,12,0.18999999999999995,-0.5075771768883085,0.0016419453861291837,1.0,0.21808951828472808,0.007838474608230603,0.0,0.21765957431025604,0.007803668857076205,0.9983594018687225,0.9983722722159398,True,False,False,8.309489474676668e-18,6.018531076210112e-36,2.1192372834290137e-18,-3.5856697691529956e-37,0.0
