series_id,time_kappa,sz_over_N,generated_N,paper_series_N,parameter_match
finite_N_8,18.100000000000001,-0.041702165528805041,8,"40,80,160",reduced_scale
finite_N_8,18.199999999999999,-0.041692408126720308,8,"40,80,160",reduced_scale
finite_N_8,18.300000000000001,-0.041671963078866205,8,"40,80,160",reduced_scale
finite_N_8,18.400000000000002,-0.041641774429604803,8,"40,80,160",reduced_scale
finite_N_8,18.5,-0.041602853383569213,8,"40,80,160",reduced_scale
finite_N_8,18.600000000000001,-0.041556260869135844,8,"40,80,160",reduced_scale
finite_N_8,18.699999999999999,-0.041503090558656329,8,"40,80,160",reduced_scale
finite_N_8,18.800000000000001,-0.041444452537925405,8,"40,80,160",reduced_scale
finite_N_8,18.900000000000002,-0.041381457796688503,8,"40,80,160",reduced_scale
finite_N_8,19,-0.041315203690380317,8,"40,80,160",reduced_scale
finite_N_8,19.100000000000001,-0.041246760501089427,8,"40,80,160",reduced_scale
finite_N_8,19.200000000000003,-0.041177159203283395,8,"40,80,160",reduced_scale
finite_N_8,19.300000000000001,-0.041107380517417233,8,"40,80,160",reduced_scale
finite_N_8,19.400000000000002,-0.04103834531247761,8,"40,80,160",reduced_scale
finite_N_8,19.5,-0.040970906397048708,8,"40,80,160",reduced_scale
finite_N_8,19.600000000000001,-0.04090584171786895,8,"40,80,160",reduced_scale
finite_N_8,19.700000000000003,-0.040843848965292515,8,"40,80,160",reduced_scale
finite_N_8,19.800000000000001,-0.04078554156676506,8,"40,80,160",reduced_scale
finite_N_8,19.900000000000002,-0.040731446032530511,8,"40,80,160",reduced_scale
finite_N_8,20,-0.040682000602426147,8,"40,80,160",reduced_scale
finite_N_8,20.100000000000001,-0.04063755512891578,8,"40,80,160",reduced_scale
finite_N_8,20.200000000000003,-0.040598372119507245,8,"40,80,160",reduced_scale
finite_N_8,20.300000000000001,-0.040564628851472551,8,"40,80,160",reduced_scale
finite_N_8,20.400000000000002,-0.040536420463331266,8,"40,80,160",reduced_scale
finite_N_8,20.5,-0.04051376392089541,8,"40,80,160",reduced_scale
finite_N_8,20.600000000000001,-0.040496602750752064,8,"40,80,160",reduced_scale
finite_N_8,20.700000000000003,-0.040484812430856415,8,"40,80,160",reduced_scale
finite_N_8,20.800000000000001,-0.04047820632633678,8,"40,80,160",reduced_scale
finite_N_8,20.900000000000002,-0.040476542058602849,8,"40,80,160",reduced_scale
finite_N_8,21,-0.040479528197295223,8,"40,80,160",reduced_scale
finite_N_8,21.100000000000001,-0.040486831167408407,8,"40,80,160",reduced_scale
finite_N_8,21.200000000000003,-0.040498082267937358,8,"40,80,160",reduced_scale
finite_N_8,21.300000000000001,-0.040512884703513996,8,"40,80,160",reduced_scale
finite_N_8,21.400000000000002,-0.040530820536573288,8,"40,80,160",reduced_scale
finite_N_8,21.5,-0.040551457474481828,8,"40,80,160",reduced_scale
finite_N_8,21.600000000000001,-0.040574355413635257,8,"40,80,160",reduced_scale
finite_N_8,21.700000000000003,-0.040599072670638253,8,"40,80,160",reduced_scale
finite_N_8,21.800000000000001,-0.040625171839186271,8,"40,80,160",reduced_scale
finite_N_8,21.900000000000002,-0.040652225220035969,8,"40,80,160",reduced_scale
finite_N_8,22,-0.040679819780347223,8,"40,80,160",reduced_scale
finite_N_8,22.100000000000001,-0.040707561607584083,8,"40,80,160",reduced_scale
finite_N_8,22.200000000000003,-0.040735079831953243,8,"40,80,160",reduced_scale
finite_N_8,22.300000000000001,-0.0407620299999365,8,"40,80,160",reduced_scale
finite_N_8,22.400000000000002,-0.040788096889731035,8,"40,80,160",reduced_scale
finite_N_8,22.5,-0.040812996767268545,8,"40,80,160",reduced_scale
finite_N_8,22.600000000000001,-0.040836479088859276,8,"40,80,160",reduced_scale
finite_N_8,22.700000000000003,-0.040858327663337329,8,"40,80,160",reduced_scale
finite_N_8,22.800000000000001,-0.040878361292812596,8,"40,80,160",reduced_scale
finite_N_8,22.900000000000002,-0.040896433916718947,8,"40,80,160",reduced_scale
finite_N_8,23,-0.04091243428876018,8,"40,80,160",reduced_scale
finite_N_8,23.100000000000001,-0.040926285220565184,8,"40,80,160",reduced_scale
finite_N_8,23.200000000000003,-0.040937942429371266,8,"40,80,160",reduced_scale
finite_N_8,23.300000000000001,-0.040947393029848587,8,"40,80,160",reduced_scale
finite_N_8,23.400000000000002,-0.040954653712277175,8,"40,80,160",reduced_scale
