model,launch,time_ns,site,density
strong,Q1_Q12,8.5,4,0.0017885571118513818
strong,Q1_Q12,8.5,5,5.0410188027046786e-05
strong,Q1_Q12,8.5,6,9.307890871593533e-07
strong,Q1_Q12,8.5,7,1.1197076249361569e-06
strong,Q1_Q12,8.5,8,5.987318987183309e-05
strong,Q1_Q12,8.5,9,0.0020529429884657254
strong,Q1_Q12,8.5,10,0.03900568129584289
strong,Q1_Q12,8.5,11,0.32480813754565563
strong,Q1_Q12,8.5,12,0.6340722427893524
strong,Q1_Q12,9.0,1,0.6140512465086706
strong,Q1_Q12,9.0,2,0.3396158191904495
strong,Q1_Q12,9.0,3,0.043785311954046995
strong,Q1_Q12,9.0,4,0.0024677550785577205
strong,Q1_Q12,9.0,5,7.82454355019076e-05
strong,Q1_Q12,9.0,6,1.6266935462683313e-06
strong,Q1_Q12,9.0,7,1.9547557041127225e-06
strong,Q1_Q12,9.0,8,9.286828442072747e-05
strong,Q1_Q12,9.0,9,0.002829781112630081
strong,Q1_Q12,9.0,10,0.0476888851921135
strong,Q1_Q12,9.0,11,0.3508634514644944
strong,Q1_Q12,9.0,12,0.5985230543298634
strong,Q1_Q12,9.5,1,0.5792093293882643
strong,Q1_Q12,9.5,2,0.3644690122803161
strong,Q1_Q12,9.5,3,0.052862396170212524
strong,Q1_Q12,9.5,4,0.003338155037209165
strong,Q1_Q12,9.5,5,0.00011836206092549638
strong,Q1_Q12,9.5,6,2.7542238491066705e-06
strong,Q1_Q12,9.5,7,3.3059263973093952e-06
strong,Q1_Q12,9.5,8,0.00014037724640954643
strong,Q1_Q12,9.5,9,0.003823912080979655
strong,Q1_Q12,9.5,10,0.05749282068975989
strong,Q1_Q12,9.5,11,0.37580089281190887
strong,Q1_Q12,9.5,12,0.5627386820837685
strong,Q1_Q12,10.0,1,0.5442562284012868
strong,Q1_Q12,10.0,2,0.38811225636126473
strong,Q1_Q12,10.0,3,0.06301659161161609
strong,Q1_Q12,10.0,4,0.004435472038136286
strong,Q1_Q12,10.0,5,0.0001749360776626363
strong,Q1_Q12,10.0,6,4.5321956613914e-06
strong,Q1_Q12,10.0,7,5.4335501943300145e-06
strong,Q1_Q12,10.0,8,0.00020731018624967038
strong,Q1_Q12,10.0,9,0.005075343016704259
strong,Q1_Q12,10.0,10,0.0684324030314461
strong,Q1_Q12,10.0,11,0.3993428094820629
strong,Q1_Q12,10.0,12,0.5269366840477147
strong,Q1_Q12,10.5,1,0.509390911101497
strong,Q1_Q12,10.5,2,0.4102968626494543
strong,Q1_Q12,10.5,3,0.07425347502843672
strong,Q1_Q12,10.5,4,0.005798350736370775
strong,Q1_Q12,10.5,5,0.00025316205071458534
strong,Q1_Q12,10.5,6,7.267901243104241e-06
strong,Q1_Q12,10.5,7,8.702401314191628e-06
strong,Q1_Q12,10.5,8,0.0002997629667582577
strong,Q1_Q12,10.5,9,0.006627158849009876
strong,Q1_Q12,10.5,10,0.08050541220384669
strong,Q1_Q12,10.5,11,0.4212312455178342
strong,Q1_Q12,10.5,12,0.4913276885935198
strong,Q1_Q12,11.0,1,0.47480519057675846
strong,Q1_Q12,11.0,2,0.4307934429178506
strong,Q1_Q12,11.0,3,0.08656263714095608
strong,Q1_Q12,11.0,4,0.007467995861821862
strong,Q1_Q12,11.0,5,0.0003593996790953927
strong,Q1_Q12,11.0,6,1.1384424300590998e-05
strong,Q1_Q12,11.0,7,1.361351510787619e-05
strong,Q1_Q12,11.0,8,0.00042518311878813155
strong,Q1_Q12,11.0,9,0.008525053396101025
strong,Q1_Q12,11.0,10,0.09369160420956804
strong,Q1_Q12,11.0,11,0.44123092484267706
strong,Q1_Q12,11.0,12,0.45611357031697475
strong,Q1_Q12,11.5,1,0.4406821712191291
strong,Q1_Q12,11.5,2,0.4493943985072417
strong,Q1_Q12,11.5,3,0.09991703774251856
strong,Q1_Q12,11.5,4,0.009487702259705756
strong,Q1_Q12,11.5,5,0.0005013211401626239
strong,Q1_Q12,11.5,6,1.74538200333046e-05
strong,Q1_Q12,11.5,7,2.0842651206055017e-05
strong,Q1_Q12,11.5,8,0.0005925348569780573
strong,Q1_Q12,11.5,9,0.010816745325760616
strong,Q1_Q12,11.5,10,0.1079521398304803
strong,Q1_Q12,11.5,11,0.45913188806528327
strong,Q1_Q12,11.5,12,0.4214857645815003
strong,Q1_Q12,12.0,1,0.40719482199389034
strong,Q1_Q12,12.0,2,0.4659160950780746
strong,Q1_Q12,12.0,3,0.11427264189229948
strong,Q1_Q12,12.0,4,0.011902287470470686
strong,Q1_Q12,12.0,5,0.0006880552064812052
strong,Q1_Q12,12.0,6,2.6236801226173862e-05
strong,Q1_Q12,12.0,7,3.1286058957442225e-05
strong,Q1_Q12,12.0,8,0.0008124582924879433
strong,Q1_Q12,12.0,9,0.013551283839047157
strong,Q1_Q12,12.0,10,0.12322934545394534
strong,Q1_Q12,12.0,11,0.47475174962657885
strong,Q1_Q12,12.0,12,0.38762373828654006
strong,Q1_Q12,12.5,1,0.37450469104161743
strong,Q1_Q12,12.5,2,0.48020069794698245
strong,Q1_Q12,12.5,3,0.129568346965398
strong,Q1_Q12,12.5,4,0.014757432277565525
strong,Q1_Q12,12.5,5,0.0009303237087508634
strong,Q1_Q12,12.5,6,3.872951769664754e-05
strong,Q1_Q12,12.5,7,4.611411866994987e-05
strong,Q1_Q12,12.5,8,0.0010974174532337878
strong,Q1_Q12,12.5,9,0.016778251885778476
strong,Q1_Q12,12.5,10,0.13944681445294035
strong,Q1_Q12,12.5,11,0.4879375485979608
strong,Q1_Q12,12.5,12,0.35469363203340504
strong,Q1_Q12,13.0,1,0.3427607734374812
strong,Q1_Q12,13.0,2,0.49211764796476987
strong,Q1_Q12,13.0,3,0.14572620524530636
strong,Q1_Q12,13.0,4,0.01809893707020313
strong,Q1_Q12,13.0,5,0.0012405655650849423
strong,Q1_Q12,13.0,6,5.621793475372755e-05
strong,Q1_Q12,13.0,7,6.683331539332938e-05
strong,Q1_Q12,13.0,8,0.0014618313461220757
strong,Q1_Q12,13.0,9,0.020546877602199594
strong,Q1_Q12,13.0,10,0.1565098513665063
strong,Q1_Q12,13.0,11,0.49856717282124385
strong,Q1_Q12,13.0,12,0.32284708633093556
strong,Q1_Q12,13.5,1,0.3120985417975785
strong,Q1_Q12,13.5,2,0.5015647632409779
strong,Q1_Q12,13.5,3,0.16265194157435878
strong,Q1_Q12,13.5,4,0.02197190419236061
strong,Q1_Q12,13.5,5,0.0016330433438429422
strong,Q1_Q12,13.5,6,8.034020495124859e-05
strong,Q1_Q12,13.5,7,9.535685030896756e-05
strong,Q1_Q12,13.5,8,0.0019221820495348343
strong,Q1_Q12,13.5,9,0.024905067393294206
strong,Q1_Q12,13.5,10,0.1743062548344731
strong,Q1_Q12,13.5,11,0.5065503426989215
strong,Q1_Q12,13.5,12,0.2922202618193973
strong,Q1_Q12,14.0,1,0.28263914719476313
strong,Q1_Q12,14.0,2,0.5084689575200395
strong,Q1_Q12,14.0,3,0.1802357604130373
strong,Q1_Q12,14.0,4,0.026419858625494758
strong,Q1_Q12,14.0,5,0.0021239271887829236
strong,Q1_Q12,14.0,6,0.00011315728542037746
strong,Q1_Q12,14.0,7,0.00013408400803702965
strong,Q1_Q12,14.0,8,0.002497093724679723
strong,Q1_Q12,14.0,9,0.029898376598683628
strong,Q1_Q12,14.0,10,0.1927074290168162
strong,Q1_Q12,14.0,11,0.5118291476897525
strong,Q1_Q12,14.0,12,0.2629330607344922
strong,Q1_Q12,14.5,1,0.2544887955587271
strong,Q1_Q12,14.5,2,0.5127865715799773
strong,Q1_Q12,14.5,3,0.19835343159035299
strong,Q1_Q12,14.5,4,0.03148382133009464
strong,Q1_Q12,14.5,5,0.002731350923691357
strong,Q1_Q12,14.5,6,0.00015723188035235308
strong,Q1_Q12,14.5,7,0.00018598817721710812
strong,Q1_Q12,14.5,8,0.0032073764950929728
strong,Q1_Q12,14.5,9,0.03556893591986794
strong,Q1_Q12,14.5,10,0.21156980718850565
strong,Q1_Q12,14.5,11,0.5143781353299338
strong,Q1_Q12,14.5,12,0.23508855402618672
strong,Q1_Q12,15.0,1,0.22773830241991816
strong,Q1_Q12,15.0,2,0.5145033195709674
strong,Q1_Q12,15.0,3,0.21686763914434665
strong,Q1_Q12,15.0,4,0.03720135130300643
strong,Q1_Q12,15.0,5,0.0034754352783210466
strong,Q1_Q12,15.0,6,0.00021571558555512653
strong,Q1_Q12,15.0,7,0.00025471316858090905
strong,Q1_Q12,15.0,8,0.004076029374623999
strong,Q1_Q12,15.0,9,0.04195435369082283
strong,Q1_Q12,15.0,10,0.23073656545677795
strong,Q1_Q12,15.0,11,0.5142039592757431
strong,Q1_Q12,15.0,12,0.20877261573133626
strong,Q1_Q12,15.5,1,0.20246282654716358
strong,Q1_Q12,15.5,2,0.5136338576535245
strong,Q1_Q12,15.5,3,0.2356295730398862
strong,Q1_Q12,15.5,4,0.04360557385074603
strong,Q1_Q12,15.5,5,0.0043782734447988915
strong,Q1_Q12,15.5,6,0.0002924438811419057
strong,Q1_Q12,15.5,7,0.00034467719259585413
strong,Q1_Q12,15.5,8,0.005128196831637926
strong,Q1_Q12,15.5,9,0.04908661559332123
strong,Q1_Q12,15.5,10,0.25003959920506635
strong,Q1_Q12,15.5,11,0.5113445993437101
strong,Q1_Q12,15.5,12,0.18405376341640664
strong,Q1_Q12,16.0,1,0.1787217807569315
strong,Q1_Q12,16.0,2,0.5102209875527086
strong,Q1_Q12,16.0,3,0.25448073929112386
strong,Q1_Q12,16.0,4,0.05072421369652922
strong,Q1_Q12,16.0,5,0.005463874586665755
strong,Q1_Q12,16.0,6,0.0003920383620039605
strong,Q1_Q12,16.0,7,0.00046118355196871476
strong,Q1_Q12,16.0,8,0.0063910741625641965
strong,Q1_Q12,16.0,9,0.05699100451014089
strong,Q1_Q12,16.0,10,0.26930173002418517
strong,Q1_Q12,16.0,11,0.5058681727077244
strong,Q1_Q12,16.0,12,0.1609832007974532
strong,Q1_Q12,16.5,1,0.15655891596928428
strong,Q1_Q12,16.5,2,0.5043345126377393
strong,Q1_Q12,16.5,3,0.27325496018244744
strong,Q1_Q12,16.5,4,0.05857865229957257
strong,Q1_Q12,16.5,5,0.006758061480813213
strong,Q1_Q12,16.5,6,0.0005200153174244026
strong,Q1_Q12,16.5,7,0.0006105367783525387
strong,Q1_Q12,16.5,8,0.007893757608308372
strong,Q1_Q12,16.5,9,0.06568506383959409
strong,Q1_Q12,16.5,10,0.2883391066350694
strong,Q1_Q12,16.5,11,0.4978713612038039
strong,Q1_Q12,16.5,12,0.13959505604758987
strong,Q1_Q12,17.0,1,0.13600257248155245
strong,Q1_Q12,17.0,2,0.4960697687928726
strong,Q1_Q12,17.0,3,0.29178053294086975
strong,Q1_Q12,17.0,4,0.06718302914544973
strong,Q1_Q12,17.0,5,0.008288319171510045
strong,Q1_Q12,17.0,6,0.0006828994756071631
strong,Q1_Q12,17.0,7,0.000800162604071876
strong,Q1_Q12,17.0,8,0.009667036074724177
strong,Q1_Q12,17.0,9,0.07517762773915763
strong,Q1_Q12,17.0,10,0.30696375971541523
strong,Q1_Q12,17.0,11,0.48747748500495414
strong,Q1_Q12,17.0,12,0.11990680685381518
strong,Q1_Q12,17.5,1,0.1170660904534126
strong,Q1_Q12,17.5,2,0.48554585659869137
strong,Q1_Q12,17.5,3,0.309882512421999
strong,Q1_Q12,17.5,4,0.07654340674959194
