theta,phi,probability
0,3.1415926535897931,9.5367431640624979e-07
0.026179938779914941,-3.1415926535897931,1.4544654510334184e-06
0.026179938779914941,-3.115412714809878,1.44358803951996e-06
0.026179938779914941,-3.0892327760299634,1.4324283053123039e-06
0.026179938779914941,-3.0630528372500483,1.4210014416026498e-06
0.026179938779914941,-3.0368728984701332,1.4093226827345251e-06
0.026179938779914941,-3.0106929596902186,1.3974072725904977e-06
0.026179938779914941,-2.9845130209103035,1.3852704340251704e-06
0.026179938779914941,-2.9583330821303884,1.3729273394103347e-06
0.026179938779914941,-2.9321531433504737,1.3603930823517288e-06
0.026179938779914941,-2.9059732045705586,1.3476826506294751e-06
0.026179938779914941,-2.8797932657906435,1.3348109004068806e-06
0.026179938779914941,-2.8536133270107289,1.3217925317451884e-06
0.026179938779914941,-2.8274333882308138,1.3086420654547583e-06
0.026179938779914941,-2.8012534494508987,1.295373821306377e-06
0.026179938779914941,-2.7750735106709841,1.2820018976197822e-06
0.026179938779914941,-2.748893571891069,1.2685401522400826e-06
0.026179938779914941,-2.7227136331111539,1.2550021849067394e-06
0.026179938779914941,-2.6965336943312392,1.2414013210138893e-06
0.026179938779914941,-2.6703537555513241,1.2277505967553995e-06
0.026179938779914941,-2.6441738167714091,1.2140627456427686e-06
0.026179938779914941,-2.6179938779914944,1.2003501863792511e-06
0.026179938779914941,-2.5918139392115793,1.1866250120690022e-06
0.026179938779914941,-2.5656340004316647,1.1728989807359621e-06
0.026179938779914941,-2.5394540616517496,1.1591835071233179e-06
0.026179938779914941,-2.5132741228718345,1.1454896557410089e-06
0.026179938779914941,-2.4870941840919194,1.1318281351255557e-06
0.026179938779914941,-2.4609142453120048,1.1182092932737751e-06
0.026179938779914941,-2.4347343065320897,1.1046431142095073e-06
0.026179938779914941,-2.408554367752175,1.0911392156403525e-06
0.026179938779914941,-2.3823744289722599,1.0777068476596655e-06
0.026179938779914941,-2.3561944901923448,1.0643548924475792e-06
0.026179938779914941,-2.3300145514124297,1.0510918649236362e-06
0.026179938779914941,-2.3038346126325151,1.0379259143027468e-06
0.026179938779914941,-2.2776546738526,1.0248648265055603e-06
0.026179938779914941,-2.2514747350726854,1.0119160273739788e-06
0.026179938779914941,-2.2252947962927703,9.9908658664244118e-07
0.026179938779914941,-2.1991148575128552,9.8638322261569884e-07
0.026179938779914941,-2.1729349187329401,9.7381230750414211e-07
0.026179938779914941,-2.1467549799530254,9.6137987336826299e-07
0.026179938779914941,-2.1205750411731104,9.4909161862451615e-07
0.026179938779914941,-2.0943951023931957,9.3695291506572771e-07
0.026179938779914941,-2.0682151636132806,9.2496881535021815e-07
0.026179938779914941,-2.0420352248333655,9.1314406091493168e-07
0.026179938779914941,-2.0158552860534504,9.0148309026915354e-07
0.026179938779914941,-1.9896753472735358,8.8999004762675308e-07
0.026179938779914941,-1.9634954084936207,8.7866879183636332e-07
0.026179938779914941,-1.9373154697137058,8.6752290557042622e-07
0.026179938779914941,-1.911135530933791,8.5655570473565131e-07
0.026179938779914941,-1.8849555921538759,8.4577024806906811e-07
0.026179938779914941,-1.858775653373961,8.351693468855552e-07
0.026179938779914941,-1.8325957145940461,8.247555749444245e-07
0.026179938779914941,-1.806415775814131,8.1453127840438894e-07
0.026179938779914941,-1.7802358370342162,8.0449858583796677e-07
0.026179938779914941,-1.7540558982543013,7.9465941827811147e-07
0.026179938779914941,-1.7278759594743862,7.8501549927158047e-07
0.026179938779914941,-1.7016960206944713,7.7556836491525917e-07
0.026179938779914941,-1.6755160819145565,7.6631937385332656e-07
0.026179938779914941,-1.6493361431346414,7.5726971721479515e-07
0.026179938779914941,-1.6231562043547265,7.4842042847255745e-07
0.026179938779914941,-1.5969762655748116,7.3977239320663349e-07
