tau,normalized_time,lambda_1,lambda_2,lambda_3,analytic_qfi
0.42706025134736247,0.27187499999999998,214.21086535786657,198.90337858375955,15.690614528570782,214.21086535786642
0.43196898986859655,0.27500000000000002,213.98488694558841,199.80189966721062,15.93484308647251,213.9848869455883
0.43687772838983063,0.27812500000000001,213.76444883124697,200.63892967340814,16.170419114866903,213.76444883124691
0.44178646691106466,0.28125,213.55014022062869,201.41757633437655,16.397232855786562,213.55014022062863
0.44669520543229868,0.28437499999999999,213.34244695068594,202.14089702960658,16.615213241347725,213.34244695068588
0.45160394395353276,0.28749999999999998,213.14176017147742,202.81188788908418,16.82432640203713,213.14176017147747
0.45651268247476684,0.29062500000000002,212.94838468151735,203.43347427915225,17.024573963075248,212.9483846815171
0.46142142099600086,0.29375000000000001,212.76254689301197,204.00850261734249,17.215991158972024,212.76254689301209
0.46633015951723489,0.296875,212.58440240972709,204.53973345453034,17.398644796628403,212.58440240972701
0.47123889803846897,0.29999999999999999,212.41404320585002,205.02983575651834,17.572631097081945,212.41404320585005
0.47614763655970305,0.30312500000000003,212.25150439926855,205.48138231238221,17.738073445302895,212.25150439926838
0.48105637508093707,0.30625000000000002,212.09677061710218,205.89684619349384,17.895120076363593,212.09677061710212
0.48596511360217109,0.30937499999999996,211.94978195521151,206.27859818498376,18.043941724896811,211.94978195521142
0.49087385212340517,0.3125,211.81043953671931,206.6289051103978,18.184729263075749,211.81043953671914
0.49578259064463925,0.31562500000000004,211.67861067740239,206.94992897031315,18.317691350452836,211.67861067740233
0.50069132916587322,0.31874999999999998,211.55413366814145,207.24372681660046,18.443052116938283,211.55413366814128
0.5056000676871073,0.32187499999999997,211.43682218651503,207.51225128572605,18.561048898034201,211.43682218651486
0.51050880620834138,0.32500000000000001,211.32646935112706,207.7573517168556,18.671930039214487,211.32646935112686
0.51541754472957546,0.328125,211.22285143339062,207.98077578344564,18.775952784096393,211.22285143339047
0.52032628325080954,0.33125000000000004,211.12573124232156,208.18417157038434,18.873381258825955,211.12573124232151
0.52523502177204351,0.33437499999999998,211.03486119843606,208.36909003245111,18.964484562928639,211.03486119843609
0.53014376029327759,0.33750000000000002,210.94998611315546,208.53698777383983,19.049534974786301,210.94998611315552
0.53505249881451167,0.34062500000000001,210.87084569022363,208.68923009262119,19.128806277915896,210.8708456902236
0.53996123733574564,0.34374999999999994,210.79717676557524,208.82709423825099,19.202572212361922,210.7971767655751
0.54486997585697972,0.34687499999999999,210.72871530188775,208.95177283448149,19.271105053786105,210.72871530188766
0.5497787143782138,0.34999999999999998,210.66519815373243,209.06437742425805,19.334674321257118,210.66519815373229
0.55468745289944787,0.35312500000000002,210.60636461883124,209.16594209731963,19.393545613311954,210.60636461883121
0.55959619142068195,0.35625000000000001,210.55195779046247,209.25742716523897,19.447979570585645,210.5519577904623
0.56450492994191592,0.359375,210.50172572552688,209.33972285250553,19.498230962185534,210.50172572552685
0.56941366846315,0.36249999999999999,210.45542244224652,209.41365297592429,19.544547892016421,210.45542244224643
0.57432240698438408,0.36562500000000003,210.41280876087899,209.47997858809245,19.587171120442516,210.41280876087893
0.57923114550561805,0.36874999999999997,210.37365300025778,209.5394015639767,19.626333495992029,210.37365300025769
0.58413988402685213,0.37187499999999996,210.3377315423682,209.59256811265291,19.662259491263363,210.33773154236818
0.58904862254808621,0.375,210.30482927658812,209.64007219909257,19.695164836771884,210.3048292765879
0.59395736106932029,0.37812500000000004,210.27473993463366,209.68245886346102,19.725256246170197,210.2747399346336
0.59886609959055437,0.38125000000000003,210.24726632668313,209.72022742776568,19.752731226077429,210.24726632668299
0.60377483811178834,0.38437499999999997,210.22222048857861,209.75383458183202,19.777777963648749,210.22222048857853
0.60868357663302242,0.38750000000000001,210.19942374946399,209.78369734253226,19.800575285001891,210.1994237494639
0.6135923151542565,0.390625,210.17870672866621,209.81019588192018,19.82129267767565,210.1787067286663
0.61850105367549046,0.39374999999999999,210.15990927010614,209.83367622147856,19.840090370422772,210.15990927010628
0.62340979219672454,0.39687499999999998,210.1428803220021,209.85445279105338,19.857119463822713,210.14288032200213
0.62831853071795862,0.40000000000000002,210.12747776912892,209.87281085225075,19.872522105431013,210.12747776912894
0.6332272692391927,0.40312500000000001,210.11356822440004,209.88900878711644,19.886431703454409,210.11356822440007
0.63813600776042678,0.40625000000000006,210.10102678605801,209.90328025382505,19.898973173242631,210.10102678605799
0.64304474628166075,0.40937499999999999,210.08973676629142,209.91583621187343,19.910263211217028,210.08973676629142
0.64795348480289483,0.41249999999999998,210.07958939664036,209.92686681992592,19.920410591200717,210.07958939664033
0.65286222332412891,0.41562500000000002,210.0704835151069,209.93654320999593,19.929516478472983,210.0704835151069
0.65777096184536288,0.41874999999999996,210.06232523946028,209.94501914209053,19.937674757234504,210.06232523946031
0.66267970036659696,0.421875,210.05502763080921,209.95243254379648,19.944972367534881,210.05502763080924
0.66758843888783104,0.42499999999999999,210.04851035111722,209.95890693955019,19.951489648077157,210.04851035111733
0.67249717740906512,0.42812500000000003,210.04269931795054,209.9645527745343,19.957300681669775,210.04269931795062
0.6774059159302992,0.43125000000000002,210.03752635938375,209.96946863827552,19.96247364044331,210.03752635938389
0.68231465445153316,0.43437499999999996,210.03292887164062,209.97374239308749,19.967071128283358,210.03292887164093
0.68722339297276724,0.4375,210.02884948171652,209.97745221253422,19.971150518251687,210.02884948171646
0.69213213149400132,0.44062500000000004,210.02523571691614,209.98066753506214,19.974764283070819,210.0252357169164
0.69704087001523529,0.44374999999999998,210.0220396829605,209.98344993789368,19.977960317034572,210.0220396829605
0.70194960853646937,0.44687499999999997,210.01921775202356,209.98585393618657,19.980782247974496,210.01921775202371
0.70685834705770345,0.45000000000000001,210.01673026183724,209.98792771233877,19.983269738161805,210.01673026183758
0.71176708557893753,0.453125,210.01454122674602,209.98971378018069,19.985458773253743,210.01454122674602
0.71667582410017161,0.45625000000000004,210.01261806139561,209.99124958863561,19.987381938604145,210.01261806139578
0.72158456262140558,0.45937499999999998,210.01093131755107,209.99256806924961,19.989068682448654,210.0109313175513
0.72649330114263966,0.46250000000000002,210.00945443435199,209.99369813180809,19.990545565647764,210.00945443435222
0.73140203966387374,0.46562500000000001,210.00816350217571,209.99466511205668,19.991836497824099,210.00816350217585
0.73631077818510771,0.46874999999999994,210.00703704013182,209.99549117534346,19.992962959868013,210.00703704013193
0.74121951670634179,0.47187499999999999,210.00605578709718,209.99619567979235,19.993944212902754,210.00605578709724
0.74612825522757587,0.47499999999999998,210.00520250609338,209.99679550241356,19.994797493906329,210.00520250609367
0.75103699374880994,0.47812500000000002,210.00446180172645,209.99730533134559,19.995538198273515,210.00446180172648
0.75594573227004402,0.48125000000000001,210.00381995032296,209.99773792722664,19.996180049676859,210.00381995032316
0.76085447079127799,0.484375,210.00326474235328,209.9981043564878,19.996735257646449,210.00326474235351
0.76576320931251207,0.48749999999999999,210.00278533666273,209.99841419917178,19.99721466333726,210.00278533666273
0.77067194783374615,0.49062500000000003,210.0023721260082,209.99867573368488,19.997627873991654,210.00237212600837
0.77558068635498012,0.49374999999999997,210.00201661336712,209.99889610071904,19.997983386632669,210.00201661336732
0.7804894248762142,0.49687499999999996,210.00171129845666,209.99908144839907,19.998288701543263,210.00171129845671
0.78539816339744828,0.5,210.0014495739014,209.99923706054705,19.99855042609833,210.00144957390165
0.79030690191868236,0.50312500000000004,210.00122563047887,209.99936746980293,19.998774369520994,210.00122563047898
0.79521564043991644,0.50625000000000009,210.00103437086716,209.99947655718472,19.998965629132741,210.00103437086727
0.80012437896115041,0.50937500000000002,210.00087133133906,209.99956763954117,19.999128668660813,210.00087133133917
0.80503311748238449,0.51249999999999996,210.00073261084543,209.99964354620903,19.999267389154387,210.0007326108456
0.80994185600361857,0.515625,210.00061480695342,209.99970668607563,19.9993851930465,210.00061480695351
0.81485059452485253,0.51874999999999993,210.00051495811925,209.9997591061244,19.999485041880558,210.00051495811942
0.81975933304608661,0.52187499999999998,210.00043049179996,209.99980254244264,19.999569508199901,210.0004304918001
0.82466807156732069,0.52500000000000002,210.00035917792405,209.99983846456888,19.999640822075833,210.00035917792414
0.82957681008855477,0.52812500000000007,210.0002990872724,209.99986811397179,19.999700912727405,210.00029908727259
0.83448554860978885,0.53125,210.00024855434037,209.99989253736558,19.999751445659513,210.00024855434046
0.83939428713102282,0.53437499999999993,210.00020614427746,209.9999126154965,19.999793855722345,210.00020614427766
0.8443030256522569,0.53749999999999998,210.00017062353049,209.99992908796361,19.99982937646929,210.00017062353069
0.84921176417349098,0.54062500000000002,210.00014093383527,209.99994257457328,19.999859066164682,210.00014093383527
0.85412050269472495,0.54374999999999996,210.00011616923126,209.99995359367421,19.999883830768695,210.00011616923121
0.85902924121595903,0.546875,210.00009555579749,209.99996257786708,19.999904444202272,210.00009555579751
0.86393797973719311,0.55000000000000004,210.00007843382895,209.99996988743226,19.99992156617029,210.00007843382912
0.86884671825842719,0.55312499999999998,210.00006424219745,209.99997582178648,19.999935757800731,210.00006424219745
0.87375545677966127,0.55625000000000002,210.00005250466134,209.9999806292339,19.999947495333579,210.00005250466151
0.87866419530089523,0.55937499999999996,210.00004281791263,209.99998451524806,19.999957182074429,210.00004281791277
0.88357293382212931,0.5625,210.00003484116058,209.99998764949299,19.999965158807498,210.00003484116067
0.88848167234336339,0.56562500000000004,210.00002828707966,209.99999017175998,19.999971712844534,210.00002828707974
0.89339041086459736,0.56874999999999998,210.00002291395748,209.99999219698151,19.999977085869666,210.00002291395757
0.89829914938583144,0.57187500000000002,210.00001851889687,209.99999381945958,19.999981480723516,210.00001851889687
0.90320788790706552,0.57499999999999996,210.00001493193852,209.99999511642781,19.999985067255992,210.00001493193847
0.9081166264282996,0.578125,210.00001201098115,209.99999615106108,19.999987987362953,210.00001201098115
0.91302536494953368,0.58125000000000004,210.00000963738421,209.99999697502687,19.999990359310409,210.00000963738438
0.91793410347076765,0.58437499999999998,210.00000771214278,209.99999763067544,19.999992281437169,210.00000771214275
0.92284284199200173,0.58750000000000002,210.00000615252301,209.99999815295897,19.999993835317945,210.00000615252307
0.92775158051323581,0.59062500000000007,210.00000488904982,209.99999857117953,19.999995088458657,210.00000488904976
0.93266031903446978,0.59375,210.0000038627133,209.99999891067051,19.999996096587225,210.00000386271338
0.93756905755570386,0.59687499999999993,210.0000030222588,209.99999919454356,19.999996905595708,210.00000302225882
0.94247779607693793,0.59999999999999998,210.00000232137737,209.99999944565747,19.999997553182663,210.00000232137728
0.94738653459817201,0.60312500000000002,210.00000171558617,209.9999996890154,19.99999807023854,210.00000171558631
