time,sample_index,output_pair,probability,overlap
1.79,4,1-6,0.03975480532114457,0
1.79,4,1-7,0.07402254042884295,0
1.79,4,1-8,0.009301456790329956,0
1.79,4,2-3,0.08152513887271055,1
1.79,4,2-4,0.06595580266292285,1
1.79,4,2-5,0.01171926927799874,0
1.79,4,2-6,0.04000508857842601,0
1.79,4,2-7,0.062292004459147954,0
1.79,4,2-8,0.024124716337663152,0
1.79,4,3-4,0.06035895724427298,2
1.79,4,3-5,0.02569144012300073,1
1.79,4,3-6,0.02624837801345472,1
1.79,4,3-7,0.000729024976791348,1
1.79,4,3-8,0.11935777270935842,1
1.79,4,4-5,0.01937650090484053,1
1.79,4,4-6,0.020457574297575873,1
1.79,4,4-7,0.05613618288377845,1
1.79,4,4-8,0.041836033500134276,1
1.79,4,5-6,0.011579537507519744,0
1.79,4,5-7,0.019580576630826324,0
1.79,4,5-8,0.008443508193868144,0
1.79,4,6-7,0.05217818971402679,0
1.79,4,6-8,0.019792224305293826,0
1.79,4,7-8,0.012136571989499316,0
29.29,0,1-2,0.05228243918331449,0
29.29,0,1-3,0.036919182642282077,1
29.29,0,1-4,0.0969757040854108,1
29.29,0,1-5,0.007327806719935447,0
29.29,0,1-6,0.01524540872688319,0
29.29,0,1-7,0.06416781386345616,0
29.29,0,1-8,0.003534924262056409,0
29.29,0,2-3,0.08044824348997838,1
29.29,0,2-4,0.03975622287959168,1
29.29,0,2-5,0.04166793972483784,0
29.29,0,2-6,0.0072531103241414655,0
29.29,0,2-7,0.04191283788753111,0
29.29,0,2-8,0.01151227177929048,0
29.29,0,3-4,0.024532804563822015,2
29.29,0,3-5,0.13916778667922186,1
29.29,0,3-6,0.013098016505283633,1
29.29,0,3-7,0.027253663576171677,1
29.29,0,3-8,0.038685039803742514,1
29.29,0,4-5,0.029431079022826486,1
29.29,0,4-6,0.01347929405537372,1
29.29,0,4-7,0.11190404554030509,1
29.29,0,4-8,0.028083113348365548,1
29.29,0,5-6,0.005790142321942937,0
29.29,0,5-7,0.012705426258027843,0
29.29,0,5-8,0.032359629452568074,0
29.29,0,6-7,0.012664144396825611,0
29.29,0,6-8,0.001763053517073125,0
29.29,0,7-8,0.010078855389740403,0
29.29,1,1-2,0.01280881336037342,0
29.29,1,1-3,0.039193585846755946,1
29.29,1,1-4,0.009134042299627703,1
29.29,1,1-5,0.009432588233641894,0
29.29,1,1-6,0.02855505565778574,0
29.29,1,1-7,0.027255875880425464,0
29.29,1,1-8,0.002708485743603941,0
29.29,1,2-3,0.04813163480033222,1
29.29,1,2-4,0.060133485970071225,1
29.29,1,2-5,0.0014843337444714107,0
29.29,1,2-6,0.034381189214893304,0
29.29,1,2-7,0.005235678237733618,0
29.29,1,2-8,0.004258233506232892,0
29.29,1,3-4,0.23264688320597884,2
29.29,1,3-5,0.002939049824715503,1
29.29,1,3-6,0.11673495851079968,1
29.29,1,3-7,0.014646893051085233,1
29.29,1,3-8,0.015758064845279706,1
29.29,1,4-5,0.036582273484322705,1
29.29,1,4-6,0.01783428150323483,1
29.29,1,4-7,0.09641503121185953,1
29.29,1,4-8,0.038767850140582226,1
29.29,1,5-6,0.029435406649950105,0
29.29,1,5-7,0.01874155029192955,0
29.29,1,5-8,2.5893439784784162e-05,0
29.29,1,6-7,0.08025712335359629,0
29.29,1,6-8,0.013769015787146083,0
29.29,1,7-8,0.00273272220378611,0
29.29,2,1-2,0.0031648945164420277,0
29.29,2,1-3,0.04937701473802992,1
29.29,2,1-4,0.08309702955562714,1
29.29,2,1-5,0.009253425273184172,0
29.29,2,1-6,0.001887823089733423,0
29.29,2,1-7,0.00826974100612677,0
29.29,2,1-8,0.05196589788308845,0
29.29,2,2-3,0.012299964192637727,1
29.29,2,2-4,0.006398586822115439,1
29.29,2,2-5,0.006719714614585941,0
29.29,2,2-6,0.0029782810584804476,0
29.29,2,2-7,0.0033286393212186493,0
29.29,2,2-8,0.007108029169126329,0
29.29,2,3-4,0.11321114198135097,2
29.29,2,3-5,0.04403329626329226,1
29.29,2,3-6,0.02939791168788139,1
29.29,2,3-7,0.027324996843839135,1
29.29,2,3-8,0.10716344849742475,1
29.29,2,4-5,0.12663365422212156,1
29.29,2,4-6,0.006898520080701937,1
29.29,2,4-7,0.033826078327686235,1
29.29,2,4-8,0.058952802421947316,1
29.29,2,5-6,0.028982752132200435,0
29.29,2,5-7,0.017769190638970846,0
29.29,2,5-8,0.10903305853915249,0
29.29,2,6-7,0.009766684568587938,0
29.29,2,6-8,0.008582725694705572,0
29.29,2,7-8,0.03257469685974083,0
29.29,3,1-2,0.03849490351405935,0
29.29,3,1-3,0.10750128562047195,1
29.29,3,1-4,0.07532147589202716,1
29.29,3,1-5,0.011571419816533712,0
29.29,3,1-6,0.004527092990422665,0
29.29,3,1-7,0.007950676336494447,0
29.29,3,1-8,0.011500312499137844,0
29.29,3,2-3,0.18600044307439445,1
29.29,3,2-4,0.043417007472689076,1
29.29,3,2-5,0.019534858713836308,0
29.29,3,2-6,0.000573802834580493,0
29.29,3,2-7,0.009474814108494073,0
29.29,3,2-8,0.000842495860952166,0
29.29,3,3-4,0.01439710369408496,2
29.29,3,3-5,0.06363918907788434,1
29.29,3,3-6,0.024541206609242163,1
29.29,3,3-7,0.00495364867269275,1
29.29,3,3-8,0.05925178708175574,1
29.29,3,4-5,0.02792068923322,1
29.29,3,4-6,0.07202282644974439,1
29.29,3,4-7,0.09357740977496744,1
29.29,3,4-8,0.09668948362749578,1
29.29,3,5-6,0.000680452603727548,0
